tissue cat_tiss
Adipose_Subcutaneous Adipose
Adipose_Visceral_(Omentum) Adipose
Cells_EBV-transformed_lymphocytes Blood/Immune
Spleen Blood/Immune
Whole_Blood Blood/Immune
Brain_Amygdala Brain
Brain_Caudate_(basal_ganglia) Brain
Brain_Cerebellar_Hemisphere Brain
Brain_Cerebellum Brain
Brain_Cortex Brain
Brain_Frontal_Cortex_(BA9) Brain
Brain_Hippocampus Brain
Brain_Hypothalamus Brain
Brain_Nucleus_accumbens_(basal_ganglia) Brain
Brain_Putamen_(basal_ganglia) Brain
Brain_Spinal_cord_(cervical_c-1) Brain
Brain_Substantia_nigra Brain
Artery_Aorta Cardiovascular
Artery_Coronary Cardiovascular
Artery_Tibial Cardiovascular
Heart_Atrial_Appendage Cardiovascular
Heart_Left_Ventricle Cardiovascular
Colon_Sigmoid Digestive
Colon_Transverse Digestive
Esophagus_Gastroesophageal_Junction Digestive
Esophagus_Mucosa Digestive
Esophagus_Muscularis Digestive
Small_Intestine_Terminal_Ileum Digestive
Stomach Digestive
Adrenal_Gland Endocrine
Pituitary Endocrine
Testis Endocrine
Thyroid Endocrine
Liver Liver
Lung Lung
Muscle_Skeletal Musculoskeletal/connective
Bladder Other
Cells_Transformed_fibroblasts Other
Kidney_Cortex Other
Minor_Salivary_Gland Other
Nerve_Tibial Other
Pancreas Other
Breast_Mammary_Tissue Reproductive
Cervix_Ectocervix Reproductive
Cervix_Endocervix Reproductive
Fallopian_Tube Reproductive
Ovary Reproductive
Prostate Reproductive
Uterus Reproductive
Vagina Reproductive
Skin_Not_Sun_Exposed_(Suprapubic) Skin
Skin_Sun_Exposed_(Lower_leg) Skin
