pheno h2g h2g.se h2gxe h2gxe.se h2exn h2exn.se h2tot h2tot.se
ala_at 0.191086 0.0130408 0.00461012 0.00300826 -0.0549899 0.0030122 0.140707 0.0130844
albumin 0.198382 0.0129176 0.00188104 0.0033177 -0.0311618 0.003347 0.169101 0.0129742
alcohol_freq 0.118386 0.00479886 -0.0124331 0.00228699 -0.0656014 0.00225489 0.0403517 0.00476959
alka_phos 0.466362 0.117396 0.0234299 0.0132515 -0.0878024 0.0131597 0.40199 0.117503
apo_a 0.377815 0.0730459 0.0254897 0.00810349 -0.0272537 0.00809539 0.376051 0.0729595
asp_at 0.214338 0.0215255 0.00815524 0.00305318 -0.0246617 0.00298595 0.197831 0.0216053
basal_metabolic 0.403083 0.0171373 0.00292824 0.00376629 -0.0618394 0.00364057 0.344171 0.0172747
blood_eosinophil 0.288575 0.0231004 0.0141787 0.003157 0.00726845 0.00313577 0.310023 0.0231621
blood_lymphocyte 0.289396 0.0179934 -0.00396208 0.00340778 0.0170512 0.00335517 0.302485 0.0179957
blood_mch 0.382901 0.0593205 0.00143795 0.00391415 -0.0317058 0.00379357 0.352633 0.0591192
blood_monocyte 0.311131 0.0301561 0.013543 0.00379383 0.00800185 0.0037198 0.332676 0.030211
blood_mpv 0.562924 0.0662661 -0.00542352 0.00516594 0.00837685 0.00509791 0.565878 0.0664079
blood_mscv 0.317115 0.0303409 0.00199201 0.00318964 -0.00582393 0.00314329 0.313284 0.0302937
blood_platelet_distrib_width 0.384952 0.0410372 -0.00358993 0.00416021 -0.0178754 0.00415995 0.363487 0.0412446
blood_platelet 0.424199 0.0336238 -0.00706826 0.00386248 -0.00235809 0.00382942 0.414773 0.0336023
blood_rbc_count 0.343575 0.043333 0.0117666 0.00361351 0.0474073 0.00351113 0.402749 0.0432643
blood_rbc_distrib_width 0.31922 0.0274117 -0.0187158 0.00382221 -0.080437 0.00382734 0.220067 0.0274563
blood_reticulocyte 0.328087 0.0318837 0.010134 0.00390326 -0.00717377 0.00388547 0.331047 0.0319773
blood_wbc_count 0.284728 0.0233597 0.0037666 0.00342399 -0.0112479 0.00332826 0.277247 0.0232523
bmd_heel_tscore 0.45831 0.0470238 -0.0117784 0.00859403 0.0634248 0.00849416 0.509956 0.0471427
bmi 0.351681 0.0153636 -0.0373568 0.00396139 -0.155818 0.00389228 0.158506 0.0154426
bp_diastolic 0.203281 0.00662947 -0.0204639 0.00300076 -0.00132729 0.00298675 0.18149 0.00665342
bp_systolic 0.219167 0.00861928 -0.0307588 0.00266658 -0.0643961 0.00262312 0.124012 0.0086158
calcium 0.189046 0.0230759 0.00492525 0.00294407 -0.049229 0.00288242 0.144743 0.0231796
cholesterol 0.244994 0.0711045 -0.0039805 0.0119414 0.0471335 0.0119507 0.288147 0.0711646
corneal_hysteresis 0.355302 0.0266319 -0.0161801 0.010246 0.0440827 0.0101203 0.383205 0.0266742
c_reactive_prot 0.404426 0.105319 -0.016028 0.0131686 -0.0423294 0.0132048 0.346069 0.10511
creatinine 0.310647 0.0162195 -0.0168132 0.00410319 -0.0520837 0.00399888 0.24175 0.0162285
creatinine_urine 0.0815274 0.00371954 -0.00508598 0.00239555 -0.0465444 0.00236738 0.029897 0.00372959
cystatin_c 0.379145 0.0785888 -0.0217076 0.00614978 -0.0572739 0.00596637 0.300164 0.0785024
fev1_fvc 0.257626 0.0149415 0.0270326 0.00381397 0.0170786 0.00380064 0.301737 0.014851
fvc 0.310028 0.011765 0.0263126 0.0035841 0.0782143 0.00346663 0.414555 0.0118357
ggt 0.331233 0.0415375 -0.0204303 0.00523991 -0.109506 0.00519238 0.201297 0.041577
glucose 0.110115 0.0121175 0.0106873 0.00245043 0.0722386 0.00244756 0.193041 0.0121666
hair_color 0.320779 0.10623 0.0031256 0.00404766 0.0392175 0.00396051 0.363122 0.106213
hba1c 0.315774 0.0256538 0.0384243 0.00424532 0.0574508 0.00418974 0.411649 0.0256445
hdl 0.468236 0.11327 0.01824 0.00824309 -0.0101044 0.00824157 0.476372 0.113064
height 0.697846 0.0327329 0.00599321 0.0047521 -0.0115869 0.00495237 0.692253 0.0325483
igf1 0.332826 0.020388 0.0172694 0.00470935 -0.0541293 0.00459579 0.295966 0.020291
ldl 0.259616 0.104816 -0.019571 0.018123 0.0394571 0.0184208 0.279502 0.105124
microalbumin 0.0393249 0.00836485 0.0213245 0.00788349 0.0593349 0.00787773 0.119984 0.00840292
overall_health 0.13106 0.0040722 -0.0019229 0.00239434 0.0508368 0.0023375 0.179974 0.00411604
phosphate 0.151213 0.0134373 0.0157158 0.00390989 0.0398172 0.00385021 0.206746 0.0134181
potassium 0.0532523 0.00253129 -0.0021964 0.0020742 -0.0439215 0.00205987 0.00713447 0.00252478
shbg 0.382864 0.0813331 0.00845553 0.012549 -0.20665 0.0125394 0.18467 0.0813263
sodium 0.0960774 0.00449097 -0.00546014 0.00247047 -0.016074 0.00243855 0.0745432 0.00448734
testosterone 0.0535113 0.00888074 0.13097 0.024203 -0.101981 0.024203 0.0825005 0.00886692
triglycerides 0.341611 0.0566581 0.0197044 0.0076372 0.0504084 0.0076176 0.411724 0.0565755
urate 0.417146 0.179701 -0.0714166 0.0555833 0.0232 0.0555106 0.36893 0.179646
urea 0.160124 0.00996795 0.0139185 0.00288981 0.000115118 0.00282348 0.174157 0.0100125
vitamin_d 0.136269 0.0275731 0.00340851 0.00267402 -0.0069851 0.00263038 0.132693 0.0275655
whr 0.228705 0.00842055 -0.0101898 0.00332576 -0.0802505 0.00330724 0.138264 0.00844307
