pheno h2g h2g.se h2gxe h2gxe.se h2exn h2exn.se h2tot h2tot.se
ala_at 0.193753 0.0129941 0.00138597 0.00219695 0.0101227 0.00217814 0.205261 0.0130029
albumin 0.19854 0.0131347 -0.0019818 0.00199951 0.00470621 0.0020019 0.201264 0.0131427
alcohol_freq 0.111371 0.00457456 0.00454921 0.00258197 0.0114761 0.00257816 0.127396 0.0045725
alka_phos 0.485764 0.125859 0.00713982 0.0025186 -0.00580496 0.00248379 0.487099 0.125805
apo_a 0.389156 0.0751507 0.00135225 0.00261784 0.0181441 0.0026014 0.408652 0.0751906
asp_at 0.219433 0.0211545 0.00162049 0.00218657 0.0187179 0.00217291 0.239772 0.0211683
basal_metabolic 0.406369 0.0170587 0.0147803 0.00292327 -0.00116144 0.0029149 0.419988 0.0170747
blood_eosinophil 0.298901 0.0230106 -0.00534277 0.00233685 0.00171987 0.00232118 0.295278 0.0230153
blood_lymphocyte 0.285614 0.0179034 0.000765081 0.00273172 0.0104597 0.00270828 0.296839 0.0178995
blood_mch 0.384878 0.0591803 0.00768912 0.00292956 0.00600214 0.00290989 0.398569 0.0591856
blood_monocyte 0.315689 0.0298599 0.00485709 0.00283886 0.0117638 0.00283005 0.33231 0.0298628
blood_mpv 0.555886 0.0652188 -0.00151372 0.00231911 0.00321028 0.00227184 0.557583 0.0652132
blood_mscv 0.315738 0.0302442 0.0121939 0.00261313 0.0038748 0.00257678 0.331807 0.030233
blood_platelet_distrib_width 0.377905 0.0395466 -0.00356253 0.00175329 0.00936485 0.00174228 0.383708 0.0395359
blood_platelet 0.42088 0.0332581 0.00252889 0.00275987 0.0101321 0.00272914 0.433541 0.0332465
blood_rbc_count 0.349528 0.0427226 0.00497924 0.0025451 0.0125319 0.00253345 0.367039 0.0427013
blood_rbc_distrib_width 0.309539 0.0266655 0.00663576 0.00237318 -0.00737427 0.00234998 0.308801 0.0266771
blood_reticulocyte 0.329463 0.03104 -0.00734667 0.00201368 0.00221665 0.00197435 0.324333 0.0310332
blood_wbc_count 0.290751 0.0240969 0.010942 0.00249634 0.00235382 0.00246745 0.304047 0.0240953
bmd_heel_tscore 0.445851 0.0459642 0.0093162 0.00620091 0.00239299 0.0061893 0.45756 0.0459591
bmi 0.334222 0.0136626 0.00835083 0.00240365 0.00214262 0.00239974 0.344716 0.0136518
bp_diastolic 0.195581 0.00632466 0.00198746 0.00249915 0.0040353 0.00249495 0.201604 0.00632404
bp_systolic 0.204885 0.00826435 0.00376513 0.00197969 0.00152125 0.00196881 0.210171 0.00827616
calcium 0.191483 0.022929 -0.0041247 0.00222785 0.00734804 0.00221323 0.194707 0.0229433
cholesterol 0.244258 0.0659908 -0.00168821 0.00243529 0.00880828 0.00243281 0.251378 0.0660213
corneal_hysteresis 0.345119 0.0255024 0.0158463 0.00950465 -0.0105341 0.00950147 0.350431 0.0255138
c_reactive_prot 0.395224 0.109778 5.81641e-05 0.00254448 0.00118503 0.00251474 0.396467 0.109832
creatinine 0.304319 0.0157656 -0.0050068 0.00248039 0.0163633 0.00245634 0.315675 0.015781
creatinine_urine 0.0784434 0.00320875 0.00203034 0.00210585 0.0106069 0.00210512 0.0910806 0.00321387
cystatin_c 0.374027 0.0785494 0.000886681 0.0026417 0.0017296 0.00260882 0.376643 0.0785424
fev1_fvc 0.273072 0.0168245 0.00314789 0.00241244 0.00643304 0.00238209 0.282653 0.0168451
fvc 0.320807 0.0120811 0.00920144 0.00248611 0.00456754 0.00249784 0.334576 0.0120983
ggt 0.324574 0.0400708 -0.00305406 0.00221932 -0.000804761 0.00220332 0.320715 0.0400592
glucose 0.114273 0.0117622 -0.00288643 0.00225352 0.0110039 0.00224369 0.122391 0.0117558
hair_color 0.328189 0.107374 -0.00108085 0.00196193 0.00752285 0.00196065 0.334631 0.107402
hba1c 0.332685 0.0269501 -0.00792957 0.0019884 0.00264299 0.00197642 0.327398 0.0269579
hdl 0.478126 0.114342 0.00321983 0.00300791 0.0139839 0.00298618 0.49533 0.114405
height 0.694478 0.0334619 0.00509487 0.00251832 -0.00283844 0.00246727 0.696734 0.0334954
igf1 0.343561 0.0199895 -0.00115094 0.00222229 0.00464962 0.00221014 0.347059 0.0200227
ldl 0.253568 0.0976705 -0.000559565 0.00266647 0.00907591 0.00264929 0.262085 0.0976811
microalbumin 0.0489782 0.00730402 0.0077327 0.0066736 6.71896e-05 0.00667336 0.0567781 0.00730205
overall_health 0.123208 0.00377156 0.00873594 0.00237374 0.00977094 0.00237362 0.141714 0.00376871
phosphate 0.159009 0.0141588 0.00379287 0.00230834 0.00371889 0.00230233 0.166521 0.0141677
potassium 0.0519458 0.00226987 0.00275166 0.00196342 0.0130784 0.0019579 0.0677759 0.0022671
shbg 0.389182 0.0852443 -0.00107988 0.00278863 -0.00185857 0.00276655 0.386243 0.0852625
sodium 0.0929567 0.00365809 0.00144855 0.00222802 0.00855374 0.00222097 0.102959 0.00365218
testosterone 0.120008 0.0194205 0.00566842 0.00291716 0.00164971 0.00291219 0.127326 0.0194103
triglycerides 0.355219 0.0601696 0.00234484 0.00298019 0.00732748 0.00296231 0.364891 0.0601864
urate 0.387625 0.155001 -0.00113446 0.00382107 0.00608259 0.00387318 0.392573 0.155084
urea 0.168868 0.0103308 0.00930444 0.00269557 0.01453 0.00269388 0.192702 0.0103384
vitamin_d 0.13652 0.0273573 0.00052047 0.00248814 0.020831 0.00248262 0.157872 0.0273689
whr 0.222551 0.00735224 0.000864579 0.00217864 -0.00103321 0.00217824 0.222382 0.00735321
