pheno h2g h2g.se h2gxe h2gxe.se h2exn h2exn.se h2tot h2tot.se
ala_at 0.189893 0.0129312 0.00588013 0.00333836 -0.00285659 0.00335354 0.192917 0.0129401
albumin 0.19716 0.0130773 0.00423583 0.00350079 -0.00124646 0.00351648 0.200149 0.0130894
alcohol_freq 0.114853 0.00498961 -0.0039718 0.00280466 0.00603366 0.00281383 0.116915 0.0049942
alka_phos 0.48965 0.127041 -0.00429952 0.00626112 0.0096719 0.00631414 0.495023 0.127089
apo_a 0.391169 0.0744864 -0.000681335 0.00407117 0.00193028 0.00409004 0.392418 0.0745117
asp_at 0.21668 0.0208363 0.00117596 0.00362962 0.00436383 0.00364559 0.22222 0.0208353
basal_metabolic 0.406463 0.0173744 -0.000146181 0.00487547 0.00190752 0.00490713 0.408225 0.0174001
blood_eosinophil 0.294288 0.0228274 0.00143023 0.0040955 0.00344947 0.00410886 0.299168 0.0228401
blood_lymphocyte 0.287252 0.0176759 -0.0030198 0.00456542 0.0217298 0.00458056 0.305962 0.0176834
blood_mch 0.383307 0.0588546 -0.00174094 0.00490675 0.0139592 0.00494045 0.395525 0.0588637
blood_monocyte 0.313195 0.0293396 0.00510245 0.00407822 0.00139609 0.00409745 0.319694 0.0293552
blood_mpv 0.551271 0.0655421 0.00897564 0.00423186 -0.00823233 0.00427977 0.552014 0.0655724
blood_mscv 0.317236 0.0299543 -0.00130388 0.00471021 0.0148217 0.00474125 0.330754 0.0299649
blood_platelet_distrib_width 0.374119 0.039502 0.00751035 0.0040687 -0.0058857 0.00409777 0.375744 0.0395113
blood_platelet 0.418155 0.0340359 -0.000517816 0.00419253 0.00216135 0.00424118 0.419799 0.0340597
blood_rbc_count 0.347871 0.0417413 0.00196518 0.00363534 -0.00204704 0.00365144 0.347789 0.0417374
blood_rbc_distrib_width 0.304966 0.0261721 0.00525438 0.00405088 -0.00204432 0.00407201 0.308177 0.0261765
blood_reticulocyte 0.323434 0.0297342 0.0120675 0.00393508 -0.012075 0.00394885 0.323426 0.0297385
blood_wbc_count 0.282191 0.0232946 0.00670856 0.00545142 0.02201 0.00547016 0.310909 0.0232992
bmd_heel_tscore 0.462172 0.0472263 -0.0174829 0.0105063 0.0205753 0.0105523 0.465264 0.0472283
bmi 0.325318 0.0137534 0.0171651 0.00482821 -0.0174291 0.00483913 0.325054 0.0137549
bp_diastolic 0.189459 0.00627926 0.00468158 0.0031553 -0.00453559 0.00316256 0.189605 0.00628998
bp_systolic 0.200414 0.00855468 0.00757785 0.00337802 -0.00689858 0.00337346 0.201093 0.00855271
calcium 0.189865 0.0230868 0.00240931 0.00341376 -0.00190423 0.00341767 0.19037 0.0230906
cholesterol 0.244582 0.0669194 0.00159314 0.00343625 0.000232045 0.00345284 0.246407 0.0669334
corneal_hysteresis 0.322049 0.0254547 0.026029 0.0129887 -0.0240761 0.0130271 0.324002 0.0254693
c_reactive_prot 0.391278 0.107579 0.00586655 0.00415848 -0.00191044 0.00415109 0.395234 0.107612
creatinine 0.299087 0.0150884 0.00650927 0.0041883 -0.00248267 0.00419895 0.303114 0.0150925
creatinine_urine 0.0781352 0.0036434 0.000106358 0.00281779 -0.00051461 0.0028243 0.0777269 0.00364524
cystatin_c 0.363232 0.0773642 0.00316896 0.00571609 0.00755911 0.00575347 0.37396 0.077375
fev1_fvc 0.267286 0.0172032 0.00270483 0.00474484 0.0125754 0.00477253 0.282566 0.0172053
fvc 0.324787 0.0126984 -0.0056266 0.00377131 0.00957116 0.0037926 0.328731 0.012708
ggt 0.322613 0.0395531 0.00809945 0.00362275 -0.00571565 0.00363547 0.324997 0.0395502
glucose 0.113422 0.0118148 0.00304308 0.00324089 -0.00223208 0.00324635 0.114233 0.0118129
hair_color 0.332501 0.108665 -0.00287539 0.00331664 0.00517292 0.0033623 0.334798 0.108704
hba1c 0.332856 0.0261753 0.00388003 0.00445734 0.00517168 0.00448903 0.341908 0.0261806
hdl 0.483761 0.115333 -0.00953771 0.00611552 0.0115585 0.00618411 0.485781 0.115358
height 0.687671 0.0344205 0.00465457 0.00537817 -0.00352617 0.00543696 0.6888 0.0344515
igf1 0.343986 0.0199506 0.00171669 0.00395136 0.00112681 0.00398341 0.346829 0.0199563
ldl 0.254137 0.0982572 0.00251889 0.00313688 -0.000755047 0.00315124 0.255901 0.0982424
microalbumin 0.0544947 0.00815448 -0.0103468 0.00792661 0.0117172 0.00794528 0.0558651 0.0081675
overall_health 0.128898 0.00506562 -0.00237156 0.00410774 0.013297 0.00411159 0.139824 0.00507004
phosphate 0.159911 0.0147363 0.000645532 0.00338846 0.0012778 0.00339328 0.161835 0.0147381
potassium 0.0530151 0.00286142 -0.00153488 0.00237017 0.000611234 0.00237725 0.0520914 0.00286789
shbg 0.381917 0.0850478 0.0072291 0.00462313 -0.00563888 0.00464671 0.383508 0.0850503
sodium 0.0933436 0.00410317 0.00112041 0.00299441 -0.000666676 0.00300068 0.0937973 0.00410513
testosterone 0.120488 0.0203599 -4.02167e-05 0.00347972 0.00252132 0.00348405 0.122969 0.0203614
triglycerides 0.355558 0.0605732 -0.00430428 0.00487074 0.00717436 0.00490617 0.358428 0.060596
urate 0.376904 0.151265 0.00992473 0.00488343 -0.00697116 0.00487877 0.379857 0.151296
urea 0.168847 0.0100551 -0.00252237 0.00331447 0.00776338 0.00332522 0.174088 0.0100624
vitamin_d 0.135003 0.0272033 0.00205205 0.00393356 0.00170399 0.00394537 0.138759 0.0272054
whr 0.217451 0.00760276 0.00629302 0.00316599 -0.00402644 0.0031782 0.219718 0.00760469
