pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se
ala_at 0.0322853 0.00953946 0.0193381 0.0037619 0.00568201 0.00160634 0.00137984 0.000495088 0.00342218 0.000732879 0.0274417 0.00346335 0.0636407 0.00878877 0.0255836 0.00444493 0.0131216 0.00411801 -0.0050864 0.00245627 4.34893e-05 0.00102403 0.000241556 0.000320653 1.52501e-05 0.000647 0.00293596 0.00105202 -4.08252e-05 0.00100339 0.00119534 0.000554491 0.018667 0.00397445 0.0124259 0.00397317 0.178773 0.0140667
albumin 0.0420597 0.0076914 0.0236373 0.00452983 0.0078092 0.0018488 0.00125654 0.000530119 0.00521471 0.00105958 0.0362122 0.00522963 0.06361 0.00468023 0.0231398 0.00330765 -0.00313668 0.00439807 -0.00293851 0.00270052 0.00117796 0.00105398 -5.21614e-05 0.000266325 0.000344982 0.000689551 -0.000936861 0.00111771 0.00221453 0.00120846 0.000663508 0.000552162 0.010263 0.00448119 -0.00266324 0.00448182 0.202939 0.0174247
alcohol_freq 0.0190522 0.00388119 0.0185107 0.0031518 0.00576928 0.00117956 0.000416013 0.000357515 0.00231126 0.000593651 0.0192946 0.00180448 0.0377751 0.00218529 0.017771 0.0026865 0.0244441 0.00428673 0.0104204 0.00262929 0.000924494 0.000956744 -0.000287577 0.000309518 0.000388192 0.000620008 0.000927025 0.00109664 0.00192482 0.00124015 0.00194807 0.000569158 0.0084686 0.00406617 0.0406895 0.0040542 0.1209 0.00587561
alka_phos 0.0878702 0.0338306 0.0273513 0.0147991 0.0126526 0.00708998 0.00181767 0.00138785 0.010199 0.00521967 0.0606257 0.0128874 0.153451 0.0557205 0.0476936 0.0114589 0.00587088 0.00363793 0.00328184 0.00248996 0.000266241 0.000917454 3.04125e-05 0.000339469 -0.000517725 0.000625183 0.00231099 0.00120448 0.00192831 0.00125348 0.000528036 0.000539519 -0.00848719 0.00403037 0.013699 0.00404864 0.401661 0.0757721
apo_a 0.0446093 0.0077848 0.0376579 0.00729472 0.00898627 0.00224909 0.00290766 0.00153241 0.0161398 0.01093 0.0755696 0.0259345 0.103809 0.0179586 0.0359654 0.00555014 0.00156627 0.00490531 -0.00449532 0.00274143 -0.000557164 0.001231 -0.000244304 0.00035347 0.000129246 0.000648176 -0.00200034 0.00126003 3.75933e-05 0.00119033 0.00103097 0.000926613 0.0504746 0.00491919 -0.00453305 0.00491179 0.325645 0.0426336
asp_at 0.0315622 0.00420603 0.0216617 0.00380045 0.0054154 0.00153682 0.00234057 0.000541071 0.00379902 0.000911145 0.035735 0.00846923 0.0718565 0.00953292 0.0258199 0.00434203 0.0109567 0.00395661 -0.0071282 0.00239645 0.000174641 0.0011266 0.00043334 0.000295703 -0.000283968 0.000651923 0.00238523 0.00116985 0.00106478 0.00109753 0.00160535 0.000504515 0.0414033 0.00423809 0.00920784 0.00421237 0.19819 0.0167816
basal_metabolic 0.0637539 0.00699616 0.0577494 0.00488979 0.01405 0.002101 0.00415566 0.000702473 0.00662293 0.0012854 0.0618694 0.0047757 0.126797 0.00661441 0.061966 0.00859338 0.0382369 0.00483147 0.00715705 0.00269449 0.00136065 0.000987632 6.18174e-05 0.000323692 -6.21439e-05 0.000582097 0.00417046 0.00111239 0.00437637 0.00130311 0.000412793 0.000463605 -0.0151485 0.00463431 0.0557139 0.00460686 0.396965 0.0145256
blood_eosinophil 0.0359574 0.00638451 0.0398827 0.00674404 0.00935944 0.00243276 0.00122703 0.000763766 0.00929689 0.00228462 0.0508383 0.00725799 0.0901385 0.00721808 0.0404339 0.00968007 9.87258e-05 0.00369927 -0.00186152 0.00235383 -0.000435377 0.000830093 -0.000132929 0.000261095 0.000950218 0.000525506 0.000770136 0.0010145 -0.000468642 0.0010243 0.000759982 0.00059024 -0.00729974 0.00380179 -0.000319408 0.00377878 0.277134 0.0189561
blood_lymphocyte 0.0504675 0.00538618 0.0334698 0.00477651 0.00982242 0.00209276 0.00246866 0.000955192 0.00686077 0.00220437 0.0517964 0.00967269 0.0809906 0.00563595 0.0427274 0.00589922 0.00909743 0.00437856 0.00091496 0.00242322 0.00125782 0.000928239 -0.000320438 0.000297624 0.000492776 0.000590209 0.00103871 0.00111972 0.00268843 0.00118661 0.00105378 0.000513892 0.0145578 0.00455986 0.0162235 0.0045833 0.278603 0.0189406
blood_mch 0.0504436 0.00898582 0.0437082 0.00969194 0.00754943 0.0023337 0.00259765 0.00116061 0.00596467 0.00216445 0.0641731 0.0173403 0.112211 0.0180676 0.050521 0.00747499 0.0170828 0.00390945 -0.00191678 0.00239654 0.00020481 0.00101854 8.77365e-05 0.000308138 0.000178231 0.000715579 0.001598 0.00114218 0.00171611 0.00109794 0.000960698 0.000497317 0.0145239 0.00446134 0.0199116 0.00439491 0.337168 0.0373374
