pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se
ala_at 0.028609 0.0118183 0.0155198 0.00464193 0.00600169 0.00179517 0.00149107 0.000656325 0.00281278 0.0010498 0.0258433 0.00395571 0.0534164 0.00893584 0.0186475 0.00389263 0.000429103 0.00702291 0.00485114 0.00382986 -0.000477199 0.00143151 -4.28856e-05 0.000609053 0.000613931 0.0011158 0.00025028 0.00214103 0.00810166 0.00212104 0.00468937 0.00250688 0.0776906 0.00732385 0.0184154 0.00728211 0.152342 0.0158569
albumin 0.0402716 0.00975278 0.0252772 0.00578187 0.0101109 0.00246448 0.000984572 0.000814041 0.00502514 0.00133102 0.0353986 0.00534401 0.0637093 0.00498386 0.0229247 0.00416824 0.00191512 0.00753964 -0.00082848 0.00448494 -0.00192846 0.00174849 0.000332074 0.000579496 0.000429962 0.000995729 0.000184008 0.0023654 8.63401e-05 0.001993 -0.00314477 0.00284324 -0.105398 0.00856055 -0.0029542 0.00841075 0.203702 0.0188019
alcohol_freq 0.0137256 0.00616445 0.02082 0.0045237 0.00373288 0.00169524 0.000144361 0.000497782 0.00272415 0.000891562 0.0188618 0.00231827 0.0382484 0.00273872 0.0184702 0.00354145 0.00493068 0.00693444 -0.0032217 0.00373091 0.00292842 0.00166274 0.000352188 0.000518173 -0.000567469 0.000928824 -0.00085899 0.00182156 -0.00207608 0.00167797 -0.00296938 0.00115482 -0.121331 0.00770873 -0.00148233 0.00760097 0.116727 0.00853581
alka_phos 0.0728333 0.0290699 0.032628 0.0152527 0.0139792 0.00716189 0.000911102 0.00146039 0.0109948 0.00538445 0.0553685 0.012943 0.152958 0.0554132 0.0416322 0.0127416 0.020165 0.0110161 -0.00474738 0.00475877 -0.000129836 0.00182207 0.00129535 0.000470286 -0.000394448 0.00082791 0.00517676 0.00224691 7.10724e-05 0.00218211 0.00100913 0.00390947 -0.0479514 0.0115581 0.0224457 0.0107248 0.381305 0.0723674
apo_a 0.0507814 0.00961999 0.033269 0.00833723 0.00997857 0.00266251 0.00181372 0.00150866 0.0176606 0.0115934 0.0713977 0.0234556 0.104689 0.0173662 0.0362151 0.00708815 -0.00524646 0.00703315 0.00564931 0.00502466 -0.00128516 0.00171599 0.00109957 0.000528606 -0.00130165 0.00103921 0.00214415 0.00378136 -0.00436981 0.00319547 -0.00223092 0.00194336 -0.07012 0.00991062 -0.00554097 0.00926608 0.325805 0.0426813
asp_at 0.0172972 0.0067197 0.0203118 0.00538758 0.00662458 0.00205644 0.00225823 0.000702996 0.00423751 0.00120809 0.0338421 0.00854899 0.0686111 0.00999693 0.0228166 0.00465836 0.017405 0.00725952 0.00311071 0.00456426 -0.00125522 0.00150069 9.41481e-05 0.000566746 -0.000249609 0.00103184 0.00168963 0.00198746 0.00309786 0.00266911 -0.000415629 0.0027105 -0.0644448 0.00823715 0.0234769 0.00805096 0.175999 0.0174439
basal_metabolic 0.0606076 0.00924198 0.061724 0.00586353 0.015098 0.00271085 0.00433024 0.00090271 0.00705587 0.0013391 0.0609301 0.00521285 0.129921 0.00714525 0.0627669 0.0102914 0.00627844 0.0068804 -0.00243486 0.00384408 -0.000328701 0.00165883 -0.000291884 0.000643912 -0.000359407 0.000988595 0.000896707 0.00254149 -0.00342709 0.00255413 -0.00590641 0.00326426 -0.0719031 0.00817413 -0.00557321 0.00711013 0.402433 0.0164215
blood_eosinophil 0.0340297 0.00844904 0.0378659 0.00744798 0.0080919 0.00277517 0.00118789 0.000830532 0.0103637 0.00239917 0.0490176 0.00751419 0.0868852 0.00751274 0.0422372 0.0087206 0.00184062 0.00723332 0.000415067 0.00433152 0.00119016 0.00183525 0.000367796 0.000536191 -0.00146517 0.00111356 0.00210737 0.00231185 0.00335327 0.00260168 -0.00215718 0.00256149 -0.0119885 0.00888964 0.00565193 0.00859672 0.269679 0.0203372
blood_lymphocyte 0.0459412 0.00861183 0.0329228 0.00567002 0.0101766 0.00234172 0.00310601 0.00116336 0.00825431 0.00231727 0.052048 0.00978968 0.0824158 0.00589189 0.0402431 0.00623666 0.00406379 0.00794939 0.000300847 0.00412821 -0.000892362 0.00167264 -0.000590561 0.000559275 -0.00198052 0.0012293 -0.00132323 0.00213111 -0.000155842 0.0024387 -0.000926755 0.00188317 -0.0904435 0.00784783 -0.00150463 0.00766504 0.275108 0.0192657
blood_mch 0.0545303 0.0112418 0.0431809 0.0099481 0.00576835 0.00286046 0.00212622 0.00129943 0.00562184 0.00224682 0.0636299 0.0170421 0.115352 0.0181847 0.0435824 0.00933968 -0.000833844 0.00730133 0.00165571 0.00425383 0.00270252 0.00153616 0.000747043 0.000629527 0.000124389 0.00116416 -0.000902326 0.00225187 -0.00375056 0.00234393 0.00138439 0.00159576 -0.0187655 0.00835147 0.00112732 0.00805584 0.333791 0.0375512
blood_monocyte 0.0531088 0.0112102 0.0334009 0.00811152 0.00398097 0.00187093 0.00192547 0.000803102 0.0121124 0.00371536 0.0655101 0.0197443 0.100851 0.0115796 0.0412684 0.00704726 0.0010667 0.00765978 0.00452509 0.00431871 0.00120716 0.00159172 -0.000878757 0.000555483 -0.00110027 0.000881934 -0.00449067 0.00281412 0.000168868 0.00261486 0.00192316 0.0022189 -0.0434412 0.00809485 0.00242128 0.00746258 0.312158 0.0285321
