pheno  h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se h2t h2t.se sigma2_e sigma2_e.se 
ala_at -0.335292 0.0116968 0.00541993 0.00185906 0.151571 0.014988 -0.178301 0.0199609 1.01606 0.0172125
albumin -0.203288 0.0110226 0.00446849 0.00219524 0.154957 0.0115238 -0.0438625 0.0170817 0.994523 0.0162743
alcohol_freq -0.559588 0.00676503 0.00851821 0.00169503 0.101854 0.00679548 -0.449216 0.0092057 1.39154 0.0088393
alka_phos -0.437336 0.0213882 0.00758658 0.00202673 0.311067 0.0583137 -0.118682 0.0584702 1.0508 0.054922
apo_a -0.00847603 0.017037 0.00977139 0.00228027 0.24832 0.0302697 0.249616 0.0365987 0.630681 0.0307604
asp_at -0.096583 0.0124498 0.00650946 0.00187759 0.164676 0.0164174 0.0746024 0.021478 0.832312 0.0193175
basal_metabolic -0.445526 0.0214032 0.00885356 0.00157963 0.337997 0.0312737 -0.0986748 0.0433654 0.461345 0.0182096
blood_eosinophil 0.186875 0.0139828 0.00471192 0.00200146 0.238374 0.0277299 0.429961 0.034989 0.563826 0.0346077
blood_lymphocyte 0.162669 0.0150195 0.00618897 0.00220126 0.235734 0.0224152 0.404591 0.0300401 0.586813 0.0296064
blood_mch -0.203962 0.0199317 0.00280476 0.00157044 0.279649 0.0295861 0.0784917 0.0366542 0.900079 0.0358019
blood_monocyte 0.146401 0.0188878 0.00432406 0.0017077 0.246127 0.0280995 0.396852 0.0355403 0.564248 0.0332482
blood_mpv 0.0763698 0.0251909 0.00135142 0.00174828 0.396818 0.0516627 0.474539 0.0552631 0.524061 0.0551159
blood_mscv -0.00772971 0.0169095 0.00458514 0.00206421 0.239597 0.0271217 0.236453 0.0319058 0.75409 0.0315106
blood_platelet_distrib_width -0.126038 0.0175057 0.00133691 0.0018785 0.289348 0.0346616 0.164648 0.0396169 0.815577 0.0386791
blood_platelet -0.170706 0.0219985 0.00461196 0.00157362 0.308211 0.0294363 0.142117 0.0350023 0.801104 0.0326857
blood_rbc_count 0.479577 0.0163567 0.0139929 0.00232096 0.266358 0.0252788 0.759928 0.030665 0.173812 0.0222013
blood_rbc_distrib_width -0.76246 0.0176301 0.00567834 0.00232217 0.227823 0.0265375 -0.528959 0.0367551 1.50549 0.0361909
blood_reticulocyte 0.0259336 0.0174874 0.008109 0.00158905 0.271182 0.0319565 0.305225 0.0357139 0.681519 0.0350325
blood_wbc_count -0.0615287 0.0161703 0.00680728 0.00170134 0.233419 0.0187029 0.178697 0.0244074 0.815552 0.0242365
bmd_heel_tscore 0.343496 0.0273026 0.00964987 0.00567921 0.355171 0.0349487 0.708317 0.047706 0.26836 0.0438914
bmi -1.50526 0.0203771 0.00974992 0.00177692 0.301203 0.0211176 -1.19431 0.0269684 2.14656 0.0263816
bp_diastolic -0.127614 0.0103414 0.00930674 0.00230813 0.170055 0.0112145 0.0517476 0.0153951 0.91607 0.0148726
bp_systolic -0.742996 0.0149287 0.00718114 0.00229814 0.182071 0.00977585 -0.553744 0.015896 1.3414 0.0137236
calcium -0.297145 0.0109226 0.0038756 0.0021198 0.164681 0.0211814 -0.128589 0.0247873 1.0949 0.0240475
cholesterol 0.412029 0.0101566 0.00806532 0.001909 0.136562 0.020872 0.556657 0.0262692 0.415632 0.0246272
corneal_hysteresis 0.119692 0.0336844 0.0108108 0.00796954 0.299383 0.0233675 0.429886 0.042898 0.552276 0.0415558
c_reactive_prot -0.381001 0.0175683 0.0100706 0.00227054 0.235411 0.0346316 -0.13552 0.0372138 1.11353 0.0364931
creatinine -0.573547 0.0158254 0.0158268 0.00218096 0.24637 0.0217597 -0.31135 0.0275964 0.843498 0.0177508
creatinine_urine -0.447761 0.00586406 0.00894707 0.00180109 0.0732626 0.00703458 -0.365551 0.00990901 1.19595 0.00867831
cystatin_c -0.668384 0.025984 0.00750626 0.00182021 0.354499 0.117546 -0.306379 0.126771 1.06657 0.1035
fev1_fvc 0.397116 0.0117642 0.00431112 0.00196045 0.217553 0.0210704 0.61898 0.0248762 0.360716 0.0235505
fvc 0.841763 0.0202364 0.00532094 0.00198699 0.275664 0.020295 1.12275 0.0311085 -0.0622147 0.0157674
ggt -0.903496 0.014992 0.0097608 0.00197473 0.23772 0.0312095 -0.656015 0.0338359 1.41216 0.0288533
glucose 0.638739 0.00707394 0.00165929 0.00181623 0.0826911 0.0121268 0.72309 0.0164373 0.26929 0.0159849
hair_color 0.412148 0.0134585 0.000604326 0.00192314 0.215573 0.0560661 0.628325 0.0603867 0.356514 0.0579236
hba1c 0.778872 0.0177755 0.0072908 0.00193364 0.258863 0.0327838 1.04503 0.039902 -0.041152 0.0364695
hdl 0.0605637 0.0208581 0.013105 0.00227176 0.293429 0.0405126 0.367097 0.0490152 0.516613 0.0400091
height -0.0042149 0.0361022 0.00785858 0.00165358 0.582373 0.0521755 0.586016 0.0664337 0.202634 0.0325175
igf1 -0.374769 0.0200242 0.0169451 0.00248699 0.290545 0.0210128 -0.0672787 0.0304679 0.991091 0.0282929
ldl 0.25064 0.0112274 0.0107631 0.00256256 0.127785 0.0221164 0.389187 0.025155 0.58857 0.0242389
microalbumin 0.581103 0.00673687 0.00832133 0.00554796 0.03911 0.00690676 0.628534 0.00804683 0.367785 0.00796711
overall_health 0.398718 0.00885769 0.00547002 0.00191288 0.124431 0.00801579 0.528618 0.0114165 0.442046 0.010706
phosphate 0.473235 0.00970611 0.00791939 0.00199536 0.119505 0.0176335 0.60066 0.0233471 0.372316 0.0217671
potassium -0.271369 0.00353509 0.00586484 0.00180745 0.0502646 0.00336769 -0.215239 0.00469621 1.18647 0.00458504
shbg -1.37021 0.0242534 0.0208558 0.00267335 0.294065 0.0510569 -1.05528 0.0677141 1.6448 0.05419
sodium -0.0748606 0.00637654 0.00178241 0.00184031 0.0892275 0.00553104 0.0161494 0.00764272 0.910429 0.00707237
testosterone 0.0426837 0.0138508 0.0884054 0.0130667 0.0881825 0.0140112 0.219272 0.0164219 0.283912 0.00597185
triglycerides 0.612688 0.0172859 0.0102819 0.00180497 0.24378 0.0347615 0.86675 0.0409532 0.123595 0.0379858
urate -0.461534 0.0510184 0.0332725 0.027386 0.373168 0.186321 -0.0550937 0.174069 0.748819 0.12354
