pheno  h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se h2t h2t.se sigma2_e sigma2_e.se
ala_at 0.353206 0.0105292 0.00564828 0.00203163 0.149691 0.0153942 0.508546 0.0191135 0.423303 0.016463
albumin 0.249573 0.0110389 0.00550249 0.00232681 0.150616 0.0132279 0.405691 0.0180535 0.566175 0.0171989
alcohol_freq 0.604451 0.00760897 0.0110154 0.0022084 0.101 0.00760368 0.716466 0.0111323 0.272239 0.0106888
alka_phos 0.390139 0.01949 0.00787847 0.0020502 0.311729 0.0583693 0.709747 0.0633097 0.272063 0.0593421
apo_a 0.00192728 0.0172142 0.00860723 0.00230187 0.245037 0.0301062 0.255572 0.0364782 0.625573 0.0306541
asp_at 0.0636648 0.0119854 0.00680909 0.00200545 0.162395 0.015867 0.232869 0.0191915 0.689331 0.0172451
basal_metabolic 0.519144 0.0260185 0.00990073 0.00192468 0.35531 0.0214405 0.884354 0.0309102 0.0485622 0.0129799
blood_eosinophil -0.168927 0.0165695 0.00484835 0.00194609 0.250187 0.0240037 0.0861076 0.0299119 0.903936 0.029586
blood_lymphocyte -0.133231 0.0163651 0.00866294 0.00192854 0.246709 0.0175711 0.122141 0.0256768 0.865148 0.0253051
blood_mch 0.17667 0.022947 0.00115647 0.00183429 0.282971 0.0297769 0.460797 0.0365571 0.526685 0.0357084
blood_monocyte -0.18215 0.0193687 0.00367439 0.00172477 0.252643 0.027999 0.0741679 0.0342549 0.866076 0.032044
blood_mpv -0.0826245 0.035609 0.00120828 0.00188069 0.409496 0.0494098 0.32808 0.0625678 0.6701 0.0623984
blood_mscv 0.130511 0.01872 0.00724104 0.00229708 0.245199 0.0246318 0.382951 0.032705 0.609418 0.0323005
blood_platelet_distrib_width 0.117009 0.024342 0.00139241 0.00253822 0.297689 0.033074 0.416091 0.0415316 0.570069 0.0405472
blood_platelet 0.154317 0.0225248 0.0075088 0.00206925 0.319701 0.0259559 0.481527 0.0350633 0.484166 0.0327432
blood_rbc_count -0.617689 0.022079 0.0119841 0.00232233 0.264 0.0245357 -0.341705 0.0316388 0.971282 0.0229039
blood_rbc_distrib_width 0.787208 0.0198618 0.00739696 0.00283064 0.236898 0.0225922 1.0315 0.0284802 -0.0310193 0.0280429
blood_reticulocyte -0.0914263 0.0239415 0.00662518 0.0020666 0.280261 0.0286345 0.19546 0.0372706 0.789188 0.0365594
blood_wbc_count -0.0671712 0.0193806 0.00690524 0.00208098 0.233112 0.0190748 0.172846 0.0264587 0.821066 0.026264
bmd_heel_tscore -0.624634 0.0332465 0.01554 0.00580215 0.385879 0.0333417 -0.223214 0.0504127 1.12537 0.04638
bmi 1.50096 0.0157991 0.0182694 0.00283379 0.290473 0.0299055 1.8097 0.0384967 -0.792018 0.037656
bp_diastolic 0.0311506 0.0152506 0.01335 0.00273418 0.173629 0.009336 0.21813 0.0158947 0.755233 0.0153532
bp_systolic 0.727658 0.0167872 0.0136755 0.00258106 0.187796 0.00937032 0.92913 0.0188917 0.0611673 0.0163052
calcium 0.239354 0.0121073 0.00263009 0.00233566 0.158858 0.0213552 0.400842 0.023305 0.580892 0.0225945
cholesterol -0.630154 0.0119754 0.00850647 0.002493 0.141666 0.0193349 -0.479981 0.0217594 1.38526 0.0203667
corneal_hysteresis -0.478098 0.0279268 0.00863811 0.00838477 0.288599 0.0232337 -0.180861 0.0384156 1.14391 0.0372136
c_reactive_prot 0.404513 0.0198055 0.0147229 0.00341028 0.240724 0.0346747 0.65996 0.0394269 0.333445 0.0386622
creatinine 0.531369 0.0177456 0.0198308 0.00269854 0.241482 0.0241385 0.792682 0.0333755 0.133367 0.0214703
creatinine_urine 0.350533 0.00629825 0.00818354 0.00198837 0.0741546 0.00490387 0.432871 0.00733514 0.496643 0.00642347
cystatin_c 0.604805 0.0285593 0.0115899 0.00271102 0.361385 0.118778 0.977779 0.123239 0.018137 0.10059
fev1_fvc -0.419324 0.0169993 0.000708458 0.00207025 0.219008 0.0183346 -0.199608 0.0255991 1.13566 0.0242345
fvc -0.904349 0.0154048 0.00127395 0.00188039 0.267219 0.0217496 -0.635856 0.0279137 0.829204 0.0141493
ggt 0.965063 0.0148781 0.0138502 0.00251448 0.2326 0.031586 1.21151 0.0361291 -0.180253 0.0307895
glucose -0.566327 0.00608381 0.000951111 0.00160456 0.0882678 0.00960763 -0.477108 0.0115892 1.4364 0.0112698
hair_color -0.314281 0.0152364 0.00104987 0.00204927 0.211995 0.0555652 -0.101236 0.0645454 1.05632 0.0619126
hba1c -0.845044 0.019049 0.00115603 0.00233746 0.279081 0.0272669 -0.564807 0.03567 1.42947 0.032585
hdl -0.0787014 0.0214943 0.012413 0.00317892 0.287371 0.0406392 0.221083 0.0524987 0.635677 0.0428444
height 0.0377803 0.0421544 0.0103341 0.00220781 0.609922 0.0379227 0.658036 0.0555306 0.167394 0.0271827
igf1 0.172607 0.0194853 0.0128301 0.0049633 0.296377 0.0205923 0.481814 0.0283196 0.480949 0.0262846
ldl -0.24344 0.00931684 0.0149111 0.002872 0.12736 0.022005 -0.101169 0.0240753 1.05967 0.023168
microalbumin -0.565365 0.00568862 0.00454054 0.00498599 0.0390455 0.00692378 -0.521779 0.006204 1.50667 0.00614239
overall_health -0.376665 0.00860125 0.00633307 0.0016264 0.122574 0.00870806 -0.247759 0.0116578 1.17011 0.0109323
phosphate -0.363183 0.00923662 0.00556016 0.00194103 0.126731 0.0138206 -0.230892 0.0154781 1.14699 0.014423
potassium 0.375934 0.00350026 0.00760928 0.00225055 0.0479468 0.00448659 0.43149 0.00576529 0.555052 0.00562882
shbg 1.5593 0.0189246 0.0218371 0.00380469 0.275484 0.0503663 1.85662 0.0514673 -0.685261 0.0411716
