pheno  h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se h2t h2t.se
ala_at -0.0298242 0.00167884 0.00540184 0.00166259 0.140949 0.0175615 0.116527 0.0175937
albumin 0.0223624 0.00187072 -0.000129211 0.00186328 0.145895 0.0143674 0.168128 0.0143884
alcohol_freq 0.0235379 0.00180992 0.00196928 0.00180753 0.0995161 0.00642655 0.125023 0.00641398
alka_phos -0.000185545 0.00217532 0.00475602 0.00210826 0.319113 0.0582883 0.323684 0.058267
apo_a 0.0154285 0.00202075 0.00302187 0.00201422 0.228605 0.0332954 0.247056 0.0333159
asp_at 0.00585976 0.00183792 0.0025862 0.00181707 0.153958 0.0189451 0.162404 0.0189338
basal_metabolic 0.0149897 0.00203908 0.00228973 0.0020231 0.330859 0.0347028 0.348138 0.0347887
blood_eosinophil 0.00103992 0.00159433 -0.00032884 0.00159249 0.237399 0.0270288 0.23811 0.0270111
blood_lymphocyte 0.0163906 0.00183374 0.00422241 0.00183639 0.228439 0.0205945 0.249052 0.0206177
blood_mch 0.00553152 0.00187156 -0.000309351 0.00182577 0.26949 0.0330142 0.274713 0.0330503
blood_monocyte 0.0101992 0.00191253 0.000772796 0.00192946 0.237167 0.0305397 0.248139 0.0305695
blood_mpv 0.0059748 0.00158379 0.00277395 0.0015513 0.403248 0.0528289 0.411996 0.0528212
blood_mscv 0.00380999 0.00186103 -0.00196787 0.00184725 0.235538 0.0270147 0.23738 0.0269884
blood_platelet 0.00637255 0.00176413 0.00482625 0.00173942 0.303114 0.0319405 0.314313 0.0319875
blood_platelet_distrib_width -0.00154404 0.00176212 0.0015788 0.00174741 0.283633 0.0348305 0.283668 0.0348594
blood_rbc_count 0.0398358 0.0021913 -0.000791251 0.00215823 0.242705 0.038336 0.281749 0.0383507
blood_rbc_distrib_width 0.000555589 0.00167168 0.00162703 0.00164857 0.225245 0.025898 0.227428 0.0259245
blood_reticulocyte -0.00643518 0.00155069 -0.00180064 0.00154555 0.264751 0.0301528 0.256515 0.0301159
blood_wbc_count -0.00720914 0.00172669 0.00297811 0.00174425 0.218563 0.0222519 0.214332 0.0222723
bmd_heel_tscore 0.0194733 0.00528089 0.000872034 0.00521831 0.37949 0.0329287 0.399836 0.0328871
bmi -0.0270097 0.00161832 0.00336389 0.00165369 0.293277 0.0186684 0.269631 0.0186468
bp_diastolic -0.00919703 0.00237291 0.00917925 0.00238951 0.167954 0.0167617 0.167937 0.0167473
bp_systolic -0.00664025 0.00220621 0.00514754 0.00220384 0.187078 0.00993933 0.185586 0.00995164
calcium 0.0103532 0.00195992 0.00342017 0.00197065 0.153068 0.0235259 0.166841 0.0235295
cholesterol -0.0146918 0.00194309 0.00888182 0.00194338 0.214483 0.0383163 0.208673 0.0383701
corneal_hysteresis 0.0197571 0.00856961 -0.00816721 0.00858517 0.27619 0.0272104 0.28778 0.0272138
c_reactive_prot -0.015823 0.00181621 0.00509047 0.00182203 0.226918 0.0358039 0.216186 0.0358117
creatinine 0.0670026 0.00242172 0.0027764 0.00239992 0.232267 0.0294344 0.302046 0.029468
creatinine_urine -0.00866631 0.00178461 0.00012663 0.00178516 0.0735307 0.00460356 0.064991 0.00460402
cystatin_c 0.0483533 0.00199235 0.00408071 0.00196952 0.342913 0.116196 0.395347 0.116112
fev1_fvc 0.0121861 0.00205741 0.00107135 0.00207128 0.215443 0.0226755 0.228701 0.0226772
fvc 0.0218894 0.00212134 0.000948843 0.0021079 0.259269 0.0243239 0.282107 0.0243754
ggt -0.0254441 0.00164924 0.00602882 0.00163903 0.234012 0.0311341 0.214597 0.031145
glucose 0.0784922 0.00271724 0.0113516 0.0027208 0.0814358 0.0106395 0.17128 0.0106452
hair_color 0.017179 0.00168521 -0.0016492 0.00166039 0.21504 0.056127 0.23057 0.0561347
hba1c 0.0533341 0.00226283 0.0160578 0.00227018 0.256958 0.0308904 0.32635 0.0309306
hdl 0.0177088 0.00229799 0.00575985 0.00230221 0.277783 0.0401059 0.301251 0.0401054
height -0.0029071 0.00167701 0.00242626 0.00171837 0.586439 0.0433995 0.585959 0.0433513
igf1 0.0261818 0.00195745 0.00332084 0.00196026 0.283879 0.0276265 0.313382 0.0276209
ldl -0.029129 0.00225988 0.00938091 0.00224767 0.223581 0.0374801 0.203833 0.0374786
microalbumin 0.034453 0.00560961 0.00710851 0.0056102 0.0366034 0.00678171 0.0781649 0.0067849
overall_health 0.0209663 0.00168288 0.00400396 0.00168008 0.113693 0.00658741 0.138663 0.00657301
phosphate 0.0187911 0.00179155 -0.00222352 0.00179237 0.128175 0.0140535 0.144743 0.0140495
potassium -0.0153703 0.00157784 0.00120279 0.00157461 0.0467693 0.00517041 0.0326019 0.00517077
shbg -0.00121049 0.002262 0.00424432 0.00230146 0.267773 0.0506159 0.270806 0.0505895
sodium -0.00863802 0.0015444 0.000840877 0.00154952 0.0869937 0.00559944 0.0791965 0.00559883
testosterone -0.0162601 0.00178655 0.00210298 0.00179227 0.0890888 0.0132662 0.0749316 0.0132597
triglycerides -0.0019637 0.00188383 0.00276869 0.00188346 0.242366 0.0339159 0.243171 0.0338982
urate 0.041028 0.00276993 0.00558972 0.0027592 0.368344 0.185804 0.414962 0.185692
urea 0.0421579 0.00195217 -0.00254902 0.00195563 0.140826 0.0106224 0.180435 0.0106018
vitamin_d 0.0131513 0.00190569 0.00235897 0.00190863 0.117851 0.0230512 0.133361 0.0230537
whr 0.00318422 0.00189102 0.00242913 0.00190217 0.186589 0.00961686 0.192203 0.00960176
