pheno  h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se h2t h2t.se
ala_at 0.0847859 0.00794706 0.0193679 0.00829922 0.126001 0.0140213 0.230155 0.0140472
albumin -0.0973459 0.00435724 -0.00243489 0.00454137 0.160793 0.011692 0.0610125 0.0118687
alcohol_freq -0.103929 0.00336772 -0.00968444 0.00373196 0.103713 0.00893133 -0.00989976 0.00908884
alka_phos -0.0235822 0.0108688 0.00500885 0.0114859 0.304705 0.0576682 0.286131 0.0572949
apo_a -0.0573397 0.00659994 -0.0127112 0.00669722 0.256577 0.0316852 0.186526 0.0318278
asp_at -0.0354998 0.00759821 0.00146246 0.00843852 0.154295 0.0160372 0.120257 0.0164467
basal_metabolic -0.0650237 0.0093898 -0.00382967 0.0101528 0.352192 0.028563 0.283339 0.0282202
blood_eosinophil -0.0109348 0.00489024 0.00497635 0.00477324 0.235874 0.0242802 0.229916 0.0242114
blood_lymphocyte -0.0770121 0.00510839 -0.00234892 0.00523067 0.23582 0.0191169 0.156459 0.0189794
blood_mch -0.0122941 0.00769173 -0.00629916 0.00877423 0.270086 0.0340365 0.251493 0.0349054
blood_monocyte -0.0406429 0.00576465 0.00548779 0.00571349 0.242923 0.0276144 0.207768 0.0274558
blood_mpv -0.0478398 0.00708791 0.0141706 0.00665919 0.385499 0.0571264 0.35183 0.057149
blood_mscv -0.017469 0.00617452 0.00060234 0.00683854 0.240982 0.026597 0.224115 0.0258545
blood_platelet -0.0394624 0.00942595 -0.00542065 0.0109604 0.30257 0.0316766 0.257687 0.0327752
blood_platelet_distrib_width 0.00224987 0.00566435 0.00953164 0.00528879 0.288071 0.0321416 0.299852 0.032017
blood_rbc_count -0.17075 0.00599189 0.00112727 0.00656699 0.266604 0.0256375 0.0969812 0.0252268
blood_rbc_distrib_width -0.0115261 0.00520139 0.00442006 0.00572886 0.233189 0.0226951 0.226083 0.0222367
blood_reticulocyte 0.0279531 0.00552237 0.00190181 0.00611234 0.271057 0.029392 0.300912 0.0289362
blood_wbc_count 0.0127603 0.00493671 0.00821466 0.00519555 0.223128 0.020005 0.244103 0.0198213
bmd_heel_tscore -0.0636835 0.0173373 -0.0148455 0.0203786 0.354356 0.0397885 0.275827 0.0423408
bmi 0.0794687 0.0050488 0.0163685 0.00574564 0.285874 0.0170443 0.381711 0.0163139
bp_diastolic -0.0466666 0.00647922 0.052343 0.00670098 0.132565 0.0101315 0.138242 0.0103229
bp_systolic -0.0446814 0.00762311 0.0463853 0.00751762 0.142366 0.00923938 0.14407 0.00923118
calcium -0.0550618 0.00529312 -0.00235882 0.00536005 0.158361 0.0206973 0.10094 0.0208414
cholesterol -0.013791 0.0110558 0.0528822 0.0110574 0.185594 0.0281409 0.224686 0.0280634
corneal_hysteresis -0.0162522 0.0172135 -0.0292843 0.0193194 0.283616 0.0311216 0.238079 0.0328143
c_reactive_prot 0.0384829 0.0135019 0.0120532 0.0146381 0.217166 0.0328347 0.267702 0.0329895
creatinine -0.302542 0.00570693 0.00112924 0.00565649 0.230319 0.0324197 -0.0710942 0.0333581
creatinine_urine 0.0350426 0.00383001 0.00163145 0.00394075 0.0695866 0.0069843 0.106261 0.00692979
cystatin_c -0.21748 0.00633912 0.00157646 0.00585472 0.355308 0.116482 0.139405 0.116094
fev1_fvc -0.0697754 0.00513404 0.00718717 0.005708 0.219231 0.0151655 0.156643 0.0147989
fvc -0.0945116 0.00458428 -0.00799689 0.00461932 0.282322 0.0158354 0.179813 0.0156267
ggt 0.0516734 0.00452023 0.0382401 0.00459344 0.211042 0.0280439 0.300956 0.0280829
glucose -0.37238 0.00534262 -0.00237168 0.00551276 0.0883156 0.0111907 -0.286436 0.0110556
hair_color -0.0554264 0.00664544 -0.00659498 0.00635799 0.222954 0.0555498 0.160933 0.0555579
hba1c -0.296619 0.0113995 -0.00287367 0.0119657 0.274499 0.0244614 -0.024994 0.0243001
hdl -0.0873913 0.0102198 -0.00858035 0.0106453 0.295874 0.0426149 0.199903 0.0423556
height 0.0162634 0.0160849 -0.0148862 0.0148275 0.596524 0.0394861 0.597901 0.0397252
igf1 -0.117956 0.00575923 -0.0107046 0.005553 0.316395 0.0214246 0.187735 0.0219439
ldl 0.0223612 0.0117483 0.0625783 0.0117589 0.169889 0.0311532 0.254828 0.0312823
microalbumin -0.123151 0.00777166 -0.0143581 0.00790977 0.0434527 0.00935035 -0.0940564 0.0092871
overall_health -0.1026 0.00394886 -0.00239289 0.00444063 0.116065 0.00763943 0.0110721 0.00734947
phosphate -0.0597395 0.00550683 -0.00904591 0.00545096 0.136077 0.0119681 0.0672918 0.0118712
potassium 0.0671097 0.00318421 0.00144334 0.00338733 0.0479237 0.00432515 0.116477 0.00417621
shbg -0.010981 0.00657251 -0.0035307 0.00671242 0.277256 0.050908 0.262744 0.0506187
sodium 0.0261856 0.00337956 0.0117556 0.00349681 0.0751354 0.00775792 0.113077 0.00792117
testosterone 0.071863 0.00362899 -0.00628955 0.00361196 0.0937359 0.0148866 0.159309 0.0149184
triglycerides 0.00143144 0.00418078 0.00416455 0.00420295 0.233316 0.0341931 0.238912 0.0340686
urate -0.249445 0.0286455 0.0491048 0.0300831 0.356122 0.173997 0.155781 0.17523
urea -0.165991 0.00511059 -0.00542773 0.00536829 0.145033 0.0141748 -0.0263855 0.0141513
vitamin_d -0.0595195 0.00346991 -0.000655187 0.00352168 0.114713 0.0234968 0.054538 0.0235126
whr -0.0257266 0.00449231 0.00896092 0.0044458 0.17604 0.0107403 0.159274 0.0107502
