pheno status
ala_at flip
albumin flip
alcohol_freq flip
alka_phos flip
apo_a def
asp_at flip
basal_metabolic flip
blood_eosinophil def
blood_lymphocyte def
blood_mch flip
blood_monocyte def
blood_mpv def
blood_mscv flip
blood_platelet_distrib_width flip
blood_platelet flip
blood_rbc_count def
blood_rbc_distrib_width 0
blood_reticulocyte def
blood_wbc_count def
bmd_heel_tscore def
bmi 0
bp_diastolic flip
bp_systolic flip
calcium flip
cholesterol def
corneal_hysteresis def
c_reactive_prot flip
creatinine flip
creatinine_urine flip
cystatin_c 0
fev1_fvc def
fvc 0
ggt 0
glucose def
hair_color def
hba1c 0
hdl def
height flip
igf1 flip
ldl def
microalbumin def
overall_health def
phosphate def
potassium flip
shbg 0
sodium flip
testosterone def
triglycerides def
urate flip
urea def
vitamin_d flip
whr flip
