pheno g g.se gxe gxe.se e e.se
ala_at 0.158192 0.0118505 -0.0102268 0.000625266 0.695055 0.0119871
albumin 0.190809 0.0125555 0.0137617 0.0007584 0.747867 0.0125749
alcohol_freq 0.233601 0.00970133 0.0364684 0.00160661 1.84339 0.0098697
alka_phos 0.457707 0.118255 0.0063884 0.000788711 0.469186 0.11832
apo_a 0.321797 0.0621938 0.0111454 0.00082521 0.50068 0.0622673
asp_at 0.193048 0.0192105 0.00542299 0.000678804 0.693132 0.0192327
basal_metabolic 0.170902 0.00706755 0.00485353 0.000339691 0.240719 0.00709687
blood_eosinophil 0.285313 0.0217677 0.000618945 0.000654121 0.675809 0.0218163
blood_lymphocyte 0.279803 0.0169061 0.0124628 0.000753037 0.688688 0.016858
blood_mch 0.373738 0.0568405 0.00274956 0.000773236 0.599967 0.0567513
blood_monocyte 0.293973 0.0278921 0.00567597 0.00079206 0.624637 0.0278512
blood_mpv 0.551416 0.0651143 0.00624098 0.000821586 0.438409 0.0649272
blood_mscv 0.30647 0.0293761 0.0016558 0.000704059 0.675557 0.0291895
blood_platelet 0.392682 0.0312234 0.00786046 0.000782276 0.533 0.0311963
blood_platelet_distrib_width 0.370761 0.039212 0.000722751 0.00080083 0.604082 0.039066
blood_rbc_count 0.251375 0.0308999 0.0171781 0.000636932 0.456374 0.0308957
blood_rbc_distrib_width 0.305021 0.0259841 0.00217056 0.000744813 0.677457 0.0260696
blood_reticulocyte 0.305545 0.0298524 -0.00360721 0.000831239 0.644687 0.029909
blood_wbc_count 0.275396 0.0229434 -0.00136458 0.000888558 0.706204 0.0228345
bmd_heel_tscore 0.413539 0.0426249 0.0126317 0.0010207 0.493289 0.0425935
bmi 0.307233 0.0129014 -0.0101468 0.000763039 0.65298 0.0129423
bp_diastolic 0.188856 0.00640813 0.00272081 0.000899986 0.767267 0.00655502
bp_systolic 0.178898 0.00711813 0.0016098 0.000692799 0.681353 0.00740326
calcium 0.182197 0.02205 0.0104345 0.000952964 0.775753 0.0217704
cholesterol 0.302871 0.0843893 0.00228782 0.00103773 0.450557 0.0851723
corneal_hysteresis 0.335146 0.0246975 0.00934719 0.00120565 0.621948 0.0247495
c_reactive_prot 0.392679 0.108683 -0.0039973 0.000846162 0.591441 0.108638
creatinine 0.19495 0.0104315 0.0278924 0.000646125 0.419384 0.0105546
creatinine_urine 0.0686159 0.002595 -0.0041135 0.0006792 0.810017 0.00259967
cystatin_c 0.297666 0.0621026 0.0268773 0.000752273 0.487145 0.0620967
fev1_fvc 0.255657 0.0153794 0.00817211 0.000826827 0.682298 0.0154289
fvc 0.158198 0.00609704 0.00761499 0.000400362 0.335634 0.00611181
ggt 0.264671 0.0339842 -0.00734695 0.000629016 0.580499 0.0339361
glucose 0.105636 0.0114375 0.056702 0.00122299 0.793394 0.0113738
hair_color 0.352967 0.115442 0.00906473 0.000814632 0.717817 0.115318
hba1c 0.281842 0.0235818 0.0416712 0.000937484 0.534519 0.0237947
hdl 0.375455 0.0923633 0.0130278 0.00078254 0.407032 0.0922084
height 0.340492 0.0161016 0.000355473 0.000411096 0.146341 0.0160689
igf1 0.320687 0.0190134 0.0181139 0.000857916 0.584401 0.0189716
ldl 0.339841 0.12297 -0.00334766 0.0013073 0.436193 0.124018
microalbumin 0.043991 0.00700011 0.0258019 0.00110438 0.891539 0.0070363
overall_health 0.0594618 0.00190594 0.00912345 0.000399058 0.432093 0.00191215
phosphate 0.149599 0.0132432 0.00925526 0.00080486 0.770843 0.013412
potassium 0.0508136 0.00216282 -0.00783546 0.000682485 0.933365 0.00234371
shbg 0.298516 0.067906 0.00291741 0.000703597 0.481855 0.0679578
sodium 0.0868012 0.00360065 -0.00383052 0.000598122 0.841146 0.00353349
testosterone 0.0430549 0.00707956 -0.00305749 0.000291911 0.320485 0.00707718
triglycerides 0.319188 0.0541268 0.00317269 0.000975766 0.599926 0.0543108
urate 0.268756 0.109452 0.0218004 0.000662251 0.414538 0.10956
urea 0.151843 0.00957935 0.0220876 0.000741067 0.73081 0.00963875
vitamin_d 0.134641 0.0271396 0.0101764 0.000852114 0.840839 0.0270773
whr 0.115726 0.00424598 0.00209348 0.000403339 0.428641 0.00429386
