pheno g g.se gxe gxe.se e e.se
ala_at 0.155196 0.0118935 0.0033069 0.00150554 0.707743 0.0118968
albumin 0.190974 0.0123456 -0.000269091 0.00188897 0.739512 0.0123209
alcohol_freq 0.104381 0.00420855 0.00316028 0.0017446 0.826472 0.00421587
alka_phos 0.455644 0.117687 0.00660346 0.00190594 0.47339 0.117581
apo_a 0.321935 0.0623859 0.00370804 0.00194199 0.495829 0.0623298
asp_at 0.190878 0.0190386 0.00166349 0.00182718 0.694036 0.0190234
basal_metabolic 0.171474 0.00695726 0.00136041 0.000787207 0.238121 0.0069417
blood_eosinophil 0.289045 0.0225714 0.00102835 0.00178265 0.698041 0.0226183
blood_lymphocyte 0.277384 0.0172297 0.00158567 0.0017558 0.685776 0.0172221
blood_mch 0.373629 0.0570714 -0.000786514 0.0018571 0.598752 0.0571093
blood_monocyte 0.296112 0.0282079 -0.00130425 0.00199766 0.624356 0.0282465
blood_mpv 0.559097 0.0652805 0.00315868 0.00178174 0.428744 0.0652619
blood_mscv 0.309115 0.0300258 -0.00124033 0.00168582 0.671029 0.0300154
blood_platelet 0.389007 0.031527 0.00440199 0.00191642 0.53432 0.0315648
blood_platelet_distrib_width 0.366253 0.0386334 0.00128873 0.00185565 0.610356 0.0386159
blood_rbc_count 0.251951 0.0311312 0.00127565 0.0014786 0.444223 0.0311427
blood_rbc_distrib_width 0.305169 0.0255477 0.0011366 0.0018609 0.678719 0.0254749
blood_reticulocyte 0.304548 0.0298855 -0.000510701 0.00203508 0.653674 0.0298283
blood_wbc_count 0.277888 0.0233144 0.0036201 0.00196756 0.707444 0.0232654
bmd_heel_tscore 0.410979 0.0422402 -0.00381555 0.00535019 0.491142 0.0422211
bmi 0.313485 0.0131593 0.00669028 0.00172073 0.657013 0.0131927
bp_diastolic 0.190332 0.00630254 0.00791624 0.00221631 0.76839 0.00631151
bp_systolic 0.178181 0.00704948 0.00590499 0.00169129 0.683971 0.00703604
calcium 0.184119 0.0222112 0.00499354 0.00222618 0.771182 0.0222215
cholesterol 0.305022 0.084821 0.0123435 0.00249453 0.454995 0.0848228
corneal_hysteresis 0.341764 0.0256037 -0.00403063 0.00789805 0.614542 0.0256498
c_reactive_prot 0.393643 0.108825 0.00587086 0.00188525 0.597573 0.108854
creatinine 0.194633 0.0100687 0.00101153 0.00153113 0.40279 0.0100858
creatinine_urine 0.0684992 0.00252379 0.0003015 0.00158709 0.814294 0.00252176
cystatin_c 0.300616 0.0626748 0.0043551 0.00184573 0.46882 0.0626595
fev1_fvc 0.257748 0.0160291 -0.000998727 0.00198575 0.675001 0.0160604
fvc 0.159901 0.00604159 0.00150683 0.00108912 0.33022 0.00604921
ggt 0.267091 0.0343062 0.00699295 0.00146069 0.587028 0.0342513
glucose 0.105266 0.0113371 0.0123361 0.0027142 0.765327 0.0113219
hair_color 0.311643 0.101755 -0.00193562 0.00163952 0.633158 0.10159
hba1c 0.283693 0.023408 0.0175633 0.00232363 0.515555 0.0233838
hdl 0.377966 0.0926396 0.00345904 0.00197737 0.398074 0.0926115
height 0.334426 0.0174911 0.00111793 0.000979972 0.152962 0.0175384
igf1 0.321995 0.0187203 0.00303005 0.00202262 0.573099 0.0187369
ldl 0.333257 0.120866 0.0137632 0.00298058 0.45517 0.120715
microalbumin 0.0441582 0.00721672 0.0021598 0.0047299 0.89306 0.00721329
overall_health 0.106428 0.00331033 0.00663193 0.00170396 0.770869 0.00331322
phosphate 0.149389 0.0132307 -0.00188273 0.00186957 0.765503 0.0132284
potassium 0.0513026 0.00215277 0.00295263 0.0017139 0.937994 0.0021515
shbg 0.300488 0.0680535 0.00538887 0.00176189 0.479522 0.0679989
sodium 0.0862209 0.0036452 0.00112356 0.00163652 0.84454 0.00363667
testosterone 0.0431677 0.00709996 0.000493768 0.000747309 0.322424 0.00709926
triglycerides 0.317039 0.0539959 0.00613551 0.00229122 0.604055 0.0539635
urate 0.265957 0.108454 0.00439948 0.00160789 0.406968 0.108404
urea 0.151574 0.00957537 -0.000590044 0.00164221 0.71581 0.00958896
vitamin_d 0.134259 0.0271512 0.00325129 0.00223472 0.836081 0.0271668
whr 0.115387 0.00448095 0.00204291 0.00093124 0.427524 0.00448309
