true.gxe	true.nxe	true.g	h2.g	h2.g.se	h2.gxe	h2.gxe.se	fpr.gxe	fpr.gxe.ci	fpr.gxe.adj	fpr.gxe.adj.ci
0.1	0.1	0.25	0.24518571	0.01929018483856233	0.10036600899999999	0.029015787432958268	0.94	0.04654742098118865	0.52	0.09792156861488689
0.1	0.1	0.25	0.25298677999999997	0.011053210598355574	0.09805116099999997	0.018106135894723065	1.0	0.0	0.97	0.033435095334094694
0.1	0.1	0.25	0.24626333000000003	0.008340690750837128	0.101678278	0.011127856441072377	1.0	0.0	1.0	0.0
0.1	0.1	0.25	0.24919409000000006	0.005910581186473967	0.10252826899999999	0.004517561431031015	1.0	0.0	1.0	0.0
0.05	0.05	0.25	0.24503613	0.018132054047820947	0.046919426800000004	0.02171802861639577	0.59	0.09639932779848623	0.05	0.042717209646698596
0.05	0.05	0.25	0.25687518	0.010913170727501701	0.050637445	0.014648703875158205	0.98	0.02744000000000001	0.51	0.09798039803960791
0.05	0.05	0.25	0.24855844999999996	0.008890411740043312	0.051059143	0.008849151905671582	1.0	0.0	1.0	0.0
0.05	0.05	0.25	0.25160044444444446	0.006807032353311888	0.050554184848484854	0.002488986151811988	1.0	0.0	1.0	0.0
0.01	0.01	0.25	0.24699496999999998	0.016092112680723435	0.0086330944	0.018904641562897367	0.14	0.0680094581657581	0.0	0.0
0.01	0.01	0.25	0.25720155999999994	0.014227842747458237	0.007677345598999998	0.01158524996432216	0.2	0.0784	0.0	0.0
0.01	0.01	0.25	0.24814766	0.009348092537218489	0.010137446960000001	0.005460052601771527	0.6	0.09601999791710059	0.05	0.042717209646698596
0.01	0.01	0.25	0.2501773571428571	0.0063800956973342395	0.01097157581632653	0.0018415774362047933	1.0	0.0	0.9591836734693877	0.03878143885933065
0.005	0.005	0.25	0.25125754	0.017968066807767608	0.004356549185	0.019822771978937354	0.13	0.06591547314553692	0.0	0.0
0.005	0.005	0.25	0.25696519	0.011431090168216678	0.0053260066	0.01111174779333101	0.15	0.06998599859971993	0.0	0.0
0.005	0.005	0.25	0.25218173	0.008327896831559576	0.004486526129	0.005444657266430648	0.24	0.08370829349592547	0.0	0.0
0.005	0.005	0.25	0.24921436363636368	0.006174665815117013	0.00552588291919192	0.002082238873514963	0.8888888888888888	0.061596857383361486	0.2222222222222222	0.08148498308974361
