pheno	h2g.female	h2g.se.female	h2g.male	h2g.se.male	h2gxe.female	h2gxe.se.female	h2gxe.male	h2gxe.se.male	h2gxe.prop.female	h2gxe.prop.se.female	h2gxe.prop.male	h2gxe.prop.se.male	Category	h2g	h2g.se	h2gxe	h2gxe.se	h2exn	h2exn.se	h2tot	h2tot.se
Alanine aminotransferase	0.203862	0.0158257	0.193326	0.0141225	0.00391885	0.00386004	0.00491747	0.00328782	0.0192230528494766	0.01893457338788	0.0254361544748249	0.0170066105955743	Liver	0.183932	0.0140951	0.00391576	0.00178131	-0.0274307	0.0017783	0.160417	0.0141129
Albumin	0.204444	0.0151238	0.201355	0.0129425	-0.000722138	0.00430439	0.000964632	0.00378655	-0.0035322044178356	0.021054127291581	0.0047907029872613	0.0188053437957835	Blood biochemistry	0.200392	0.0129554	-0.000283117	0.00198753	0.0233905	0.00198608	0.223499	0.0129372
Alcohol intake frequency	0.0994995	0.00639827	0.134209	0.00517718	0.00118162	0.0041729	0.00749915	0.00343907	0.0118756375660179	0.041938904215599	0.0558766550678419	0.0256247345558047	Other	0.109126	0.00439969	0.00330935	0.001825	0.0225865	0.00182877	0.135022	0.00441229
Alkaline phosphatase	0.55083	0.151533	0.451334	0.103174	0.0113385	0.00419566	0.00893936	0.00382181	0.0205843908283862	0.0076169780149955	0.0198065290893218	0.0084678087624685	Liver	0.488009	0.126046	0.00709091	0.00204369	-0.00249041	0.00210169	0.492609	0.126026
Apolipoprotein A	0.415077	0.0777186	0.370537	0.0701936	0.00523673	0.00478128	0.00784716	0.00437171	0.0126162856530234	0.0115190193626724	0.0211778041059327	0.0117983089408075	Lipid metabolism	0.385938	0.0747882	0.00444816	0.00232834	0.0147301	0.00231533	0.405116	0.0747819
Aspartate aminotransferase	0.230517	0.0204276	0.22034	0.0222797	0.000269227	0.00432443	0.00460511	0.00338566	0.0011679268774103	0.0187597010198813	0.0209000181537623	0.0153656167740764	Liver	0.213968	0.0213425	0.00186645	0.0020492	0.00569324	0.00204119	0.221528	0.0213378
Basal metabolic rate	0.441725	0.0213945	0.393823	0.0151866	0.00710324	0.00449836	-0.000240766	0.00390328	0.0160806836832871	0.0101836210311845	-0.000611355862913	0.009911254548363	Anthropometry	0.411574	0.016701	0.00323356	0.00186994	0.0131834	0.00189219	0.427991	0.0166752
Eosinophil count	0.307236	0.0229233	0.294665	0.0225007	0.00291467	0.00437979	0.00381534	0.00313892	0.0094867463448293	0.0142554583447252	0.0129480596609709	0.0106525036906317	Blood biochemistry	0.292666	0.0228549	0.0010428	0.00180712	-0.00107151	0.0018121	0.292638	0.0229203
Lymphocyte count	0.270861	0.0167076	0.304183	0.0201283	0.00631206	0.00376843	0.000662565	0.00367578	0.0233036871310376	0.0139127818327481	0.0021781789251864	0.012084107264377	Blood biochemistry	0.282507	0.0175496	0.0016221	0.00179565	0.0169692	0.00182662	0.301099	0.0175518
Mean corpuscular hemoglobin	0.396551	0.0568849	0.364334	0.0569761	0.00104799	0.00458779	0.000202913	0.00348867	0.0026427622172179	0.0115692306916386	0.0005569422562813	0.0095754719570504	Blood biochemistry	0.382406	0.0584131	-0.000808448	0.00190916	0.0050766	0.00190826	0.386674	0.0584994
