Method,ave,se,true_se,true_val,bias,pval,num_rej
MEMMA,4.2842609e-05,0.00112224017,0.00428673954857311,0,4.2842609e-05,0.92039023020401,0.04
MEMMA,0.00729526717894737,0.00116848861052632,0.00414967262838879,0.04,0.00729526717894737,3.48456566224891e-69,0.442105263157895
MEMMA,0.019758898125,0.0012521875,0.00414440342603729,0.1,0.019758898125,0,1
MEMMA,0.0431150840909091,0.0013172775,0.00456590191200915,0.2,0.0431150840909091,0,1
GENIE,-0.0250248527272727,0.0809475222222222,0.0811292193306159,0,-0.0250248527272727,0.00203848566922917,0.0707070707070707
GENIE,0.0139024077848485,0.0826233474747475,0.0845849700799156,0.04,0.0139024077848485,0.10025831385097,0.0505050505050505
GENIE,0.0022049077,0.082099968,0.0865546698557898,0.1,0.0022049077,0.798922666685226,0.05
GENIE,0.01250130975,0.081094977,0.0887677291831384,0.2,0.01250130975,0.159037239187621,0.05
GPLEMMA,5.12906454545455e-05,0.00112216562626263,0.00430771839735043,0,5.12906454545455e-05,0.905222394790584,0.0404040404040404
GPLEMMA,0.00740343342,0.00116811408,0.00413893593889936,0.04,0.00740343342,1.48148363781288e-71,0.46
GPLEMMA,0.0200135651041667,0.00125271511458333,0.0041970196924354,0.1,0.0200135651041667,0,1
GPLEMMA,0.043406149,0.001320936,0.00453381526024599,0.2,0.043406149,0,1
