pheno sigma2_e sigma2_e.se h2g h2g.se h2gxe h2gxe.se h2exn h2exn.se h2tot h2tot.se
ala_at 0.388229 0.0158853 0.192155 0.0130666 0.00902918 0.00223119 0.348083 0.0129875 0.549267 0.0184428
albumin 0.504489 0.0173258 0.199016 0.0131031 0.00288803 0.00205053 0.268539 0.0135853 0.470443 0.0181867
alcohol_freq 0.267674 0.0094375 0.112272 0.00471455 0.0112895 0.00182877 0.59766 0.00769801 0.721221 0.00982903
alka_phos 0.0293868 0.133547 0.488234 0.126148 0.00854549 0.00278556 0.471869 0.0372516 0.968648 0.142476
apo_a 0.580022 0.0695357 0.386921 0.0743241 0.0107866 0.00254116 -0.0879305 0.0316555 0.309777 0.082747
asp_at 0.601122 0.0239632 0.216692 0.021266 0.00758605 0.00223422 0.106755 0.014649 0.331033 0.0266678
basal_metabolic 0.045453 0.0148615 0.407369 0.0169215 0.0083307 0.00191304 0.476059 0.0307437 0.891759 0.035391
blood_eosinophil 0.792083 0.0304418 0.296635 0.0225621 0.00441878 0.00204475 -0.101861 0.0196265 0.199193 0.0307771
blood_lymphocyte 0.841664 0.0282691 0.287786 0.0175966 0.00686842 0.00215993 -0.148684 0.0210444 0.14597 0.0286844
blood_mch 0.376542 0.0665204 0.384688 0.0585761 0.00069013 0.00204512 0.22913 0.0279745 0.614509 0.0681014
blood_monocyte 0.81798 0.0375635 0.319224 0.0297586 0.00416084 0.0020787 -0.197802 0.0231942 0.125583 0.0401553
blood_mpv 0.45048 0.0811405 0.561179 0.0657371 0.00410223 0.00250654 -0.0169841 0.0409713 0.548297 0.0813609
blood_mscv 0.639384 0.0366687 0.318888 0.0298122 0.00531309 0.00220559 0.0284086 0.0221053 0.352609 0.0371279
blood_platelet_distrib_width 0.434989 0.049528 0.38186 0.0401182 0.00378364 0.00218496 0.168807 0.027852 0.55445 0.0507305
blood_platelet 0.465093 0.0435181 0.421413 0.0334166 0.00707666 0.00175142 0.0734621 0.0303748 0.501952 0.0466017
blood_rbc_count 0.836995 0.0387157 0.351477 0.0430601 0.0126904 0.00184211 -0.520372 0.0260048 -0.156205 0.0534809
blood_rbc_distrib_width -0.115738 0.0367355 0.311377 0.026539 0.010334 0.00252733 0.795832 0.0230007 1.11754 0.0373085
blood_reticulocyte 0.680718 0.0413158 0.333187 0.0312032 0.00610395 0.00214146 -0.0332508 0.0235519 0.30604 0.0421195
blood_wbc_count 0.704901 0.0314695 0.288773 0.0232617 0.00946187 0.00200604 -0.00836188 0.0210739 0.289873 0.0317028
bmd_heel_tscore 0.980998 0.0486303 0.449165 0.0460224 0.0155478 0.00626333 -0.531006 0.0324103 -0.0662928 0.0528585
bmi -0.913118 0.0316788 0.338727 0.0140534 0.01832 0.0023948 1.57646 0.0251721 1.9335 0.0323861
bp_diastolic 0.618962 0.0158456 0.192917 0.00655817 0.0149668 0.00218335 0.151323 0.012802 0.359207 0.0164045
bp_systolic 0.0222437 0.0157163 0.207904 0.00817188 0.0168505 0.00203349 0.749474 0.0143153 0.974228 0.0182094
calcium 0.485899 0.0309094 0.194242 0.0232141 0.00405047 0.00217372 0.300529 0.0158959 0.498822 0.0318814
cholesterol 1.18391 0.0718559 0.243404 0.0663464 0.0154337 0.00477672 -0.523701 0.0187571 -0.264863 0.0767693
corneal_hysteresis 0.739759 0.0383393 0.352123 0.025937 0.00231992 0.00874895 -0.118095 0.0259246 0.236347 0.0395776
c_reactive_prot 0.121923 0.123603 0.403425 0.110861 0.0175356 0.00399997 0.454705 0.0329405 0.875666 0.126048
creatinine 0.0825846 0.0198532 0.304456 0.0155092 0.0237761 0.00273244 0.54339 0.0237938 0.871623 0.0308617
creatinine_urine 0.448147 0.00572059 0.0804207 0.00278771 0.00801767 0.00205452 0.399811 0.00637104 0.488249 0.00653249
cystatin_c -0.00558319 0.0735573 0.374523 0.0773229 0.0115384 0.00253351 0.620779 0.0291911 1.00684 0.0901202
fev1_fvc 1.04278 0.0275966 0.27365 0.0164669 -0.000234223 0.0019821 -0.374919 0.0207051 -0.101503 0.0291505
fvc 0.795479 0.0133775 0.324482 0.0121884 -0.000260202 0.00193376 -0.893545 0.023633 -0.569324 0.0263911
ggt -0.305941 0.0432868 0.326632 0.0400331 0.0191411 0.00269174 1.01322 0.0252666 1.359 0.0507937
glucose 1.54774 0.0152808 0.114631 0.0119034 -4.26863e-05 0.00160951 -0.706193 0.00890105 -0.591605 0.0157139
hair_color 0.935269 0.105289 0.327424 0.107036 0.00240045 0.00197479 -0.304867 0.02029 0.0249582 0.109767
hba1c 1.49045 0.0358652 0.332754 0.0262545 -0.00359379 0.00167606 -0.960724 0.0273772 -0.631564 0.0392608
hdl 0.507267 0.105217 0.48075 0.114985 0.014613 0.00283511 -0.116934 0.0385112 0.378429 0.128927
height 0.140105 0.03229 0.699866 0.0330676 0.00874855 0.00230292 0.00516902 0.0557422 0.713784 0.0659641
igf1 0.387022 0.031648 0.347101 0.0202515 0.0204407 0.00247733 0.215472 0.027365 0.583013 0.0340983
