pheno g g.se gxe gxe.se e e.se
ala_at 0.164898 0.0112296 0.00467978 0.00172383 0.692842 0.0115633
albumin 0.190145 0.0124357 0.00133629 0.00196578 0.761395 0.0126736
alcohol_freq 0.238369 0.0103435 0.00599688 0.00342616 1.87929 0.0106252
alka_phos 0.456864 0.117997 0.00993857 0.00202034 0.472833 0.118636
apo_a 0.326332 0.0628942 0.0122138 0.00236853 0.502177 0.0636879
asp_at 0.194623 0.0188889 0.00787097 0.00192872 0.697019 0.0190232
basal_metabolic 0.170285 0.00738359 0.0025895 0.000740561 0.247179 0.00745293
blood_eosinophil 0.288072 0.0217745 0.00745912 0.0017761 0.668427 0.0217158
blood_lymphocyte 0.282514 0.0174032 0.00753127 0.00193199 0.695255 0.0179508
blood_mch 0.374936 0.0573234 0.0010602 0.00195007 0.601097 0.0571414
blood_monocyte 0.295549 0.0278154 0.00788942 0.0017987 0.626796 0.0279629
blood_mpv 0.555835 0.0653229 0.0032002 0.00199469 0.438702 0.0654855
blood_mscv 0.313685 0.0301216 0.00571304 0.00201592 0.668416 0.0305408
blood_platelet_distrib_width 0.368276 0.0387317 0.0030684 0.00173848 0.604598 0.0388139
blood_platelet 0.392473 0.0318545 0.00489852 0.00153311 0.536671 0.0320119
blood_rbc_count 0.253015 0.0309369 0.0123288 0.00149827 0.458762 0.0308638
blood_rbc_distrib_width 0.303599 0.0259055 -0.000371026 0.00201978 0.681373 0.0262102
blood_reticulocyte 0.320489 0.0303846 0.00680731 0.00193035 0.649241 0.030665
blood_wbc_count 0.287428 0.0235777 0.00959683 0.00199159 0.696125 0.0236931
bmd_heel_tscore 0.411288 0.0418924 0.0166816 0.00515122 0.492288 0.0433518
bmi 0.327866 0.0137279 -0.00186556 0.00191233 0.652481 0.0141788
bp_diastolic 0.185758 0.00605931 0.00708877 0.00209293 0.772962 0.00697941
bp_systolic 0.178678 0.00703825 0.00289344 0.00159641 0.68174 0.00763261
calcium 0.185415 0.022353 0.00171548 0.00179345 0.783111 0.0226307
cholesterol 0.224707 0.0613006 0.0153441 0.00238557 0.697566 0.0629097
corneal_hysteresis 0.340507 0.0254045 0.00886759 0.00846832 0.619468 0.0263372
c_reactive_prot 0.392025 0.10781 0.0103186 0.00238987 0.57821 0.108865
creatinine 0.194026 0.0100961 0.00898204 0.00139791 0.440375 0.0103427
creatinine_urine 0.0694439 0.00269148 0.00330698 0.00165374 0.803092 0.00303178
cystatin_c 0.302496 0.0625618 0.00198704 0.00154714 0.512208 0.062813
fev1_fvc 0.255795 0.0152931 0.00775681 0.00185533 0.682902 0.0154177
fvc 0.163004 0.00650126 0.00666291 0.000985644 0.337283 0.00674812
ggt 0.275186 0.0341129 0.00385463 0.00184093 0.573837 0.034633
glucose 0.11057 0.0114224 0.00805578 0.00179895 0.853933 0.0113427
hair_color 0.345309 0.112855 0.00479667 0.00194352 0.729388 0.112867
hba1c 0.304563 0.024487 0.0102188 0.00157295 0.599311 0.0244915
hdl 0.39122 0.0930663 0.0143422 0.00222982 0.411078 0.0933498
height 0.341598 0.0162525 0.00371988 0.000875676 0.143388 0.016393
igf1 0.321643 0.0188468 0.017392 0.00220477 0.589864 0.0195268
ldl 0.24503 0.0944435 0.0173469 0.00346393 0.701351 0.0970746
microalbumin 0.0476823 0.00692527 0.02667 0.00616963 0.904777 0.00901592
overall_health 0.0681459 0.00208366 0.00397794 0.00101487 0.449563 0.00228626
phosphate 0.151832 0.0132348 0.0130353 0.00196344 0.767532 0.0134861
potassium 0.05211 0.00213777 0.00157781 0.00165016 0.92265 0.00236908
shbg 0.312503 0.0688069 0.00944797 0.00231288 0.478504 0.0700965
sodium 0.0877547 0.00339252 0.00210488 0.00173264 0.835479 0.00358771
testosterone 0.0431695 0.00703616 0.0428814 0.00442461 0.277097 0.0112418
triglycerides 0.327361 0.0553379 0.0151449 0.00192894 0.585249 0.0559229
urate 0.272836 0.109273 0.0188619 0.0144899 0.418274 0.123557
urea 0.152601 0.00909557 0.00915315 0.00168711 0.74605 0.00940945
vitamin_d 0.135399 0.0270184 0.00473962 0.00187789 0.846189 0.0269145
whr 0.125319 0.00453329 0.0180181 0.00196212 0.419549 0.00561728
