phen tissue Enrich_G SE_G p_G padj_G lgpval_G cat_tiss sig_G Enrich_GxE SE_GxE p_GxE padj_GxE lgpval_GxE sig_GxE
glucose Adipose_Subcutaneous 2.8707 2.46204 0.121810395461828 0.497218110901187 0.914315646850446 Adipose 1 -5.19258 4.06217 0.89942417861702 0.97182566929626 0.046035441763841 1
glucose Adipose_Visceral_(Omentum) 2.13685 2.3441 0.180993206238492 0.497218110901187 0.74233772650379 Adipose 1 -1.31861 4.04007 0.62793268539678 0.97182566929626 0.202086910287709 1
glucose Cells_EBV-transformed_lymphocytes 2.00728 2.20793 0.181642595051075 0.497218110901187 0.740782302144824 Blood/Immune 1 -4.8498 3.99893 0.887391960501094 0.97182566929626 0.0518845101764032 1
glucose Spleen -1.52255 0.894029 0.955717913824119 0.974726589416349 0.0196702735684626 Blood/Immune 1 -7.44358 4.43157 0.953489335913312 0.97182566929626 0.020684159859614 1
glucose Whole_Blood -1.51698 1.00406 0.934586149751106 0.974726589416349 0.0293806593605372 Blood/Immune 1 -11.0096 5.22354 0.982471068527056 0.982471068527056 0.00768022972001961 1
glucose Brain_Amygdala 0.420678 2.1447 0.422247275993216 0.57382322122155 0.374433143473782 Brain 1 -0.491026 3.18792 0.56120580709513 0.97182566929626 0.250877843744315 1
glucose Brain_Anterior_cingulate_cortex_(BA24) 0.746541 2.18837 0.366499016062204 0.524985077062076 0.43592718696918 Brain 1 3.73855 3.95408 0.172203941577617 0.912680890361371 0.76395691219817 1
glucose Brain_Caudate_(basal_ganglia) 1.5861 2.04318 0.218788917299776 0.497218110901187 0.659974680864449 Brain 1 1.80836 3.64849 0.310072045257548 0.97182566929626 0.508537386093034 1
glucose Brain_Cerebellar_Hemisphere 1.75657 2.3269 0.225155370974122 0.497218110901187 0.647517688689491 Brain 1 -3.25782 3.99078 0.792846192609979 0.97182566929626 0.100811055027313 1
glucose Brain_Cerebellum 1.86826 2.39002 0.217197742378463 0.497218110901187 0.663144693252949 Brain 1 -2.02307 4.1043 0.688963586908701 0.97182566929626 0.161803730810101 1
glucose Brain_Cortex 1.2983 2.15883 0.273789939667792 0.512349737202088 0.562582513934076 Brain 1 0.635515 3.67778 0.431404893889372 0.97182566929626 0.365114932536455 1
glucose Brain_Frontal_Cortex_(BA9) 2.06919 2.12466 0.165055010323993 0.497218110901187 0.782371287916304 Brain 1 5.46091 4.34352 0.104330749804035 0.802306781569088 0.981587671419954 1
glucose Brain_Hippocampus 1.1862 2.16078 0.291513558358408 0.515007286433187 0.535341241305294 Brain 1 3.81902 3.26554 0.121102910425523 0.802306781569088 0.916845419478286 1
glucose Brain_Hypothalamus 0.815014 2.21176 0.356253519083147 0.524985077062076 0.448240836988083 Brain 1 1.92432 3.80852 0.306685610332825 0.97182566929626 0.513306600605901 1
glucose Brain_Nucleus_accumbens_(basal_ganglia) 0.935516 2.10154 0.328103019163264 0.524985077062076 0.48398977327164 Brain 1 3.63674 3.5718 0.154295900111567 0.908631411768117 0.811645613681368 1
glucose Brain_Putamen_(basal_ganglia) 1.20923 2.07834 0.280342309035105 0.512349737202088 0.552311353920511 Brain 1 1.1831 3.92433 0.381524930152064 0.97182566929626 0.418477078485696 1
glucose Brain_Spinal_cord_(cervical_c-1) -1.93366 0.988929 0.974726589416349 0.974726589416349 0.0111171867215525 Brain 1 2.45751 3.95219 0.267033510170225 0.97182566929626 0.573434235381384 1
glucose Brain_Substantia_nigra 0.925747 2.11182 0.330561024148431 0.524985077062076 0.48074835462162 Brain 1 1.07179 4.6099 0.40807583334124 0.97182566929626 0.389259123818532 1
glucose Artery_Aorta 3.46829 1.98861 0.0405727865539347 0.307193955336934 1.39176516376626 Cardiovascular 2 5.73171 4.65991 0.109347720700923 0.802306781569088 0.961190265185361 1
glucose Artery_Coronary 2.24866 1.9548 0.12500452495527 0.497218110901187 0.903074265971651 Cardiovascular 1 6.47677 4.43394 0.0720453700163759 0.802306781569088 1.14239392381528 1
glucose Artery_Tibial 3.43692 1.90731 0.0357748731273912 0.307193955336934 1.44642189775467 Cardiovascular 2 1.33169 3.81451 0.363502733566072 0.97182566929626 0.439492318867674 1
