Tissue,Cat,Cat_ng
Adipose_Subcutaneous,Adipose,Adipose
Adipose_Visceral_(Omentum),Adipose,Adipose
Adrenal_Gland,Urinary,Endocrine
Artery_Aorta,Artery,Cardiovascular
Artery_Coronary,Artery,Cardiovascular
Artery_Tibial,Artery,Cardiovascular
Bladder,Urinary,Other
Brain_Amygdala,Brain,Brain
Brain_Anterior_cingulate_cortex_(BA24),Brain,Brain
Brain_Caudate_(basal_ganglia),Brain,Brain
Brain_Cerebellar_Hemisphere,Brain,Brain
Brain_Cerebellum,Brain,Brain
Brain_Cortex,Brain,Brain
Brain_Frontal_Cortex_(BA9),Brain,Brain
Brain_Hippocampus,Brain,Brain
Brain_Hypothalamus,Brain,Brain
Brain_Nucleus_accumbens_(basal_ganglia),Brain,Brain
Brain_Putamen_(basal_ganglia),Brain,Brain
Brain_Spinal_cord_(cervical_c-1),Brain,Brain
Brain_Substantia_nigra,Brain,Brain
Breast_Mammary_Tissue,Reproductive,Reproductive
Cells_EBV-transformed_lymphocytes,Other,Blood/Immune
Cells_Transformed_fibroblasts,Muscle,Other
Cervix_Ectocervix,Reproductive,Reproductive
Cervix_Endocervix,Reproductive,Reproductive
Colon_Sigmoid,Digestive,Digestive
Colon_Transverse,Digestive,Digestive
Esophagus_Gastroesophageal_Junction,Digestive,Digestive
Esophagus_Mucosa,Digestive,Digestive
Esophagus_Muscularis,Digestive,Digestive
Fallopian_Tube,Reproductive,Reproductive
Heart_Atrial_Appendage,Heart,Cardiovascular
Heart_Left_Ventricle,Heart,Cardiovascular
Kidney_Cortex,Urinary,Other
Liver,Liver,Liver
Lung,Other,Lung
Minor_Salivary_Gland,Digestive,Other
Muscle_Skeletal,Muscle,Musculoskeletal/connective
Nerve_Tibial,Other,Other
Ovary,Reproductive,Reproductive
Pancreas,Digestive,Other
Pituitary,Brain,Endocrine
Prostate,Reproductive,Reproductive
Skin_Not_Sun_Exposed_(Suprapubic),Skin,Skin
Skin_Sun_Exposed_(Lower_leg),Skin,Skin
Small_Intestine_Terminal_Ileum,Digestive,Digestive
Spleen,Digestive,Blood/Immune
Stomach,Digestive,Digestive
Testis,Reproductive,Endocrine
Thyroid,Other,Endocrine
Uterus,Reproductive,Reproductive
Vagina,Reproductive,Reproductive
Whole_Blood,Other,Blood/Immune
