pheno h2g h2g.se h2gxe h2gxe.se h2exn h2exn.se h2tot h2tot.se sigma2.e sigma2.e.se
ala_at 0.208228 0.012269 0.00780761 0.00210931 -0.00438863 0.00211602 0.211647 0.012206 0.701917 0.0108677
albumin 0.200859 0.0130153 0.00265392 0.0020378 0.000763395 0.00207362 0.204276 0.0129569 0.759302 0.0123638
alcohol_freq 0.116706 0.00437748 0.000992927 0.00177682 -0.0246116 0.00178275 0.0930875 0.00435602 0.876984 0.00421227
alka_phos 0.486123 0.123613 0.00837995 0.00176716 -0.0170847 0.00220038 0.477418 0.122859 0.48792 0.11471
apo_a 0.398452 0.0697724 0.000405152 0.00214677 -0.0267198 0.00238869 0.372138 0.0693008 0.554145 0.0611643
asp_at 0.223833 0.0200791 0.00387201 0.00202223 -0.00305487 0.00205389 0.22465 0.0199112 0.708062 0.0181833
basal_metabolic 0.445682 0.0131696 0.00739363 0.0016856 -0.108865 0.00190829 0.34421 0.013062 0.384931 0.00766704
blood_eosinophil 0.295674 0.0220859 0.00249577 0.00198659 0.0191984 0.00205939 0.317368 0.021976 0.676869 0.0217905
blood_lymphocyte 0.285334 0.0169975 0.00161346 0.00170649 -0.0148392 0.00180618 0.272108 0.0168154 0.718839 0.0166063
blood_mch 0.38006 0.0570173 0.00415574 0.0018652 0.0175197 0.00203784 0.401735 0.0567022 0.586229 0.0555615
blood_monocyte 0.320626 0.028441 0.00324653 0.0015928 -0.00228357 0.00177013 0.321589 0.0281902 0.645294 0.0268141
blood_mpv 0.552954 0.0641019 0.00149014 0.00233636 -0.0109053 0.00244485 0.543539 0.0637401 0.45522 0.0635668
blood_mscv 0.315885 0.0294803 0.00440244 0.00169314 0.00105982 0.00179119 0.321347 0.0293397 0.670295 0.0289783
blood_platelet 0.417386 0.0325308 0.0038409 0.00198856 -0.00372085 0.00214362 0.417506 0.0323857 0.552139 0.030698
blood_platelet_distrib_width 0.377715 0.0391864 0.00365759 0.00197696 -0.00225731 0.00209331 0.379115 0.0389854 0.609234 0.0382538
blood_rbc_count 0.36924 0.0392341 0.00700041 0.00182057 -0.0433472 0.00204284 0.332893 0.0390063 0.533095 0.0311705
blood_rbc_distrib_width 0.307436 0.0259776 0.00473946 0.00200069 0.0241339 0.00197068 0.33631 0.0258413 0.653522 0.0254454
blood_reticulocyte 0.331063 0.0299225 0.00254279 0.00161463 -0.00250059 0.00163362 0.331106 0.0297142 0.65983 0.0293115
blood_wbc_count 0.286325 0.0229556 0.00143198 0.0016336 0.00916095 0.00175977 0.296918 0.0228424 0.697453 0.0226595
bmd_heel_tscore 0.450339 0.0448994 0.00593356 0.00566617 -0.0276522 0.00584625 0.428621 0.0446595 0.534804 0.0418007
bmi 0.336333 0.0132222 0.00732685 0.00181131 -0.0149857 0.00184531 0.328674 0.0131245 0.659619 0.0128956
bp_diastolic 0.199561 0.00607716 0.0198766 0.00205878 -0.0159799 0.00207145 0.203458 0.00604718 0.774484 0.00587972
bp_systolic 0.2106 0.00792491 0.00893605 0.00180257 -0.0709482 0.00180715 0.148587 0.00787549 0.739095 0.00683657
calcium 0.193381 0.0224997 0.00442543 0.00217481 -0.0136063 0.00218189 0.1842 0.0223607 0.793022 0.0217364
cholesterol 0.247154 0.06521 0.0240392 0.00321931 -0.0598529 0.00357184 0.21134 0.0648149 0.734491 0.0603631
corneal_hysteresis 0.351433 0.0251927 0.00557953 0.00841657 -0.0154542 0.0084095 0.341558 0.025106 0.639867 0.0243978
c_reactive_prot 0.397828 0.108785 0.00544907 0.00182878 0.0151512 0.00194044 0.418428 0.108125 0.570257 0.106022
creatinine 0.335592 0.0135199 0.00541402 0.00208344 -0.05717 0.00215925 0.283836 0.0134526 0.529924 0.00995423
creatinine_urine 0.101579 0.00293864 0.00564345 0.00184181 0.0110343 0.00184013 0.118257 0.00292908 0.806585 0.00267941
cystatin_c 0.372837 0.0740722 0.0095975 0.00191898 -0.0414613 0.00200238 0.340973 0.073606 0.544737 0.0608411
fev1_fvc 0.272472 0.0158143 0.00439519 0.00181275 0.00812873 0.00195831 0.284996 0.0157418 0.677615 0.0149186
fvc 0.361344 0.0107423 0.0047416 0.00185007 -0.0720359 0.00189399 0.29405 0.0107447 0.439345 0.00668693
ggt 0.333678 0.0376131 0.00705108 0.00177332 -0.0256477 0.0018715 0.315081 0.0373893 0.607704 0.0331742
glucose 0.116152 0.0116466 0.000268655 0.00209288 -0.0136199 0.00212537 0.102801 0.0115622 0.872206 0.0112401
hair_color 0.325593 0.104789 -0.00214194 0.00170737 0.00101868 0.00193323 0.32447 0.104139 0.652153 0.100535
hba1c 0.334643 0.0259933 0.00653563 0.00207016 -0.0261537 0.00225232 0.315025 0.0258516 0.62296 0.0235111
hdl 0.483813 0.105961 0.00161303 0.00218008 -0.0452883 0.00245983 0.440138 0.105234 0.485962 0.0913436
height 0.652434 0.0262132 0.00207307 0.00169903 -0.070128 0.00197929 0.584379 0.0261639 0.261188 0.0164421
igf1 0.346668 0.0198245 0.0055121 0.00207574 -0.0296393 0.00216924 0.32254 0.0196967 0.62718 0.0182348
ldl 0.254898 0.0967403 0.0251809 0.00339466 -0.0558251 0.0038954 0.224254 0.0961715 0.73972 0.0917053
microalbumin 0.0591181 0.00691227 0.00227859 0.00616357 -0.00572334 0.00617002 0.0556733 0.00685802 0.9357 0.00679537
overall_health 0.133549 0.00400182 0.00266054 0.00175066 -0.0194496 0.00175562 0.11676 0.00400211 0.829371 0.00375802
phosphate 0.169399 0.0134842 -0.00158225 0.00215864 0.0100277 0.00221075 0.177844 0.0133925 0.780766 0.0127183
potassium 0.0580392 0.00221145 0.00605855 0.00199949 0.020899 0.00199259 0.0849967 0.00219218 0.900536 0.00215752
shbg 0.399442 0.0804066 0.00697522 0.00237429 -0.0307183 0.00256419 0.375699 0.0799045 0.529698 0.0677963
sodium 0.105264 0.00363279 0.00636289 0.00179556 0.0208308 0.00180051 0.132457 0.00359295 0.820725 0.00339905
testosterone 0.257948 0.0129783 0.00487989 0.00171119 -0.115616 0.0017366 0.147212 0.0129194 0.463406 0.00702039
triglycerides 0.355383 0.0574745 0.00841021 0.00229564 0.0100848 0.00246445 0.373879 0.0571368 0.587353 0.053599
urate 0.400218 0.136518 0.0036617 0.00172428 -0.0496405 0.00188742 0.354239 0.135726 0.5084 0.106855
urea 0.169157 0.00999212 0.00702597 0.0019278 -0.0134956 0.0019493 0.162687 0.00991747 0.760892 0.0090123
vitamin_d 0.138058 0.026923 0.00444617 0.00192273 0.00870959 0.0019818 0.151214 0.0267833 0.83757 0.0264294
whr 0.287489 0.00699984 0.0029259 0.00159942 -0.0655177 0.00159644 0.224897 0.00696469 0.532748 0.004787
