pheno h2g h2g.se h2gxe h2gxe.se h2exn h2exn.se h2tot h2tot.se
ala_at 0.189317 0.0134851 0.00979759 0.00369435 0.0424845 0.00362469 0.241599 0.0135735
albumin 0.198194 0.0132743 0.00280262 0.00330138 0.0256158 0.0032562 0.226612 0.0132264
alcohol_freq 0.0996371 0.00464347 0.0264727 0.00288609 0.0611769 0.00281213 0.187287 0.00465478
alka_phos 0.500404 0.134142 -0.00937721 0.0142714 0.0672262 0.01449 0.558253 0.134389
apo_a 0.394414 0.0764576 -0.00901467 0.00716043 0.00897945 0.00707952 0.394378 0.0763347
asp_at 0.215867 0.0205578 0.00505902 0.00375183 0.0105157 0.00368907 0.231442 0.0205597
basal_metabolic 0.400648 0.0180838 0.010437 0.00448902 0.0570038 0.00440414 0.468089 0.0182543
blood_eosinophil 0.303501 0.0230523 -0.00655623 0.00359738 -0.0138913 0.00342217 0.283054 0.0230286
blood_lymphocyte 0.280174 0.016925 0.0127523 0.00395095 -0.0310957 0.00387186 0.26183 0.0169873
blood_mch 0.38052 0.0573683 -0.0040287 0.00391994 0.0369709 0.00391967 0.413462 0.0572041
blood_monocyte 0.318519 0.0293034 -0.00555425 0.00410942 -0.018723 0.00410826 0.294241 0.0292287
blood_mpv 0.562102 0.0655544 0.00927178 0.00588047 -0.0103425 0.00568497 0.561031 0.0657973
blood_mscv 0.3113 0.0292662 0.00529909 0.00387352 0.000199698 0.00376472 0.316799 0.0292895
blood_platelet_distrib_width 0.382237 0.0409217 0.00797946 0.00467278 0.0195996 0.00467522 0.409816 0.0411731
blood_platelet 0.414352 0.0328681 0.0142389 0.00372081 -0.0016079 0.00367659 0.426983 0.0327895
blood_rbc_count 0.343611 0.0418849 0.00671662 0.00359509 -0.0757491 0.00352676 0.274578 0.0418715
blood_rbc_distrib_width 0.293002 0.02488 0.0273058 0.00533455 0.087002 0.00522215 0.40731 0.0249566
blood_reticulocyte 0.330763 0.0300694 0.00144472 0.00430468 -0.00445895 0.00422316 0.327749 0.0300847
blood_wbc_count 0.277902 0.0236448 0.00880152 0.00306085 -0.00417776 0.00298452 0.282525 0.0235711
bmd_heel_tscore 0.428701 0.0441023 0.0332282 0.0097996 -0.0951061 0.0097288 0.366823 0.0440439
bmi 0.303177 0.0127821 0.0560604 0.0043757 0.164673 0.00441021 0.523911 0.0128479
bp_diastolic 0.173858 0.00624819 0.0353272 0.00360421 -0.0173248 0.0035206 0.19186 0.00625079
bp_systolic 0.183303 0.00721897 0.0475776 0.00368302 0.0585277 0.00363766 0.289408 0.00725955
calcium 0.189223 0.0228311 0.000911063 0.00316999 0.0430213 0.00304854 0.233155 0.0228072
cholesterol 0.230516 0.0588766 0.024665 0.0153622 -0.0911284 0.0151505 0.164053 0.0590699
corneal_hysteresis 0.339143 0.0260087 0.0129574 0.0107375 -0.0418572 0.0105577 0.310243 0.0259765
c_reactive_prot 0.381474 0.113258 0.0365859 0.0148807 0.030025 0.0148469 0.448085 0.113155
creatinine 0.278287 0.0149845 0.0455292 0.00538503 0.0352632 0.00534342 0.359079 0.0150056
creatinine_urine 0.0720223 0.00310934 0.0135862 0.00263072 0.0430888 0.0026099 0.128697 0.00308147
cystatin_c 0.357091 0.0742927 0.0310245 0.00683482 0.0570338 0.00681696 0.445149 0.0743008
fev1_fvc 0.28626 0.0179674 -0.0226089 0.00379079 -0.0279526 0.00375425 0.235698 0.0180078
fvc 0.332716 0.0129911 -0.0189953 0.00345567 -0.103128 0.00338662 0.210593 0.012963
ggt 0.297892 0.0376131 0.0453395 0.00666019 0.0984491 0.00660192 0.44168 0.0376706
glucose 0.117066 0.0115928 -0.00692937 0.00254782 -0.0857674 0.00247405 0.0243691 0.0116419
hair_color 0.326264 0.105595 0.00317507 0.00441184 -0.0526121 0.00411078 0.276827 0.10592
hba1c 0.354002 0.0278124 -0.0327907 0.00435599 -0.0805834 0.00431143 0.240628 0.0278869
hdl 0.480816 0.116642 0.00435865 0.00754353 -0.0174105 0.00773878 0.467764 0.117114
height 0.688076 0.0335062 0.00864429 0.0058898 -0.00077145 0.00591003 0.695949 0.033612
igf1 0.341166 0.0198705 0.0112226 0.00479307 0.0210886 0.00477049 0.373477 0.019875
ldl 0.229165 0.0857889 0.0456505 0.0232505 -0.0804619 0.0231636 0.194353 0.0858775
microalbumin 0.0524554 0.00789177 -0.0047476 0.00705977 -0.0653948 0.00703773 -0.0176869 0.00787802
overall_health 0.127834 0.00451455 0.00615467 0.00229627 -0.0615326 0.00225827 0.0724557 0.00452474
phosphate 0.164205 0.0146941 -0.00741817 0.00345061 -0.0605671 0.00336509 0.0962196 0.0146498
potassium 0.0472478 0.00274434 0.00985112 0.00280074 0.0363563 0.00277383 0.0934553 0.002732
shbg 0.37518 0.0891502 0.0282133 0.0113342 0.192453 0.0114031 0.595846 0.0893074
sodium 0.0887529 0.00430164 0.00913933 0.00263236 0.00996945 0.00260965 0.107862 0.00433322
testosterone 0.111592 0.0247176 0.0208729 0.0117361 -0.0466614 0.0117365 0.0858034 0.0247247
triglycerides 0.355304 0.0616418 -0.0066147 0.00714756 -0.0781835 0.00701423 0.270506 0.0616368
urate 0.321085 0.107097 0.119796 0.0891847 -0.0641746 0.0888497 0.376707 0.107453
urea 0.170056 0.0108095 -0.00332546 0.00320936 -0.0159278 0.00316933 0.150803 0.0108787
vitamin_d 0.135318 0.0274294 0.00223887 0.00305339 0.00205373 0.00301646 0.139611 0.0273958
whr 0.190725 0.00631541 0.0624919 0.00688422 0.0381594 0.00685703 0.291376 0.00629356
