pheno sigma2_e sigma2_e.se h2g h2g.se h2gxe h2gxe.se h2exn h2exn.se h2tot h2tot.se
ala_at 0.981533 0.0178799 0.191481 0.0134801 0.00981821 0.00195265 -0.339555 0.0131571 -0.138256 0.0207348
albumin 0.928055 0.0199681 0.199711 0.0131464 0.00385654 0.0020977 -0.177664 0.0134952 0.0259034 0.0209588
alcohol_freq 1.37055 0.00743181 0.112602 0.00457225 0.00855434 0.00167995 -0.54852 0.00670215 -0.427364 0.00773987
alka_phos 0.826242 0.124291 0.482186 0.124725 0.0136284 0.00208009 -0.375435 0.0329772 0.12038 0.132321
apo_a 0.487144 0.0700155 0.389274 0.0748278 0.0150558 0.00277781 0.0160663 0.0261684 0.420396 0.0833044
asp_at 0.784645 0.0237235 0.216978 0.0213108 0.00992477 0.00212669 -0.0993019 0.013059 0.1276 0.0263767
basal_metabolic 0.417838 0.0124425 0.40607 0.0169984 0.0101726 0.00171893 -0.411309 0.0237906 0.00493383 0.0296313
blood_eosinophil 0.517638 0.0327056 0.29489 0.0228119 0.0063198 0.00190697 0.175448 0.0202643 0.476658 0.033066
blood_lymphocyte 0.564249 0.0273953 0.285103 0.0176618 0.00646786 0.00200616 0.135915 0.0197088 0.427486 0.0277966
blood_mch 0.796853 0.0672237 0.383258 0.0585327 0.00181515 0.0020324 -0.200897 0.02416 0.184175 0.0688242
blood_monocyte 0.45674 0.0376684 0.31627 0.0301653 0.00704162 0.00183433 0.18846 0.0220585 0.511771 0.0402652
blood_mpv 0.414057 0.0755466 0.555718 0.0657246 0.00473975 0.00212337 0.0243791 0.0334288 0.584837 0.0757483
blood_mscv 0.711703 0.0373429 0.314831 0.0303799 0.0064685 0.0019402 -0.0419291 0.0196543 0.279371 0.0378113
blood_platelet_distrib_width 0.814194 0.049337 0.379081 0.0398507 0.00275485 0.00182408 -0.215772 0.0294433 0.166064 0.0505333
blood_platelet 0.604285 0.0412579 0.417274 0.0337327 0.00678261 0.00165026 -0.0711717 0.0251784 0.352885 0.0441821
blood_rbc_count 0.114096 0.0379992 0.348448 0.043254 0.0142669 0.00189714 0.479693 0.0238953 0.842407 0.0524853
blood_rbc_distrib_width 1.41305 0.0348066 0.307369 0.0264924 0.00683618 0.00203991 -0.74928 0.0213527 -0.435075 0.0353492
blood_reticulocyte 0.620488 0.0380496 0.329835 0.0309932 0.00812103 0.00188689 0.0294869 0.0225525 0.367443 0.0387897
blood_wbc_count 0.702288 0.0311824 0.285815 0.0235853 0.0101019 0.00197684 -0.00315689 0.0195139 0.29276 0.0314023
bmd_heel_tscore 0.12962 0.0546604 0.447211 0.0458587 0.0102953 0.00604897 0.401609 0.0318668 0.859114 0.059411
bmi 2.1023 0.0269686 0.332694 0.0149415 0.010765 0.00201526 -1.49252 0.0216862 -1.14906 0.0275684
bp_diastolic 0.949021 0.0154497 0.192773 0.00641506 0.00943582 0.00207548 -0.18457 0.0147935 0.017639 0.0159924
bp_systolic 1.3619 0.0148522 0.207285 0.00807663 0.00940128 0.00181568 -0.794178 0.0156024 -0.577491 0.0172033
calcium 1.13941 0.0275387 0.191855 0.0230862 0.00494521 0.00206173 -0.37127 0.0129087 -0.174469 0.0283859
cholesterol 0.336084 0.0629296 0.241795 0.0655076 0.013372 0.00266525 0.386342 0.0157958 0.641508 0.0671254
corneal_hysteresis 0.431469 0.0358442 0.343549 0.0255759 -0.0037586 0.00912019 0.214804 0.025438 0.554595 0.037002
c_reactive_prot 1.11673 0.113014 0.399568 0.109602 0.013487 0.0025703 -0.551843 0.0263897 -0.138789 0.115246
creatinine 0.870163 0.0165716 0.301554 0.0156446 0.0190051 0.00232171 -0.673364 0.0204869 -0.352805 0.0257631
creatinine_urine 1.24342 0.00558128 0.0794352 0.00293765 0.00684642 0.00205673 -0.506037 0.00541407 -0.419756 0.00637278
cystatin_c 1.08806 0.0705463 0.370558 0.0768448 0.00704333 0.00201687 -0.710304 0.0253678 -0.332702 0.0864084
fev1_fvc 0.406511 0.0223271 0.271952 0.0159827 0.00543531 0.00199116 0.293221 0.0185758 0.570608 0.0235838
