pheno h2g h2g.se h2gxe h2gxe.se h2exn h2exn.se h2tot h2tot.se
ala_at 0.193402 0.0133901 0.000406104 0.00369101 0.00142636 0.0036914 0.195235 0.013388
albumin 0.196751 0.0139513 0.00594519 0.00375283 -0.0032503 0.00374648 0.199446 0.0139512
alcohol_freq 0.114939 0.00539449 -0.00141723 0.00337765 0.00284074 0.00337579 0.116362 0.00539926
alka_phos 0.488054 0.123735 -0.00440018 0.00500096 0.0099766 0.00494495 0.493631 0.123781
apo_a 0.398216 0.0753415 -0.00986571 0.00422513 0.0107901 0.00421299 0.399141 0.075343
asp_at 0.208618 0.0216461 0.0118931 0.00484931 -0.00721277 0.00483845 0.213298 0.0216479
basal_metabolic 0.410627 0.0172407 -0.00893052 0.00449782 0.00957735 0.00448155 0.411273 0.0172375
blood_eosinophil 0.290879 0.0227888 0.00745789 0.00422281 -0.0033901 0.00420252 0.294947 0.0227918
blood_lymphocyte 0.287307 0.0174895 -0.00202455 0.00695753 0.0209089 0.00694527 0.306192 0.0174885
blood_mch 0.379711 0.0586945 0.00445364 0.00675644 0.00801247 0.00675467 0.392177 0.0586998
blood_monocyte 0.316922 0.0303248 -0.00380844 0.00503385 0.0101502 0.00500764 0.323264 0.0303389
blood_mpv 0.56192 0.0656927 -0.00387575 0.00591624 0.00395344 0.00589508 0.561998 0.0656918
blood_mscv 0.322414 0.0303977 -0.00597967 0.00597329 0.0184588 0.005967 0.334893 0.0303909
blood_platelet_distrib_width 0.375532 0.0405477 0.00803791 0.00456924 -0.00721321 0.00456234 0.376356 0.0405456
blood_platelet 0.415417 0.03355 -0.000620328 0.00437032 0.00163457 0.0043559 0.416431 0.0335477
blood_rbc_count 0.357936 0.0445731 -0.0104102 0.00478646 0.0103565 0.00477626 0.357882 0.0445593
blood_rbc_distrib_width 0.306624 0.0268662 0.00380187 0.00470359 7.3903e-05 0.00469056 0.3105 0.0268646
blood_reticulocyte 0.325862 0.031215 0.00609423 0.00457411 -0.0058514 0.00455558 0.326105 0.0312106
blood_wbc_count 0.282243 0.0237687 0.00655758 0.00789961 0.0265372 0.00789913 0.315338 0.023762
bmd_heel_tscore 0.451197 0.0487723 0.00602113 0.0120273 -0.00271929 0.0120206 0.454498 0.0487852
bmi 0.330394 0.0142823 0.00381506 0.00437224 -0.00437175 0.00434677 0.329837 0.0142843
bp_diastolic 0.190467 0.00711119 0.00557963 0.0033791 -0.00540439 0.00337749 0.190643 0.00711323
bp_systolic 0.20187 0.00848534 0.00764449 0.00359126 -0.00689499 0.00357312 0.202619 0.0084847
calcium 0.190565 0.0221836 0.00221178 0.0044394 -0.00183641 0.00443793 0.19094 0.0221852
cholesterol 0.24536 0.0657894 -0.000495597 0.00447899 0.00274266 0.00446813 0.247607 0.0657903
corneal_hysteresis 0.347743 0.0302922 -0.00225571 0.0174054 0.00554014 0.0173869 0.351027 0.0302909
c_reactive_prot 0.399616 0.11244 -0.00081268 0.00665275 0.00612323 0.00666071 0.404926 0.11247
creatinine 0.298192 0.0158013 0.00389751 0.00473347 0.000675458 0.00470945 0.302765 0.0157945
creatinine_urine 0.0779694 0.00350224 0.00143433 0.00292577 -0.00143832 0.00291813 0.0779654 0.0035013
cystatin_c 0.374298 0.0783555 0.000533903 0.00617292 0.0134245 0.0061527 0.388257 0.0783728
fev1_fvc 0.268953 0.0167986 0.00712943 0.00620795 0.00907471 0.00620658 0.285158 0.016801
fvc 0.33141 0.0127793 -0.0150452 0.00617673 0.0206252 0.00616443 0.33699 0.0127831
ggt 0.321509 0.0403628 0.00584895 0.0041783 -0.00301612 0.00416789 0.324342 0.0403549
glucose 0.112857 0.0123697 0.00349102 0.00386883 -0.0031274 0.00388031 0.113221 0.0123662
hair_color 0.328133 0.106331 -0.00184218 0.00393198 0.00436645 0.00392168 0.330658 0.106301
hba1c 0.329003 0.027324 0.00924982 0.00563167 -3.3618e-05 0.00561462 0.338219 0.0273204
hdl 0.47959 0.113392 -0.00112835 0.0057582 0.00332567 0.00573849 0.481787 0.113388
height 0.701518 0.0339256 -0.0123231 0.00515449 0.0139838 0.00513627 0.703179 0.0339152
igf1 0.341477 0.0196917 0.00514867 0.00451902 -0.00165207 0.00449335 0.344974 0.0196843
ldl 0.253514 0.0971744 -5.86155e-05 0.00415665 0.00214544 0.00412337 0.255601 0.0971689
microalbumin 0.0534397 0.00931471 -0.00704023 0.00873089 0.00898244 0.00871454 0.0553819 0.00930396
overall_health 0.130129 0.00568757 0.00141167 0.00520882 0.0135115 0.00520288 0.145052 0.00568313
phosphate 0.162016 0.0141123 -0.0031913 0.00389397 0.00544247 0.00389434 0.164268 0.0141121
potassium 0.052543 0.00295968 0.000335871 0.00278503 -0.00123438 0.00278729 0.0516445 0.00295954
shbg 0.383831 0.0843353 0.00926091 0.0042118 -0.00737972 0.00420118 0.385713 0.0843341
sodium 0.0938793 0.00426023 0.00062519 0.00351102 -0.000573728 0.00350515 0.0939308 0.00425847
testosterone 0.119223 0.0198542 0.00411657 0.00381664 -0.00186922 0.0038152 0.12147 0.0198614
triglycerides 0.355271 0.0607736 0.000852527 0.00451117 0.00199941 0.00450198 0.358122 0.0608099
urate 0.375034 0.148939 0.0104815 0.00735121 -0.00831811 0.00728924 0.377197 0.148984
urea 0.165207 0.0103925 0.00272609 0.00419451 0.00221719 0.00418409 0.17015 0.0103954
vitamin_d 0.136708 0.0272175 0.000274918 0.00420431 0.00417997 0.00419559 0.141163 0.0272196
whr 0.227574 0.00806167 -0.00579913 0.00410547 0.00970103 0.00410203 0.231475 0.00806582
