pheno h2g h2g.se h2gxe h2gxe.se h2exn h2exn.se h2tot h2tot.se
ala_at 0.193371 0.0132602 0.00324458 0.00199726 -0.00220121 0.00199645 0.194414 0.0132582
albumin 0.198876 0.0131244 0.00093424 0.00242725 8.88801e-05 0.00242534 0.199899 0.0131224
alcohol_freq 0.112123 0.00463613 0.000365648 0.00220193 0.000593293 0.00220074 0.113082 0.00463593
alka_phos 0.48398 0.124192 0.00132203 0.00269531 0.000744295 0.00268743 0.486047 0.124195
apo_a 0.388547 0.0749669 -0.0022735 0.0020242 0.00312739 0.00202494 0.389401 0.0749683
asp_at 0.217551 0.0212357 0.00539067 0.0022019 -0.00318956 0.00220526 0.219752 0.0212372
basal_metabolic 0.404349 0.0166588 0.00646521 0.00207199 -0.00583476 0.00207477 0.404979 0.016661
blood_eosinophil 0.297194 0.022712 -0.00217067 0.00231541 0.00374975 0.00231676 0.298773 0.0227107
blood_lymphocyte 0.286898 0.0175967 -0.000820667 0.00427582 0.00842473 0.00427465 0.294502 0.0175959
blood_mch 0.384179 0.0584936 0.0109127 0.00312332 -0.00602122 0.00311903 0.38907 0.0584949
blood_monocyte 0.313881 0.0299984 0.00602619 0.00269707 -0.00328691 0.00269821 0.31662 0.0299989
blood_mpv 0.561391 0.0664212 0.00226638 0.00213625 -0.0022226 0.0021478 0.561435 0.0664138
blood_mscv 0.313275 0.0303682 0.0120428 0.00381934 -0.00646847 0.00382154 0.31885 0.0303672
blood_platelet_distrib_width 0.375001 0.0400832 0.0035127 0.00200977 -0.00296637 0.00201459 0.375548 0.0400821
blood_platelet 0.416903 0.0335039 -0.000537065 0.00206959 0.0011761 0.00207577 0.417542 0.0335035
blood_rbc_count 0.347872 0.042926 0.00232384 0.00201483 -0.00192588 0.0020174 0.34827 0.0429246
blood_rbc_distrib_width 0.308719 0.0261049 0.00216821 0.00209038 -0.000772023 0.00209509 0.310115 0.0261086
blood_reticulocyte 0.3306 0.0307828 0.0016714 0.00203876 -0.0016765 0.00204204 0.330595 0.0307825
blood_wbc_count 0.289118 0.0237822 0.0144856 0.00643933 -0.00167033 0.00644089 0.301933 0.0237857
bmd_heel_tscore 0.448866 0.0460911 0.00817309 0.00707273 -0.00651882 0.00707388 0.45052 0.0460954
bmi 0.336186 0.0138433 0.00553608 0.0017355 -0.0055578 0.0017324 0.336165 0.0138463
bp_diastolic 0.19413 0.00636596 -1.61048e-05 0.00191588 0.000284547 0.00191532 0.194399 0.00636421
bp_systolic 0.206927 0.00829641 0.000190503 0.00194799 0.000321882 0.00194552 0.20744 0.00829707
calcium 0.190458 0.0228018 -0.00102843 0.00184755 0.00131509 0.00184654 0.190745 0.0228024
cholesterol 0.243242 0.0658743 -0.0027976 0.00223095 0.00356379 0.00222746 0.244009 0.0658775
corneal_hysteresis 0.347742 0.0256649 -3.16966e-05 0.010111 0.00161011 0.0101166 0.34932 0.0256661
c_reactive_prot 0.401721 0.110659 0.00391434 0.00272927 -0.00181957 0.00272121 0.403815 0.110654
creatinine 0.302378 0.0152957 0.000108481 0.00247123 0.00168283 0.00247091 0.30417 0.0152995
creatinine_urine 0.0790818 0.00296898 -0.00164757 0.00168035 0.00184518 0.0016807 0.0792794 0.00296944
cystatin_c 0.375296 0.0777078 0.00690059 0.00364338 -0.00162293 0.00364237 0.380573 0.0777214
fev1_fvc 0.272721 0.0169126 0.00271929 0.00444892 0.00379911 0.00444826 0.279239 0.0169157
fvc 0.321699 0.0127816 0.00506927 0.00266218 -0.00266029 0.00266487 0.324108 0.0127827
ggt 0.324071 0.0400452 -0.000734505 0.00198174 0.00176031 0.00198165 0.325097 0.0400408
glucose 0.113685 0.0118741 0.001005 0.00201545 -0.00071184 0.0020168 0.113978 0.0118739
hair_color 0.327201 0.106956 0.00132094 0.00209565 -0.00034337 0.00209535 0.328178 0.10695
hba1c 0.337379 0.0265153 0.00157874 0.0023618 0.00205399 0.00236188 0.341012 0.0265203
hdl 0.483515 0.116123 -0.00319225 0.00224871 0.00449207 0.00224648 0.484815 0.11611
height 0.691603 0.0339681 -0.000695819 0.0020677 0.00130523 0.0020709 0.692213 0.0339807
igf1 0.348367 0.0202367 -0.000402594 0.00227986 0.00178596 0.0022776 0.349751 0.0202333
ldl 0.253717 0.0975195 -0.0015375 0.00244169 0.00241178 0.00244279 0.254592 0.097525
microalbumin 0.0499658 0.00711941 0.000351597 0.00671161 0.000470276 0.00670736 0.0507877 0.00711962
overall_health 0.130399 0.00404649 0.0106438 0.00384157 -0.00481283 0.00383956 0.13623 0.00404604
phosphate 0.160254 0.0140023 0.00116747 0.00244933 -0.000183463 0.00244796 0.161238 0.0140029
potassium 0.0521802 0.00222139 0.00123074 0.00183124 -0.00116097 0.00182992 0.0522499 0.00222159
shbg 0.389507 0.0858369 0.00324783 0.0022998 -0.00251225 0.00229416 0.390242 0.0858368
sodium 0.0941628 0.00363019 -0.00187999 0.00195816 0.00232336 0.00195851 0.0946062 0.00363044
testosterone 0.120889 0.0195356 0.00314717 0.00219313 -0.00201949 0.00219249 0.122016 0.0195356
triglycerides 0.352529 0.0594675 -0.0015537 0.00208997 0.00285143 0.00208814 0.353827 0.0594633
urate 0.382343 0.153027 0.00336358 0.00216722 -0.0025086 0.00216302 0.383198 0.153023
urea 0.166996 0.0103745 0.00137689 0.00258518 0.000962234 0.00258399 0.169335 0.0103742
vitamin_d 0.13581 0.0271501 -0.00172953 0.00249309 0.00376468 0.00249614 0.137845 0.0271485
whr 0.223637 0.00763211 -0.00100153 0.00188621 0.00242692 0.00188837 0.225063 0.00763332
