pheno h2g h2g.se h2gxe h2gxe.se h2exn h2exn.se h2tot h2tot.se
ala_at 0.177595 0.0105851 0.00727668 0.0019797 0.0209774 0.00199203 0.205849 0.0105635
albumin 0.209475 0.0123866 0.00220865 0.00208378 0.00630043 0.00214713 0.217984 0.0124054
alcohol_freq 0.132372 0.00447225 0.0191121 0.00212971 0.0321061 0.00214298 0.183591 0.00445882
alka_phos 0.45483 0.117049 0.00883941 0.00171185 -0.00849482 0.00184386 0.455175 0.117255
apo_a 0.331689 0.0614557 -0.0025383 0.00233328 0.0291029 0.00231147 0.358254 0.061429
asp_at 0.196604 0.0184216 0.00508933 0.00190878 0.0418273 0.00194553 0.24352 0.0184139
basal_metabolic 0.215503 0.00884475 0.0244474 0.00212179 -0.00913854 0.00212829 0.230812 0.00887886
blood_eosinophil 0.305108 0.0226145 -2.0525e-05 0.0019905 -0.00760122 0.00201194 0.297486 0.0226392
blood_lymphocyte 0.291637 0.0176985 0.00912308 0.0019711 0.0240562 0.00199872 0.324816 0.0177457
blood_mch 0.501792 0.0562149 0.00984381 0.00196772 0.0231206 0.00197391 0.534756 0.0561644
blood_monocyte 0.298602 0.0280021 0.00373747 0.00194997 0.0349666 0.00195821 0.337306 0.0280243
blood_mpv 0.557483 0.0641207 -0.000674271 0.00176543 0.00331574 0.00190493 0.560124 0.0639564
blood_mscv 0.355466 0.0295016 0.0127084 0.00233064 0.028582 0.002382 0.396756 0.0294481
blood_platelet_distrib_width 0.401354 0.0389837 0.00280042 0.00182086 0.0128903 0.00182321 0.417045 0.0391144
blood_platelet 0.42624 0.0311001 0.00149121 0.00170358 0.0205711 0.00180164 0.448302 0.0310848
blood_rbc_count 0.323074 0.0320318 0.000603859 0.00204058 0.0140818 0.00209273 0.337759 0.0320351
blood_rbc_distrib_width 0.315617 0.0259698 0.0083643 0.00194092 -0.00994453 0.00197853 0.314037 0.0259482
blood_reticulocyte 0.33139 0.0307938 0.00588985 0.00187041 -0.0191721 0.00184656 0.318108 0.030885
blood_wbc_count 0.298694 0.0241543 0.0220841 0.00252685 0.0178091 0.00251603 0.338587 0.0241609
bmd_heel_tscore 0.411914 0.0419609 0.00381524 0.00556341 0.0152039 0.00561173 0.430933 0.0420013
bmi 0.345282 0.0136743 0.0228457 0.00201237 0.00975652 0.00200655 0.377884 0.0136867
bp_diastolic 0.200163 0.00614665 0.00616059 0.00212999 0.0083763 0.00215125 0.2147 0.00615984
bp_systolic 0.206688 0.0075322 0.00879732 0.00193144 0.00472311 0.00192353 0.220208 0.00755855
calcium 0.223059 0.0228436 -0.000533117 0.00184653 0.00261665 0.00183764 0.225142 0.0229185
cholesterol 0.230904 0.0606248 0.00311834 0.0017318 0.00288692 0.0017518 0.236909 0.0606734
corneal_hysteresis 0.353887 0.0246122 0.0032671 0.00963683 0.0079789 0.00965062 0.365133 0.0246955
c_reactive_prot 0.407779 0.108642 0.00361397 0.00194972 0.00235946 0.0020137 0.413753 0.108766
creatinine 0.236527 0.0113381 0.0118772 0.00193684 -0.00743109 0.00198355 0.240973 0.0113745
creatinine_urine 0.0891464 0.00311213 0.00236756 0.00182718 0.0184361 0.00186471 0.10995 0.00313435
cystatin_c 0.308109 0.0624292 0.00654708 0.00211827 -0.0075843 0.00213083 0.307071 0.0623905
fev1_fvc 0.272532 0.0163747 0.0103205 0.00218814 0.0269959 0.0022336 0.309848 0.0163926
fvc 0.18614 0.00674037 0.0118054 0.00212839 0.0142176 0.00212632 0.212163 0.00675219
ggt 0.292079 0.0343889 0.00786842 0.00198582 -0.0166152 0.00203743 0.283332 0.0343655
glucose 0.115077 0.0111909 -0.00508684 0.00198186 0.0244205 0.00199947 0.134411 0.0111718
hair_color 0.491862 0.108826 0.00527373 0.00193509 0.0120471 0.00197393 0.509183 0.109103
hba1c 0.309818 0.0237064 0.00493985 0.00200214 -0.0205515 0.0020698 0.294206 0.0237424
hdl 0.400885 0.0933312 -0.000688127 0.00214872 0.0166333 0.00211726 0.41683 0.0933802
height 0.471085 0.0167129 0.0121128 0.00186746 -0.0106188 0.00199924 0.472579 0.0167874
igf1 0.355533 0.0184911 0.00518519 0.0017668 0.00158185 0.00172194 0.3623 0.0185379
ldl 0.244077 0.0919601 0.00229142 0.00185674 0.0113378 0.0018911 0.257706 0.0919305
microalbumin 0.0503998 0.00722838 0.00311662 0.00559162 0.0135213 0.00558831 0.0670377 0.00722655
overall_health 0.137921 0.00417102 0.0113761 0.00207348 0.0352629 0.00206587 0.18456 0.00418213
phosphate 0.17897 0.0128724 0.00645341 0.00235091 0.00895615 0.00236529 0.19438 0.0128702
potassium 0.0577321 0.00235819 0.00453439 0.00195507 0.0313207 0.00196078 0.0935871 0.00237238
shbg 0.316854 0.0683696 0.00853853 0.00202861 -0.023161 0.00204946 0.302231 0.0684029
sodium 0.150811 0.00464415 0.00426035 0.00190281 0.0141125 0.0019425 0.169184 0.00464019
testosterone 0.0402837 0.00628328 0.0102251 0.00222461 0.001788 0.00222478 0.0522969 0.00627815
triglycerides 0.328955 0.0548288 0.00116514 0.00153426 0.0125467 0.00154155 0.342667 0.0549066
urate 0.274817 0.108502 0.012092 0.00215763 -0.00991617 0.00209649 0.276993 0.108665
urea 0.191297 0.00990675 0.00484613 0.002004 0.0470493 0.00203798 0.243192 0.00989974
vitamin_d 0.241113 0.0271555 0.00210877 0.0018838 0.0524345 0.00191173 0.295656 0.0271624
whr 0.137529 0.00517338 0.00916074 0.00175214 -0.0213112 0.0017704 0.125378 0.00520836
