pheno h2g h2g.se h2gxe h2gxe.se h2exn h2exn.se h2tot h2tot.se
albumin 0.201376 0.013365 0.00243962 0.00216869 0.016023 0.00216316 0.219839 0.013378
alcohol_freq 0.109128 0.0046724 0.00518297 0.00205534 0.0159975 0.00204257 0.130308 0.00468966
alka_phos 0.487947 0.126398 0.00511084 0.00261513 -0.00143618 0.00260046 0.491622 0.126543
apo_a 0.38605 0.0748407 0.00661878 0.00408582 0.00831661 0.00405469 0.400985 0.0748379
asp_at 0.21552 0.02156 -0.00275359 0.00214717 0.00858081 0.00212451 0.221347 0.021556
basal_metabolic 0.40848 0.0174245 0.00662159 0.00240244 0.0064085 0.00238219 0.42151 0.0174313
blood_eosinophil 0.296081 0.0225621 -0.00311476 0.00227232 0.00261463 0.00225237 0.295581 0.0225776
blood_lymphocyte 0.284576 0.0177675 0.00339462 0.00212401 0.0122218 0.00210673 0.300192 0.0177959
blood_mch 0.382743 0.0580265 0.000359071 0.00257814 0.00379294 0.00255875 0.386895 0.0580513
blood_monocyte 0.317234 0.0299129 0.00188413 0.00270647 0.00644647 0.00265927 0.325565 0.0299436
blood_mpv 0.558511 0.0660751 -0.000379729 0.00302967 0.00787812 0.00296256 0.566009 0.0661062
blood_mscv 0.312213 0.0300791 0.00055083 0.00217742 0.00216687 0.00215147 0.314931 0.0301066
blood_platelet 0.421908 0.0334189 0.00118825 0.00249482 0.00686531 0.00246133 0.429962 0.0334388
blood_platelet_distrib_width 0.380195 0.0400035 -0.00190074 0.00250804 0.00177839 0.00246641 0.380073 0.0400247
blood_rbc_count 0.348492 0.0424208 0.00421371 0.00262986 0.0271717 0.00262355 0.379877 0.0424313
blood_rbc_distrib_width 0.305822 0.026437 0.00121714 0.00258698 0.000268817 0.0025726 0.307307 0.0264191
blood_reticulocyte 0.321882 0.0314516 0.000901535 0.00237126 -0.0061299 0.0023671 0.316654 0.031474
blood_wbc_count 0.279125 0.0235989 0.00394166 0.00257894 -0.00776489 0.00254629 0.275302 0.0235978
bmd_heel_tscore 0.452443 0.04665 -0.0083045 0.00741319 0.0237406 0.00737728 0.467879 0.0466934
bmi 0.322377 0.0140368 -0.00102938 0.00219458 -0.0169723 0.002179 0.304376 0.0140446
bp_diastolic 0.199969 0.00651489 -0.012992 0.0022934 0.01316 0.00227293 0.200137 0.00651775
bp_systolic 0.209925 0.00843237 -0.0137479 0.00213209 0.0132366 0.00209537 0.209413 0.00842902
calcium 0.188717 0.0227826 0.00529008 0.00277853 0.00638798 0.00275846 0.200395 0.0227666
cholesterol 0.406598 0.114235 -0.0179026 0.0108584 0.0133853 0.0108029 0.40208 0.114188
corneal_hysteresis 0.349249 0.0259429 -0.00043408 0.00907808 0.00865306 0.00905164 0.357468 0.0259833
c_reactive_prot 0.402048 0.110704 0.00217806 0.00591304 -0.0113158 0.00584977 0.392911 0.110755
creatinine 0.303024 0.0154751 0.00451881 0.00310728 0.0509325 0.00310364 0.358476 0.0154789
creatinine_urine 0.0787494 0.00313422 0.000191818 0.00177476 -0.00658467 0.00177339 0.0723565 0.00313403
cystatin_c 0.366346 0.0769116 0.00658208 0.0032709 0.0351484 0.00321896 0.408077 0.0768836
fev1_fvc 0.270441 0.0165508 -0.00512402 0.00255465 0.015636 0.00253931 0.280953 0.0165512
fvc 0.315141 0.0120708 0.00570347 0.00231358 0.011926 0.0022814 0.33277 0.0120651
ggt 0.319757 0.0412276 -0.00645276 0.00250058 -0.00948904 0.00248068 0.303815 0.0412308
glucose 0.108281 0.0121279 0.0191527 0.00362615 0.0526618 0.00361838 0.180095 0.0121273
hair_color 0.326652 0.10688 -0.00118906 0.00264157 0.0128134 0.00261084 0.338276 0.106867
hba1c 0.327174 0.0277376 0.0282299 0.00450971 0.0266951 0.00447425 0.382099 0.0277715
hdl 0.467821 0.114916 0.00963337 0.0033464 0.0096874 0.00332332 0.487141 0.114933
height 0.690997 0.0323356 0.000225895 0.00295208 -0.000662285 0.00285998 0.690561 0.0323541
igf1 0.344325 0.0201107 0.00718694 0.00279813 0.0172584 0.00278369 0.36877 0.0201287
ldl 0.439943 0.160351 -0.0245443 0.0138207 0.00907428 0.013894 0.424473 0.160438
microalbumin 0.0427052 0.00748097 0.00992394 0.00702133 0.0262262 0.00701593 0.0788554 0.0074792
overall_health 0.116256 0.00390425 0.00944177 0.00238571 0.0109123 0.00237021 0.13661 0.00391792
phosphate 0.15957 0.0139082 5.22897e-05 0.00238026 0.0137305 0.00234814 0.173353 0.013902
potassium 0.0518521 0.00223109 0.00400641 0.00180261 -0.0155748 0.00180232 0.0402838 0.00223107
shbg 0.380566 0.0863839 0.0099375 0.00314795 -0.00767954 0.00312845 0.382824 0.086427
sodium 0.0933976 0.00428272 -0.00370953 0.00171568 -0.00205925 0.00170477 0.0876288 0.00427509
testosterone 0.118612 0.0194624 0.00276498 0.00248504 -0.0146285 0.00247349 0.106748 0.0194671
vitamin_d 0.135664 0.0275036 0.00164585 0.00247675 0.0110157 0.00247313 0.148325 0.0274957
whr 0.212179 0.00773717 0.00223177 0.00256925 0.002186 0.00255465 0.216596 0.00774709
