pheno h2g h2g.se h2gxe h2gxe.se h2exn h2exn.se h2tot h2tot.se
ala_at 0.162073 0.0137846 0.027558 0.00605578 0.063932 0.00602938 0.253563 0.0138232
albumin 0.199837 0.0153425 -0.00138166 0.00564806 -0.0933042 0.00558001 0.105152 0.0154663
alcohol_freq 0.119306 0.00610619 -0.0115028 0.00445898 -0.103868 0.00402731 0.00393508 0.00586682
alka_phos 0.476893 0.126382 0.0144181 0.00720969 -0.0337185 0.00758441 0.457593 0.126594
apo_a 0.389425 0.0699131 -0.00518475 0.0122977 -0.0735362 0.0126437 0.310704 0.0696452
asp_at 0.206169 0.0208727 0.0111772 0.00530989 -0.041691 0.00508846 0.175655 0.0208005
basal_metabolic 0.417796 0.0174427 -0.0140821 0.00585989 -0.0530206 0.00563359 0.350693 0.0179983
blood_eosinophil 0.289852 0.0221218 0.00925549 0.00648471 -0.0148681 0.00657206 0.284239 0.0222978
blood_lymphocyte 0.285717 0.0177232 -0.00331367 0.00599781 -0.0875855 0.00582899 0.194818 0.0177203
blood_mch 0.379084 0.0590554 0.00558562 0.00666809 -0.0189098 0.00695578 0.36576 0.0601556
blood_monocyte 0.319993 0.0291186 -0.00611465 0.00626046 -0.0387962 0.00602662 0.275082 0.0290867
blood_mpv 0.548487 0.0658364 0.00574759 0.00949094 -0.0428393 0.00961769 0.511395 0.0659147
blood_mscv 0.317849 0.0319586 -0.00159821 0.00597083 0.000377562 0.0059565 0.316628 0.0324456
blood_platelet 0.406558 0.0332208 0.015665 0.00707519 -0.0547082 0.00703931 0.367515 0.0334397
blood_platelet_distrib_width 0.370575 0.0393546 0.00866647 0.00662704 -0.00842645 0.00693824 0.370815 0.0392276
blood_rbc_count 0.359887 0.0448062 -0.0101117 0.00596854 -0.149112 0.00565959 0.200664 0.0447689
blood_rbc_distrib_width 0.305567 0.0242045 0.00263679 0.00664005 -0.0102648 0.00695134 0.297939 0.0235031
blood_reticulocyte 0.321248 0.0306532 0.000128246 0.00535904 0.0333694 0.00532542 0.354746 0.030758
blood_wbc_count 0.284571 0.0270948 0.00171805 0.00683906 0.0194845 0.006909 0.305773 0.0271002
bmd_heel_tscore 0.434356 0.0449188 0.0150756 0.01422 -0.090875 0.0142362 0.358557 0.0448827
bmi 0.316904 0.0137454 0.0139236 0.00551409 0.0783769 0.005697 0.409205 0.0138621
bp_diastolic 0.139173 0.00658029 0.0680705 0.00619852 -0.0647345 0.00594735 0.142509 0.00650743
bp_systolic 0.150963 0.00670035 0.0686425 0.0071286 -0.0635061 0.00682434 0.156099 0.00662603
calcium 0.194631 0.0235037 -0.00448581 0.00566198 -0.055192 0.00559419 0.134953 0.0234531
cholesterol 0.304534 0.0771924 0.117226 0.044132 -0.0851148 0.0432266 0.336645 0.0783067
corneal_hysteresis 0.353735 0.0287225 -0.00246964 0.0187628 -0.0349477 0.0183336 0.316318 0.0290155
c_reactive_prot 0.387702 0.119893 0.0128869 0.017322 0.035633 0.0177041 0.436222 0.120162
creatinine 0.312413 0.0165205 -0.00904918 0.0072946 -0.274034 0.00705074 0.0293299 0.0165105
creatinine_urine 0.082471 0.00413388 -0.0026863 0.00356646 0.0441919 0.0035965 0.123977 0.00421734
cystatin_c 0.37627 0.0746082 -0.0070838 0.00761914 -0.210574 0.00816354 0.158612 0.0737052
fev1_fvc 0.258967 0.0172627 0.0140388 0.00637868 -0.0674267 0.0060384 0.205579 0.0173355
fvc 0.32655 0.0132127 -0.0140604 0.0049057 -0.0834822 0.00503734 0.229007 0.0138896
ggt 0.281792 0.0392525 0.0482519 0.00644089 0.0432 0.00666728 0.373244 0.0395015
glucose 0.122457 0.0132359 -0.0136683 0.00661071 -0.347742 0.00644389 -0.238953 0.013355
hair_color 0.323207 0.101615 0.000141784 0.00818848 -0.0697181 0.00874931 0.253631 0.100536
hba1c 0.349218 0.0255147 -0.0202077 0.0116723 -0.26126 0.0115574 0.0677509 0.0257636
hdl 0.48401 0.112609 -0.0172853 0.0100642 -0.0811807 0.00947336 0.385544 0.112625
height 0.687915 0.0330644 0.0108877 0.00774344 -0.00753166 0.00832492 0.691271 0.034071
igf1 0.361599 0.0214023 -0.0133653 0.00587913 -0.111356 0.00590532 0.236877 0.0215552
ldl 0.315495 0.109994 0.138023 0.0567297 -0.0626127 0.0575381 0.390905 0.109188
microalbumin 0.05694 0.0108777 -0.0144866 0.00982934 -0.110145 0.00976511 -0.0676913 0.0108465
overall_health 0.12304 0.00542267 -0.00508084 0.00466656 -0.0942712 0.00439015 0.0236882 0.00532574
phosphate 0.17105 0.0148353 -0.0112523 0.00452804 -0.0582287 0.00446433 0.101569 0.0149915
potassium 0.0507042 0.00399274 0.00191775 0.00388577 0.0608778 0.00374974 0.1135 0.00393879
shbg 0.400574 0.090286 -0.017887 0.00762507 0.00670663 0.00749283 0.389394 0.0903749
sodium 0.0789958 0.00491001 0.0175099 0.00424958 0.00583317 0.00412559 0.102339 0.00485338
testosterone 0.123858 0.0224891 -0.00443274 0.00614183 0.0693131 0.00605244 0.188739 0.0225708
triglycerides 0.338722 0.0592496 0.00500493 0.00972831 -0.00518294 0.00974415 0.338544 0.0589536
urate 0.342874 0.134717 0.047822 0.0264385 -0.236045 0.0262711 0.154651 0.134928
urea 0.176081 0.0102337 -0.0104017 0.00506256 -0.156196 0.00483897 0.00948349 0.010273
vitamin_d 0.134042 0.0276107 0.00128891 0.00486072 -0.0565805 0.00457684 0.078751 0.0277766
whr 0.207707 0.0101097 0.00468113 0.00636488 -0.0235155 0.00640839 0.188873 0.0100709
