pheno h2g h2g.se h2gxe h2gxe.se h2exn h2exn.se h2tot h2tot.se
ala_at 0.183932 0.0140951 0.00391576 0.00178131 -0.0274307 0.0017783 0.160417 0.0141129
albumin 0.200392 0.0129554 -0.000283117 0.00198753 0.0233905 0.00198608 0.223499 0.0129372
alcohol_freq 0.109126 0.00439969 0.00330935 0.001825 0.0225865 0.00182877 0.135022 0.00441229
alka_phos 0.488009 0.126046 0.00709091 0.00204369 -0.00249041 0.00210169 0.492609 0.126026
apo_a 0.385938 0.0747882 0.00444816 0.00232834 0.0147301 0.00231533 0.405116 0.0747819
asp_at 0.213968 0.0213425 0.00186645 0.0020492 0.00569324 0.00204119 0.221528 0.0213378
basal_metabolic 0.411574 0.016701 0.00323356 0.00186994 0.0131834 0.00189219 0.427991 0.0166752
blood_eosinophil 0.292666 0.0228549 0.0010428 0.00180712 -0.00107151 0.0018121 0.292638 0.0229203
blood_lymphocyte 0.282507 0.0175496 0.0016221 0.00179565 0.0169692 0.00182662 0.301099 0.0175518
blood_mch 0.382406 0.0584131 -0.000808448 0.00190916 0.0050766 0.00190826 0.386674 0.0584994
blood_monocyte 0.318332 0.0303259 -0.00140597 0.00215419 0.0114044 0.00214898 0.328331 0.030387
blood_mpv 0.56106 0.0655137 0.00318758 0.00179698 0.00514523 0.00188689 0.569393 0.0655455
blood_mscv 0.314115 0.0305123 -0.00126308 0.00171728 0.00479302 0.00173918 0.317645 0.030522
blood_platelet 0.416539 0.0337596 0.00471298 0.00204968 0.00621998 0.00207168 0.427472 0.0338219
blood_platelet_distrib_width 0.375066 0.0395627 0.00132148 0.00190258 -0.00181191 0.0019452 0.374575 0.0395693
blood_rbc_count 0.347429 0.042929 0.00175887 0.00203841 0.0378308 0.00205465 0.387019 0.0429737
blood_rbc_distrib_width 0.309607 0.0259189 0.00116021 0.00189898 -2.52991e-05 0.00193602 0.310742 0.0258705
blood_reticulocyte 0.320006 0.031405 -0.000538164 0.00214478 -0.00684642 0.00211039 0.312621 0.0313663
blood_wbc_count 0.28333 0.0237719 0.00370178 0.00201138 -0.00888557 0.00200347 0.278146 0.0237393
bmd_heel_tscore 0.446529 0.0458924 -0.00430792 0.00604268 0.0237324 0.00604487 0.465953 0.0459095
bmi 0.329983 0.0138536 0.00701058 0.00179937 -0.0289967 0.00178666 0.307997 0.0138953
bp_diastolic 0.198399 0.00656946 0.00825812 0.00230897 -0.00812389 0.00230192 0.198533 0.0065832
bp_systolic 0.206684 0.00817719 0.00685114 0.00196138 -0.00758804 0.00197592 0.205948 0.00816845
calcium 0.189996 0.0229194 0.00518312 0.00231024 0.00838648 0.00231467 0.203566 0.0229491
cholesterol 0.403365 0.112169 0.0163271 0.00330062 -0.0219637 0.00319971 0.397728 0.112279
corneal_hysteresis 0.353202 0.0264613 -0.00449618 0.00881135 0.0157016 0.00881138 0.364407 0.0265284
c_reactive_prot 0.40132 0.110947 0.0059716 0.00191492 -0.0169253 0.00193788 0.390366 0.111051
creatinine 0.302993 0.015675 0.00157671 0.00238591 0.0679835 0.00235706 0.372553 0.0157111
creatinine_urine 0.0782726 0.00288383 0.000344533 0.00181348 -0.00977399 0.00181298 0.0688432 0.00288367
cystatin_c 0.370243 0.0771914 0.00535969 0.00227011 0.0466125 0.00226463 0.422215 0.0772231
fev1_fvc 0.272281 0.0169343 -0.001015 0.00201831 0.0151573 0.00201529 0.286423 0.0169782
fvc 0.318942 0.0120501 0.0028898 0.00208717 0.0190573 0.00211936 0.340889 0.0120741
ggt 0.318654 0.0409301 0.00832828 0.00173596 -0.0277606 0.00174674 0.299221 0.0408883
glucose 0.110063 0.0118537 0.0129292 0.00284006 0.0764126 0.0028326 0.199405 0.0118437
hair_color 0.324737 0.106031 -0.0020123 0.00170456 0.0171754 0.0017186 0.3399 0.105913
hba1c 0.330502 0.0272709 0.0204292 0.0026929 0.0481061 0.00269914 0.399037 0.0272576
hdl 0.474893 0.116398 0.00435053 0.00248562 0.0201995 0.00248556 0.499443 0.116454
height 0.685141 0.0358268 0.00229111 0.00200744 -0.00103659 0.00210454 0.686396 0.0359573
igf1 0.348612 0.0202687 0.00327698 0.00218634 0.0271107 0.00221541 0.379 0.020303
ldl 0.431124 0.156361 0.0178176 0.00385533 -0.0381979 0.00395464 0.410744 0.156275
microalbumin 0.045065 0.00736474 0.0028098 0.00615261 0.0397868 0.00615125 0.0876617 0.007369
overall_health 0.118141 0.00367406 0.00736191 0.00188777 0.0178336 0.00188976 0.143336 0.00368197
phosphate 0.16054 0.0142188 -0.0020314 0.00201809 0.0180077 0.00201257 0.176516 0.0142303
potassium 0.0525134 0.00220359 0.00301068 0.00174642 -0.0162789 0.00175118 0.0392452 0.00220371
shbg 0.383419 0.0868364 0.00689605 0.00225354 -0.00263375 0.00227387 0.387681 0.0868303
sodium 0.0932288 0.00394112 0.00120904 0.00176009 -0.00826218 0.0017563 0.0861757 0.00393501
testosterone 0.119669 0.0196827 0.00136668 0.00206794 -0.0154288 0.00206615 0.105607 0.0196931
triglycerides 0.343603 0.0585211 0.00662472 0.00247235 -0.00532028 0.00251024 0.344907 0.058523
urate 0.377062 0.153762 0.00625036 0.00228122 0.0393163 0.00226674 0.422628 0.153794
urea 0.167448 0.0105778 -0.00064973 0.00180849 0.0419028 0.00180677 0.208701 0.0106002
vitamin_d 0.136071 0.0275177 0.00338014 0.00232211 0.0125874 0.00233978 0.152039 0.0275528
whr 0.211119 0.00819791 0.00373176 0.00169984 0.00231371 0.00171429 0.217164 0.00820895
