pheno h2g h2g.se h2gxe h2gxe.se h2exn h2exn.se h2tot h2tot.se
ala_at 0.165606 0.0138701 0.0253926 0.00479645 0.0719307 0.0048776 0.262929 0.0139124
albumin 0.204492 0.014576 -0.0091617 0.00537744 -0.0917951 0.00544124 0.103535 0.0142776
alcohol_freq 0.115968 0.00563045 -0.00688253 0.0035093 -0.118245 0.00328955 -0.00915948 0.00553305
alka_phos 0.48033 0.126751 0.0133088 0.00620459 -0.0292191 0.00695702 0.464419 0.127871
apo_a 0.38885 0.0711641 -0.00235837 0.0106538 -0.0727594 0.0103014 0.313732 0.0720089
asp_at 0.205131 0.0203575 0.0115538 0.00520531 -0.0538975 0.00533527 0.162787 0.0206233
basal_metabolic 0.418125 0.0173745 -0.0112271 0.00515354 -0.0642415 0.00559862 0.342656 0.0176182
blood_eosinophil 0.285552 0.0219089 0.00874057 0.00504865 -0.0151776 0.00525498 0.279115 0.0220088
blood_lymphocyte 0.284358 0.0175405 -0.00225176 0.00550165 -0.0874932 0.00552735 0.194613 0.0178237
blood_mch 0.385952 0.0590377 -0.00384884 0.00471004 -0.00880993 0.00545303 0.373293 0.059798
blood_monocyte 0.315067 0.0292858 0.00183977 0.00509163 -0.0483814 0.00511248 0.268526 0.02974
blood_mpv 0.555874 0.0665032 0.00610017 0.00709816 -0.0284796 0.00772708 0.533494 0.0664982
blood_mscv 0.311899 0.0312675 0.00285726 0.00537437 -0.0123541 0.00509706 0.302403 0.0308145
blood_platelet 0.412681 0.0333691 0.0112917 0.00540951 -0.0428156 0.00609122 0.381157 0.0340617
blood_platelet_distrib_width 0.374095 0.040017 0.00913507 0.00554216 -0.00908458 0.00642115 0.374145 0.0404776
blood_rbc_count 0.351533 0.0443811 -0.00226033 0.00531037 -0.166652 0.00553725 0.182621 0.044583
blood_rbc_distrib_width 0.301682 0.0246247 0.0057637 0.00584296 -0.0192975 0.00603226 0.288148 0.0250186
blood_reticulocyte 0.320999 0.0308664 0.00193649 0.00462792 0.0310325 0.00480002 0.353968 0.031177
blood_wbc_count 0.279088 0.0258971 0.00561217 0.00549225 0.0172352 0.00587817 0.301935 0.0262086
bmd_heel_tscore 0.443473 0.0459862 0.013508 0.0116433 -0.086756 0.011709 0.370225 0.0468545
bmi 0.318362 0.0134891 0.0136116 0.00519952 0.0878456 0.00585357 0.419819 0.0139678
bp_diastolic 0.152139 0.00652673 0.0596028 0.00539403 -0.0612666 0.00508729 0.150475 0.00655193
bp_systolic 0.160626 0.00623357 0.0591775 0.00619528 -0.0616515 0.00599977 0.158152 0.00612558
calcium 0.190104 0.022842 -0.000404964 0.00464508 -0.0676415 0.00452924 0.122058 0.0230072
cholesterol 0.327365 0.0846013 0.0968329 0.0373863 -0.0718317 0.0378281 0.352366 0.0844212
corneal_hysteresis 0.341653 0.0257704 -0.00209138 0.0150572 -0.0488203 0.0145023 0.290741 0.0254046
c_reactive_prot 0.386839 0.116534 0.0114071 0.0146147 0.0314092 0.013578 0.429656 0.115334
creatinine 0.307873 0.0157288 -0.00893009 0.00608089 -0.304759 0.00586088 -0.00581612 0.0159967
creatinine_urine 0.0788982 0.00380727 -0.00116846 0.00323238 0.0434879 0.00307746 0.121218 0.00385279
cystatin_c 0.372606 0.075708 -0.00362032 0.00631864 -0.215083 0.00661518 0.153902 0.0760842
fev1_fvc 0.264086 0.0179345 0.0101478 0.00574155 -0.0708265 0.00563747 0.203407 0.0182294
fvc 0.326766 0.0129818 -0.0115884 0.00418117 -0.0807413 0.00494663 0.234436 0.0136847
ggt 0.283652 0.0390487 0.0439266 0.00582534 0.0369034 0.00553493 0.364482 0.0396414
glucose 0.122395 0.0125196 -0.0151112 0.00472143 -0.383154 0.00463824 -0.27587 0.0124281
hair_color 0.328829 0.104093 -0.00344231 0.00577995 -0.0649709 0.0062458 0.260416 0.103363
hba1c 0.345163 0.0257815 -0.0167422 0.00940681 -0.285188 0.00950721 0.0432333 0.0261201
hdl 0.476808 0.112678 -0.0112378 0.0107745 -0.101581 0.0115473 0.363988 0.111952
height 0.689497 0.0327345 0.0047659 0.00647436 -0.000359814 0.00844059 0.693903 0.0336896
igf1 0.352658 0.0203925 -0.00694449 0.00485423 -0.126119 0.00516391 0.219595 0.0206287
ldl 0.344279 0.121647 0.120999 0.0486354 -0.0272065 0.0494351 0.438071 0.120885
microalbumin 0.0510522 0.00939842 -0.00722211 0.00853539 -0.111944 0.00848411 -0.0681135 0.00946988
overall_health 0.123203 0.00475744 -0.00535825 0.00341649 -0.107958 0.00331526 0.00988634 0.00475746
phosphate 0.166882 0.0143838 -0.00801065 0.00392999 -0.069571 0.00375537 0.0893007 0.0143648
potassium 0.0509657 0.00356216 0.00117065 0.00364572 0.0592982 0.00345509 0.111435 0.00346235
shbg 0.382704 0.0870782 -0.0072133 0.0059816 -0.00423502 0.0066204 0.371256 0.0875173
sodium 0.0820114 0.00434844 0.0141969 0.0036789 0.0187019 0.00354437 0.11491 0.00431685
testosterone 0.120832 0.0212754 -0.00258871 0.00470321 0.0678091 0.00467803 0.186053 0.0212583
triglycerides 0.346498 0.0607639 0.00534791 0.00850609 -0.00394561 0.00872012 0.3479 0.0615636
urate 0.344299 0.135942 0.0359667 0.0215795 -0.243056 0.0223285 0.137209 0.135049
urea 0.172658 0.0103766 -0.0113548 0.00411791 -0.170984 0.00395909 -0.00968031 0.0107179
vitamin_d 0.136251 0.0276211 -0.000834353 0.00416477 -0.067618 0.00398845 0.0677984 0.0275469
whr 0.206863 0.00912195 0.00451337 0.00559346 -0.0412457 0.00528137 0.170131 0.00911268
