pheno	h2g.female	h2g.se.female	h2g.male	h2g.se.male	h2gxe.female	h2gxe.se.female	h2gxe.male	h2gxe.se.male	h2gxe.prop.female	h2gxe.prop.se.female	h2gxe.prop.male	h2gxe.prop.se.male	Category	h2g	h2g.se	h2gxe	h2gxe.se	h2exn	h2exn.se	h2tot	h2tot.se	sigma2.e	sigma2.e.se
Alanine aminotransferase	0.211592	0.0151133	0.198984	0.0133812	0.00928141	0.00409214	0.00499382	0.0033521	0.043864654618322	0.0193397670989451	0.0250965906806577	0.0168460780766292	Liver	0.208228	0.012269	0.00780761	0.00210931	-0.00438863	0.00211602	0.211647	0.012206	0.701917	0.0108677
Albumin	0.205499	0.0152042	0.201122	0.0129398	0.00241779	0.00414079	0.00160547	0.003791	0.0117654587126944	0.0201499277368746	0.0079825677946718	0.0188492556756595	Blood biochemistry	0.200859	0.0130153	0.00265392	0.0020378	0.000763395	0.00207362	0.204276	0.0129569	0.759302	0.0123638
Alcohol intake frequency	0.101085	0.00647931	0.138897	0.00524485	-0.000666966	0.0040421	-4.25952e-05	0.00304165	-0.0065980709304051	0.039987139536034	-0.0003066675306162	0.0218986011216944	Other	0.116706	0.00437748	0.000992927	0.00177682	-0.0246116	0.00178275	0.0930875	0.00435602	0.876984	0.00421227
Alkaline phosphatase	0.551649	0.151178	0.452383	0.102389	0.00735236	0.00347631	0.018629	0.00366526	0.0133279676025878	0.0063016700836945	0.041179708344478	0.0081021170114703	Liver	0.486123	0.123613	0.00837995	0.00176716	-0.0170847	0.00220038	0.477418	0.122859	0.48792	0.11471
Apolipoprotein A	0.421445	0.0786063	0.376101	0.0705937	0.00174463	0.00413197	0.000652569	0.0038558	0.004139638624257	0.009804292375043	0.0017350897764164	0.0102520333633784	Lipid metabolism	0.398452	0.0697724	0.000405152	0.00214677	-0.0267198	0.00238869	0.372138	0.0693008	0.554145	0.0611643
Aspartate aminotransferase	0.233715	0.0199795	0.221959	0.0220124	0.00216732	0.00405896	0.000293003	0.00344112	0.0092733457416083	0.0173671351860171	0.001320077131362	0.0155034037817795	Liver	0.223833	0.0200791	0.00387201	0.00202223	-0.00305487	0.00205389	0.22465	0.0199112	0.708062	0.0181833
Basal metabolic rate	0.438464	0.0211526	0.392823	0.0150424	0.0093772	0.00431455	0.0112024	0.00319534	0.021386476426799	0.0098401465114581	0.0285176784455085	0.0081342996718623	Anthropometry	0.445682	0.0131696	0.00739363	0.0016856	-0.108865	0.00190829	0.34421	0.013062	0.384931	0.00766704
Eosinophil count	0.307473	0.0228958	0.294808	0.0225275	0.00252971	0.0036977	0.00421959	0.00389433	0.0082274215947416	0.0120260966003519	0.0143130105017502	0.0132097161542427	Blood biochemistry	0.295674	0.0220859	0.00249577	0.00198659	0.0191984	0.00205939	0.317368	0.021976	0.676869	0.0217905
Lymphocyte count	0.273761	0.0167441	0.306194	0.0201728	-0.00158432	0.00415437	0.00420546	0.00356356	-0.005787237773094	0.0151751710433553	0.0137346257601389	0.0116382424214713	Blood biochemistry	0.285334	0.0169975	0.00161346	0.00170649	-0.0148392	0.00180618	0.272108	0.0168154	0.718839	0.0166063
Mean corpuscular hemoglobin	0.39688	0.0569553	0.364768	0.0570514	0.00936779	0.0042609	0.00240219	0.00358045	0.0236035829469864	0.0107359907276758	0.0065855283358189	0.009815691069392	Blood biochemistry	0.38006	0.0570173	0.00415574	0.0018652	0.0175197	0.00203784	0.401735	0.0567022	0.586229	0.0555615
Monocyte count	0.326711	0.0290079	0.316664	0.031194	0.00831706	0.0038818	0.00563467	0.00319826	0.0254569328856389	0.0118814487421605	0.0177938445797438	0.0100998534724502	Blood biochemistry	0.320626	0.028441	0.00324653	0.0015928	-0.00228357	0.00177013	0.321589	0.0281902	0.645294	0.0268141
Mean platelet volume	0.538391	0.0621633	0.567925	0.0671352	0.00938536	0.00474812	0.00396263	0.00376119	0.0174322379088803	0.0088190924439673	0.0069773825769247	0.0066226878549104	Blood biochemistry	0.552954	0.0641019	0.00149014	0.00233636	-0.0109053	0.00244485	0.543539	0.0637401	0.45522	0.0635668
Mean sphered cell volume	0.316632	0.0290436	0.322813	0.0309953	0.0161871	0.00401188	0.000386491	0.00373503	0.0511227544910179	0.0126704818211677	0.0011972597138281	0.0115702589424837	Blood biochemistry	0.315885	0.0294803	0.00440244	0.00169314	0.00105982	0.00179119	0.321347	0.0293397	0.670295	0.0289783
Platelet distribution width	0.37812	0.0396835	0.380811	0.0396796	0.0124308	0.00423962	0.00387201	0.00331948	0.0328752776896223	0.0112123664445149	0.0101677997746913	0.0087168700483967	Blood biochemistry	0.377715	0.0391864	0.00365759	0.00197696	-0.00225731	0.00209331	0.379115	0.0389854	0.609234	0.0382538
Platelet count	0.404279	0.0331371	0.432995	0.0335929	0.00351562	0.00441771	0.00355098	0.00348696	0.0086960242802618	0.0109273793593038	0.0082009722976015	0.0080531183962863	Blood biochemistry	0.417386	0.0325308	0.0038409	0.00198856	-0.00372085	0.00214362	0.417506	0.0323857	0.552139	0.030698
RBC count	0.336115	0.0376026	0.377577	0.0466699	0.0092894	0.00389056	0.00957861	0.00302755	0.0276375645240468	0.0115750859080969	0.0253686267966533	0.0080183644660559	Blood biochemistry	0.36924	0.0392341	0.00700041	0.00182057	-0.0433472	0.00204284	0.332893	0.0390063	0.533095	0.0311705
RBC distribution width	0.30859	0.0255063	0.314201	0.0272862	0.00965299	0.00419845	0.00577471	0.00353898	0.0312809553128746	0.013605269127321	0.0183790312570615	0.0112634269146183	Blood biochemistry	0.307436	0.0259776	0.00473946	0.00200069	0.0241339	0.00197068	0.33631	0.0258413	0.653522	0.0254454
High light scatter reticulocyte count	0.33901	0.0291281	0.332585	0.0331275	0.0128217	0.00394266	-0.00159294	0.00354861	0.0378210082298457	0.0116299224211675	-0.0047895725904655	0.0106697836643264	Blood biochemistry	0.331063	0.0299225	0.00254279	0.00161463	-0.00250059	0.00163362	0.331106	0.0297142	0.65983	0.0293115
White blood cell count	0.29024	0.0238947	0.297574	0.0234113	0.00547531	0.00392731	0.0053904	0.00334039	0.0188647670893054	0.01353125	0.0181144858085719	0.0112254094779785	Blood biochemistry	0.286325	0.0229556	0.00143198	0.0016336	0.00916095	0.00175977	0.296918	0.0228424	0.697453	0.0226595
BMD Heel T-score	0.403106	0.0414441	0.516671	0.0521077	0.000468685	0.0129542	-0.000962635	0.0108539	0.0011626842567463	0.0321359642376943	-0.0018631488897189	0.0210073721962331	Anthropometry	0.450339	0.0448994	0.00593356	0.00566617	-0.0276522	0.00584625	0.428621	0.0446595	0.534804	0.0418007
Body mass index	0.34716	0.016781	0.341341	0.0139786	0.00667696	0.00399174	0.0136051	0.00341239	0.0192330913699734	0.0114982716902868	0.0398577961627815	0.009997011785868	Anthropometry	0.336333	0.0132222	0.00732685	0.00181131	-0.0149857	0.00184531	0.328674	0.0131245	0.659619	0.0128956
Diastolic blood pressure	0.162395	0.00779767	0.240641	0.0090191	0.0254581	0.0041863	0.0142134	0.00374935	0.1567665260629945	0.0257785030327288	0.0590647479024771	0.0155806782717824	Blood pressure	0.199561	0.00607716	0.0198766	0.00205878	-0.0159799	0.00207145	0.203458	0.00604718	0.774484	0.00587972
