pheno	h2g.female	h2g.se.female	h2g.male	h2g.se.male	h2gxe.female	h2gxe.se.female	h2gxe.male	h2gxe.se.male	h2gxe.prop.female	h2gxe.prop.se.female	h2gxe.prop.male	h2gxe.prop.se.male	Category	h2g	h2g.se	h2gxe	h2gxe.se	h2exn	h2exn.se	h2tot	h2tot.se
Alanine aminotransferase	0.211742	0.0151152	0.199144	0.0133919	0.00821917	0.004529	0.00672211	0.00427153	0.0388169092574926	0.0213892378460579	0.0337550214919857	0.0214494536616719	Liver	0.177595	0.0105851	0.00727668	0.0019797	0.0209774	0.00199203	0.205849	0.0105635
Albumin	0.204989	0.0152364	0.200863	0.0129613	-0.00360051	0.00426542	0.00228354	0.00376565	-0.0175644058949504	0.0208080433584241	0.0113686442998461	0.0187473551624739	Blood biochemistry	0.209475	0.0123866	0.00220865	0.00208378	0.00630043	0.00214713	0.217984	0.0124054
Alcohol intake frequency	0.100915	0.00663383	0.139584	0.00529932	0.00966375	0.00383741	0.0167381	0.00406761	0.0957612842491205	0.0380261606302333	0.1199141735442457	0.0291409473865199	Other	0.132372	0.00447225	0.0191121	0.00212971	0.0321061	0.00214298	0.183591	0.00445882
Alkaline phosphatase	0.551874	0.151749	0.451915	0.102573	0.00298205	0.00375826	0.00672927	0.00334166	0.0054034978998829	0.0068099964847048	0.0148905657037274	0.0073944436453757	Liver	0.45483	0.117049	0.00883941	0.00171185	-0.00849482	0.00184386	0.455175	0.117255
Apolipoprotein A	0.42089	0.078613	0.376052	0.0706102	0.00567946	0.0041727	-0.000645727	0.0040396	0.013493929530281	0.0099139917793247	-0.0017171215682937	0.0107421314073585	Lipid metabolism	0.331689	0.0614557	-0.0025383	0.00233328	0.0291029	0.00231147	0.358254	0.061429
Aspartate aminotransferase	0.234813	0.0200034	0.222227	0.0220567	0.0047457	0.00407655	0.00750217	0.00349015	0.0202105505231822	0.0173608360695532	0.0337590391806576	0.0157053373352472	Liver	0.196604	0.0184216	0.00508933	0.00190878	0.0418273	0.00194553	0.24352	0.0184139
Basal metabolic rate	0.437279	0.0211705	0.391228	0.0150132	0.02269	0.00469781	0.0144393	0.00357379	0.0518890685351914	0.0107432783188765	0.036907634422894	0.0091348011900988	Anthropometry	0.215503	0.00884475	0.0244474	0.00212179	-0.00913854	0.00212829	0.230812	0.00887886
Eosinophil count	0.306522	0.0230554	0.294686	0.0225884	-0.00156531	0.00380767	0.00380143	0.00357165	-0.0051066807602716	0.0124221752435387	0.0128999341672152	0.012120188946879	Blood biochemistry	0.305108	0.0226145	-2.0525e-05	0.0019905	-0.00760122	0.00201194	0.297486	0.0226392
Lymphocyte count	0.270799	0.016869	0.306358	0.0204521	0.00796259	0.00457384	0.0153913	0.00364556	0.0294040598377394	0.0168901657687066	0.0502395889776013	0.0118996729316681	Blood biochemistry	0.291637	0.0176985	0.00912308	0.0019711	0.0240562	0.00199872	0.324816	0.0177457
Mean corpuscular hemoglobin	0.400973	0.0574956	0.368858	0.0580097	0.00368603	0.0040978	0.00690779	0.00359777	0.0091927137238666	0.010219640723939	0.018727504893482	0.0097538076983554	Blood biochemistry	0.501792	0.0562149	0.00984381	0.00196772	0.0231206	0.00197391	0.534756	0.0561644
Monocyte count	0.325113	0.0292532	0.316308	0.0312612	0.000231513	0.00457003	0.0057315	0.00352775	0.0007121001005804	0.0140567433476975	0.0181199969649835	0.0111528952792847	Blood biochemistry	0.298602	0.0280021	0.00373747	0.00194997	0.0349666	0.00195821	0.337306	0.0280243
Mean platelet volume	0.538176	0.0621652	0.567821	0.0671532	-0.0053769	0.0042668	0.000155622	0.00323814	-0.0099909694969675	0.0079282613866095	0.0002740687646282	0.0057027478730092	Blood biochemistry	0.557483	0.0641207	-0.000674271	0.00176543	0.00331574	0.00190493	0.560124	0.0639564
Mean sphered cell volume	0.317342	0.029277	0.323227	0.031309	0.0125905	0.00473789	0.0117152	0.00374012	0.0396748618210006	0.014929917880394	0.0362444969015583	0.0115711868129828	Blood biochemistry	0.355466	0.0295016	0.0127084	0.00233064	0.028582	0.002382	0.396756	0.0294481
Platelet distribution width	0.378693	0.0397385	0.380997	0.0396963	0.00178922	0.00351855	0.00169829	0.00331762	0.0047247242489298	0.0092912992846448	0.0044574891665813	0.0087077326068184	Blood biochemistry	0.401354	0.0389837	0.00280042	0.00182086	0.0128903	0.00182321	0.417045	0.0391144
Platelet count	0.404336	0.0331092	0.432977	0.0335674	-0.00309634	0.0042056	0.0010831	0.00323862	-0.0076578390249693	0.0104012504451743	0.0025015185564129	0.0074798892319915	Blood biochemistry	0.42624	0.0311001	0.00149121	0.00170358	0.0205711	0.00180164	0.448302	0.0310848
RBC count	0.335446	0.0375676	0.377289	0.0466714	6.90342e-05	0.00411042	0.00531732	0.00379769	0.0002057982506871	0.0122535967040894	0.0140934933167942	0.010065732104567	Blood biochemistry	0.323074	0.0320318	0.000603859	0.00204058	0.0140818	0.00209273	0.337759	0.0320351
RBC distribution width	0.307839	0.0254338	0.314069	0.0272575	0.00704847	0.00409233	0.0109981	0.00314606	0.022896611540448	0.013293734711976	0.0350181011179072	0.0100170981535904	Blood biochemistry	0.315617	0.0259698	0.0083643	0.00194092	-0.00994453	0.00197853	0.314037	0.0259482
High light scatter reticulocyte count	0.336912	0.0291433	0.331993	0.0333092	0.00208042	0.00371343	0.0041473	0.00357723	0.0061749655696442	0.0110219582561618	0.0124921308581807	0.0107750163407059	Blood biochemistry	0.33139	0.0307938	0.00588985	0.00187041	-0.0191721	0.00184656	0.318108	0.030885
White blood cell count	0.29006	0.0242825	0.299573	0.0238967	0.0169535	0.00451095	0.0267669	0.0048088	0.0584482520857753	0.0155517823898503	0.0893501750825341	0.0160521809375344	Blood biochemistry	0.298694	0.0241543	0.0220841	0.00252685	0.0178091	0.00251603	0.338587	0.0241609
BMD Heel T-score	0.405771	0.0414443	0.516408	0.0522903	0.0018093	0.012228	-0.00344197	0.0102294	0.0044589189468936	0.0301352240549472	-0.0066652143266564	0.0198087558674536	Anthropometry	0.411914	0.0419609	0.00381524	0.00556341	0.0152039	0.00561173	0.430933	0.0420013
Body mass index	0.341292	0.0165465	0.339218	0.013893	0.0364433	0.0045522	0.0167113	0.00347515	0.1067804109091335	0.0133381386027214	0.0492641899899179	0.0102445919733033	Anthropometry	0.345282	0.0136743	0.0228457	0.00201237	0.00975652	0.00200655	0.377884	0.0136867
Diastolic blood pressure	0.162822	0.00781815	0.240958	0.00902504	-0.00425753	0.00429829	0.0125766	0.00371821	-0.0261483706133077	0.0263987053346599	0.0521941583180471	0.0154309464719992	Blood pressure	0.200163	0.00614665	0.00616059	0.00212999	0.0083763	0.00215125	0.2147	0.00615984
Systolic blood pressure	0.177015	0.00761082	0.248878	0.0108498	-0.00569002	0.00405704	0.0180495	0.00392866	-0.03214428155806	0.0229191876394655	0.0725234854024863	0.0157854852578371	Blood pressure	0.206688	0.0075322	0.00879732	0.00193144	0.00472311	0.00192353	0.220208	0.00755855
Calcium	0.204682	0.0239429	0.192108	0.0224705	-0.00152189	0.00466936	0.00476018	0.00385841	-0.0074353875768264	0.0228127534419245	0.0247786661669477	0.0200845878360089	Other	0.223059	0.0228436	-0.000533117	0.00184653	0.00261665	0.00183764	0.225142	0.0229185
Cholesterol	0.221434	0.0453197	0.293363	0.0894444	0.000479334	0.00380497	0.00711684	0.00382278	0.0021646811239466	0.0171833142155224	0.0242595010277369	0.0130308866489639	Lipid metabolism	0.230904	0.0606248	0.00311834	0.0017318	0.00288692	0.0017518	0.236909	0.0606734
C-reactive protein	0.389072	0.130677	0.42027	0.0960639	0.00530637	0.00417928	0.00608338	0.00399714	0.0136385296294773	0.0107416622116214	0.0144749327813072	0.0095108858590905	Blood biochemistry	0.407779	0.108642	0.00361397	0.00194972	0.00235946	0.0020137	0.413753	0.108766
Creatinine	0.292615	0.0170964	0.334859	0.0165363	0.00406833	0.00452853	0.00641399	0.00370563	0.0139033542367957	0.0154760692377355	0.0191543007653967	0.0110662398203422	Kidney	0.236527	0.0113381	0.0118772	0.00193684	-0.00743109	0.00198355	0.240973	0.0113745
Creatinine in urine	0.0769623	0.00450259	0.0950471	0.00451034	-0.000101547	0.00407053	-0.00232612	0.00412588	-0.0013194382184524	0.0528899214290633	-0.0244733400598229	0.0434087941662607	Kidney	0.0891464	0.00311213	0.00236756	0.00182718	0.0184361	0.00186471	0.10995	0.00313435
Cystatin-C	0.364203	0.07511	0.381543	0.0772554	0.00584986	0.00422348	0.012464	0.00393078	0.0160620862540945	0.0115964997542579	0.0326673533520468	0.0103023250328272	Kidney	0.308109	0.0624292	0.00654708	0.00211827	-0.0075843	0.00213083	0.307071	0.0623905
