pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se sigma2_e sigma2_e.se
ala_at 0.0349921 0.00961373 0.0197502 0.00390451 0.0057282 0.0016482 0.00142911 0.000508109 0.00330464 0.000738522 0.0269203 0.00344742 0.0630146 0.00874714 0.0248904 0.00507889 -0.00145881 0.00462616 6.21469e-06 0.0024705 -0.0001795 0.000901962 0.000268032 0.000274892 -0.000600556 0.000562561 0.0021351 0.00100185 0.0024065 0.00112373 0.00105299 0.000640498 -0.232166 0.0122734 0.00362997 0.00472969 0.18003 0.01412 0.904141 0.0156234
albumin 0.0419615 0.00770822 0.0240979 0.00448605 0.00797625 0.00191167 0.00124219 0.000530124 0.00526459 0.00106285 0.0355016 0.00517852 0.0635366 0.00465032 0.0221275 0.00409008 0.00144547 0.00416775 -0.00048773 0.00241737 0.00153355 0.00109394 0.000719299 0.000470654 -0.000929625 0.000596968 0.000167242 0.00129951 0.00253997 0.0011395 0.00038065 0.000627905 -0.248638 0.0155174 0.00536883 0.00429445 0.201708 0.0171728 0.99233 0.0206933
alcohol_freq 0.0196816 0.00402025 0.0187284 0.00331231 0.00593684 0.00124555 0.000413174 0.000364399 0.00224095 0.000581563 0.0184242 0.00176762 0.0375631 0.00218135 0.0164589 0.00372769 0.00283456 0.00423739 0.000385973 0.00234089 0.00120052 0.000811392 -0.00035833 0.000284445 0.000441517 0.000473955 0.000697528 0.000951098 0.00166453 0.00100586 0.00217551 0.000486472 -0.611411 0.00945459 0.00904181 0.00425013 0.119447 0.00589454 1.4239 0.0112031
alka_phos 0.0872723 0.0337607 0.0272943 0.0146029 0.0116116 0.00683097 0.00188207 0.00140928 0.0103562 0.00532391 0.0591198 0.0126604 0.14938 0.0546288 0.0524083 0.0106554 0.0040735 0.00419539 0.00296587 0.00272725 0.000677851 0.000875523 -0.00044532 0.000291963 0.000895888 0.000499815 0.00214687 0.00114696 0.00394911 0.00139551 0.000773579 0.000498528 -0.377567 0.0301932 0.0150374 0.00408524 0.399325 0.0748074 0.904754 0.0712869
apo_a 0.04363 0.00802089 0.038306 0.00727081 0.0091331 0.00234821 0.00281243 0.00154629 0.0164965 0.0110674 0.073466 0.0255395 0.102082 0.0175648 0.0346242 0.00613745 0.00457483 0.00389867 0.00179625 0.0026263 -3.26813e-05 0.0010468 0.000173559 0.000317901 0.000928117 0.000731154 0.00149455 0.00125733 0.00476263 0.00123971 0.00199664 0.000536346 -0.0659741 0.0252661 0.0156939 0.00461741 0.32055 0.0418758 0.613322 0.0395263
asp_at 0.0317775 0.00403001 0.0221826 0.00396939 0.00541017 0.00162082 0.00238031 0.000542743 0.00391757 0.000922653 0.0349927 0.00831308 0.0707471 0.00935727 0.0241112 0.00526597 0.00420822 0.00491122 0.00186294 0.0023341 -0.000860316 0.000858574 0.000214344 0.000281729 -0.000804246 0.000525131 0.00165075 0.00105906 0.00145821 0.000965997 0.00178411 0.000663416 -0.134439 0.017018 0.009514 0.00501113 0.195519 0.0165902 0.835917 0.0208802
basal_metabolic 0.065467 0.00724113 0.0593623 0.00557892 0.0149062 0.00250312 0.00416322 0.000699757 0.00666878 0.00126255 0.0607425 0.00479718 0.126723 0.00689631 0.0568163 0.0127798 -0.00154275 0.00392512 -0.00153876 0.00256935 0.00135946 0.00093838 0.000134605 0.00028815 -8.52953e-06 0.000486891 0.00314468 0.000918601 0.00251244 0.00103223 0.00217504 0.000523986 -0.491913 0.031251 0.0062362 0.00396109 0.394849 0.0149483 0.458049 0.0151144
blood_eosinophil 0.0338573 0.00628368 0.0380692 0.00659643 0.00895311 0.00225442 0.00147755 0.000741314 0.00902737 0.00225896 0.0511866 0.00726439 0.0891386 0.00693604 0.0425101 0.00890889 0.00149477 0.0037291 0.00404408 0.00209656 0.000682826 0.000968416 -4.54382e-05 0.000272792 -4.68836e-05 0.000471756 -0.000678174 0.000955481 0.00151048 0.00101472 0.000991036 0.000610261 0.120782 0.020907 0.00795269 0.00368264 0.27422 0.0183833 0.590538 0.0281316
blood_lymphocyte 0.0507292 0.00541127 0.0333163 0.00495931 0.00992302 0.00215015 0.00255995 0.000951349 0.00694646 0.00217731 0.051193 0.00936997 0.0830451 0.00567869 0.0404764 0.00706405 0.00232562 0.00420852 0.000446567 0.00236837 0.000536586 0.000904278 -3.80678e-05 0.000322495 -0.000123295 0.000593284 0.000656933 0.00110454 0.00197758 0.000975938 0.00129894 0.00055885 0.0963491 0.0209685 0.00708086 0.00410685 0.27819 0.0182123 0.609453 0.0268473
blood_mch 0.0548986 0.00928054 0.0449067 0.0100636 0.00804198 0.00257236 0.00281405 0.00121735 0.00576939 0.0021508 0.0625714 0.0169828 0.11363 0.0180622 0.0459728 0.00931073 0.00810077 0.00406409 -0.000163743 0.00241214 -0.000185783 0.000926113 2.69741e-05 0.000277897 -0.000165205 0.0005017 0.00116081 0.000973205 0.00107179 0.000985145 0.000196999 0.00045236 -0.0991031 0.0205548 0.0100426 0.00403391 0.338605 0.0374165 0.733005 0.044044
blood_monocyte 0.0584227 0.00924059 0.0370345 0.00754096 0.00578616 0.00197218 0.00128161 0.000648619 0.0113572 0.00348049 0.0628678 0.0186469 0.102007 0.0115922 0.0407256 0.00895198 0.00896675 0.00410299 0.0030168 0.00218931 0.00235081 0.00089294 -8.84271e-05 0.00025703 -0.000222506 0.000623616 0.0006408 0.000874127 0.00146273 0.00110218 -6.35276e-05 0.000460116 0.254455 0.0192085 0.0160634 0.00436184 0.319483 0.0285654 0.383556 0.0344464
blood_mpv 0.0696941 0.0115266 0.0664729 0.0181254 0.00940843 0.00428188 0.0042423 0.00149218 0.0138585 0.00476799 0.0705378 0.0125743 0.194272 0.0319934 0.0630841 0.0117928 0.00323334 0.00397263 0.000951363 0.00258805 0.00068613 0.00100781 -0.000376725 0.000271555 0.000881556 0.000601798 7.3846e-05 0.000909132 -0.000253359 0.00102254 0.000748218 0.000546872 -0.0432062 0.0338024 0.00594437 0.0042626 0.49157 0.0506081 0.544239 0.0621312
blood_mscv 0.0667171 0.00835173 0.0500852 0.00902969 0.0105641 0.0040544 0.00174344 0.000726693 0.00636036 0.00161699 0.0561769 0.00953269 0.0865031 0.0108983 0.0350235 0.0122184 0.00368994 0.00380441 -0.00118279 0.00216712 0.000689904 0.00101908 0.000317441 0.000281075 0.000564322 0.000603505 0.00158777 0.0012152 0.00127279 0.00108901 0.00115718 0.000586854 -0.0525595 0.0209232 0.00809655 0.0041377 0.313174 0.0253426 0.722231 0.0339862
blood_platelet_distrib_width 0.0700879 0.0205436 0.0507446 0.0152679 0.0147657 0.0056585 -0.00029092 0.000595071 0.0110212 0.00445345 0.0428031 0.00655087 0.111828 0.0137561 0.0507372 0.010683 0.000485768 0.00358695 0.00122791 0.00238237 -0.000373159 0.00087076 -0.000119725 0.000278716 0.000878434 0.000586108 0.000239273 0.00108062 0.00198765 0.00110774 0.000133712 0.000505803 -0.195307 0.0255478 0.00445987 0.0042305 0.351697 0.0461333 0.819286 0.0510338
