pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se sigma2_e sigma2_e.se
ala_at 0.0343593 0.00956352 0.0198907 0.0037827 0.00603891 0.00163552 0.00137283 0.000555548 0.00334213 0.000774782 0.0271216 0.0034678 0.061564 0.00853492 0.0255538 0.00453259 -0.00222398 0.00448102 -0.000340277 0.00256626 -0.000268866 0.000889065 0.000205966 0.000254497 -0.000258556 0.000639555 0.0016993 0.000990927 0.0026303 0.00118991 0.00121682 0.000687403 0.349104 0.0130015 0.00266071 0.00466893 0.179243 0.0139458 0.403956 0.014803
albumin 0.0418923 0.00787822 0.0231431 0.00446859 0.00815305 0.00188883 0.0011766 0.00050838 0.00525436 0.00110276 0.0357167 0.00524021 0.0632859 0.00458658 0.0229286 0.00309339 0.00374417 0.0040922 -0.000588364 0.00236725 0.00125213 0.00107616 0.000566136 0.000441916 -0.000554321 0.000638479 0.000414869 0.00114357 0.00245023 0.00124889 -3.95659e-05 0.00068893 0.171503 0.0151407 0.00724529 0.00414648 0.201551 0.017491 0.590366 0.02206
alcohol_freq 0.0195615 0.004255 0.018657 0.00326591 0.00626695 0.00124806 0.000384191 0.000404705 0.00229502 0.000598052 0.0188601 0.00180511 0.036659 0.00220826 0.0179585 0.00264968 0.00371638 0.00383665 0.00204466 0.00238271 0.00137151 0.000925193 -0.000348797 0.000284775 0.00060389 0.000490808 0.00162508 0.00100929 0.00275711 0.00107021 0.00237085 0.00054268 0.616234 0.00886558 0.0141407 0.00412299 0.120642 0.00607966 0.239065 0.010182
alka_phos 0.0857219 0.0339051 0.0257327 0.0146575 0.0127398 0.00700245 0.00187666 0.00137548 0.0104269 0.00546259 0.0587809 0.0128025 0.150435 0.0549322 0.0473444 0.0114768 0.00360605 0.00432273 0.00252466 0.00258966 0.000850354 0.000896357 -0.00049083 0.000276147 0.00115712 0.000565218 0.00222439 0.00109808 0.00172982 0.00153356 0.000885234 0.000567221 0.302567 0.0309462 0.0124868 0.00444266 0.393059 0.0746976 0.273595 0.0656446
apo_a 0.0442089 0.00809719 0.0382472 0.0069906 0.00859521 0.00216361 0.00268103 0.0014896 0.0167771 0.011148 0.0745847 0.025702 0.101638 0.0176588 0.0383226 0.00503966 0.00519854 0.00397629 0.00340706 0.00272795 0.000192967 0.00100449 9.99913e-05 0.00031885 0.00127875 0.000678562 0.00094551 0.00124289 0.00316688 0.00117772 0.00147319 0.000543743 -0.000585773 0.024816 0.0157629 0.0044012 0.325054 0.0428119 0.55443 0.0469772
asp_at 0.0328459 0.00425428 0.0224006 0.00381169 0.0057528 0.00157968 0.00230183 0.000583491 0.00401939 0.00094874 0.0353143 0.00845518 0.0700629 0.00922758 0.0256773 0.00445922 0.00494557 0.00456595 0.00178348 0.00231802 -0.000880226 0.000834293 8.7557e-05 0.000259497 -0.000733955 0.000513181 0.00180223 0.00102255 0.00157561 0.00100377 0.00154185 0.000721905 0.105135 0.0139597 0.0101221 0.00480316 0.198375 0.0169685 0.616759 0.0198217
basal_metabolic 0.0672244 0.00749782 0.0590856 0.00500528 0.015316 0.00220563 0.00390192 0.000662915 0.00686181 0.00124115 0.0618088 0.00494316 0.124953 0.00673326 0.0614895 0.00909426 -0.00111451 0.0042411 -0.000176163 0.00270786 0.00107833 0.000947201 1.73062e-05 0.000312228 -0.00016657 0.000484598 0.00304139 0.000983164 0.00247918 0.0010856 0.00218416 0.000494194 0.478574 0.0248496 0.00734313 0.00407825 0.400641 0.0153103 0.0476366 0.0131211
blood_eosinophil 0.0343597 0.00603627 0.0372774 0.0060719 0.00800927 0.00198594 0.00131019 0.000659019 0.0094109 0.00226101 0.0515056 0.00729805 0.0877757 0.00685191 0.0462101 0.00677984 0.00142811 0.00370388 0.00446653 0.00219049 0.00151009 0.000933427 -3.09511e-05 0.000303999 0.000148048 0.000539855 -0.000849705 0.000985425 0.000894463 0.00113869 0.000554584 0.000540106 -0.184851 0.0223015 0.00812116 0.00375356 0.275859 0.0184557 0.891056 0.0273832
blood_lymphocyte 0.05246 0.00543114 0.0326462 0.00454145 0.00925532 0.00191876 0.00275427 0.000959152 0.00683741 0.00210452 0.0518189 0.00944599 0.0829001 0.00561257 0.0452501 0.00453968 0.00111355 0.00411618 0.00179479 0.00214821 -0.000190678 0.000851471 -0.00012888 0.000320561 0.00044183 0.00055226 0.00119953 0.00107908 0.00198792 0.000963334 0.00198677 0.000622743 -0.0210101 0.0183838 0.00820484 0.00387216 0.283922 0.0182579 0.718329 0.023985
blood_mch 0.052803 0.0093433 0.0443346 0.00976554 0.00845589 0.00245275 0.00270302 0.00127942 0.00577849 0.00208116 0.0632383 0.0170063 0.111424 0.0176683 0.0473501 0.0078097 0.00680258 0.00406158 -0.000766164 0.00239515 -0.000210739 0.000996207 -0.000105002 0.000288403 0.000145324 0.000569269 0.000533412 0.00112225 0.00133647 0.00101728 0.000238799 0.000552809 0.25109 0.0204902 0.00797468 0.00417159 0.336088 0.0371053 0.395449 0.0417481
blood_monocyte 0.0543367 0.00889125 0.0361479 0.00764529 0.00591122 0.00208957 0.00144207 0.000658061 0.0114529 0.00348206 0.0627818 0.0186215 0.101614 0.0116019 0.0379936 0.0101795 0.00629475 0.0037907 0.00339832 0.00221458 0.00199037 0.000903512 -0.000186352 0.00025793 -0.000249453 0.000625466 0.000265533 0.00104169 0.0011202 0.00109721 -0.000257771 0.000547702 -0.18059 0.0206416 0.0123756 0.004152 0.31168 0.0278955 0.801251 0.0295959
blood_mpv 0.0698698 0.0114059 0.0673649 0.0183037 0.0101548 0.00445557 0.0043318 0.00147345 0.013417 0.00476739 0.0700479 0.0124089 0.193962 0.0317041 0.0601285 0.0135653 0.003699 0.00392565 0.0011515 0.0024139 0.000654017 0.00103813 -0.000265504 0.000283377 0.00059638 0.000587754 7.78112e-05 0.000914735 -0.000568954 0.00113938 0.000965649 0.000515423 -0.180553 0.0496167 0.0063099 0.00463249 0.489277 0.0490621 0.683111 0.052326
blood_mscv 0.0668082 0.00830349 0.0484348 0.00827982 0.00966542 0.00379914 0.0017186 0.00071714 0.00605636 0.00153391 0.0562271 0.00949892 0.0849886 0.010581 0.0430122 0.00750324 0.00263255 0.00413764 -8.07585e-05 0.00228605 -0.00027801 0.00100895 0.00034957 0.000316765 0.000824395 0.000563258 0.00152464 0.00117228 0.00123826 0.00108658 0.00134768 0.000466919 0.131865 0.0194623 0.00755832 0.00442555 0.316911 0.0249828 0.536941 0.030474
