pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se
ala_at 0.0305768 0.0097924 0.0195239 0.00380037 0.00527331 0.00153186 0.00138272 0.000522091 0.0034256 0.000766101 0.0264497 0.00383111 0.0593283 0.00900741 0.0249103 0.00401851 5.47078e-06 0.00384856 0.00205686 0.00233735 0.000326006 0.000836762 0.000198631 0.000271958 0.000126349 0.00061907 -0.00164299 0.000903969 0.000145504 0.00103414 0.00190617 0.000544184 -0.026763 0.00366026 0.003122 0.00365074 0.170871 0.014475
albumin 0.0422323 0.00799411 0.0233603 0.00434109 0.00778635 0.00180367 0.00132061 0.000504193 0.00542933 0.00111311 0.0355824 0.00518263 0.0625574 0.00456469 0.0245411 0.00261005 0.00200434 0.00448186 0.00136773 0.00279672 -0.00118581 0.00105846 0.000335656 0.000358012 0.000370382 0.000692499 -0.000458715 0.00123561 9.5848e-05 0.00139499 0.000169287 0.000575352 0.0207453 0.00468932 0.00269872 0.0047052 0.20281 0.0174983
alcohol_freq 0.0182971 0.00393357 0.0179742 0.00311984 0.0060433 0.00115199 0.000329501 0.000364299 0.00220602 0.000598729 0.0180974 0.00171609 0.0364942 0.00211193 0.0176056 0.00232449 -0.00339645 0.00406858 0.00376888 0.0027508 0.000831143 0.00100549 0.000411448 0.00029779 -0.000576793 0.000530863 -0.000143334 0.000999609 -0.000581417 0.00106086 0.00039777 0.000588951 0.0258975 0.00419441 0.000711244 0.0041926 0.117047 0.00588624
alka_phos 0.0881641 0.0342511 0.0280396 0.0146864 0.0123633 0.00696713 0.00152934 0.00129319 0.0106175 0.00539099 0.0596171 0.0128379 0.151219 0.0551485 0.0487508 0.0109066 0.00548869 0.00375761 -0.0026725 0.00222769 -0.000345002 0.000899582 0.000347122 0.000290421 0.00118243 0.000561976 0.00233304 0.00118477 0.00207019 0.00125852 0.00109239 0.000552787 -0.00499146 0.0042929 0.00949636 0.00428836 0.400301 0.0756488
apo_a 0.0477263 0.0080081 0.0373498 0.00693323 0.00819615 0.00209529 0.00293939 0.00154896 0.0169586 0.0114624 0.0732449 0.0254952 0.10092 0.0178284 0.0380746 0.00502926 -0.00115116 0.00434809 0.00304478 0.00267607 -0.000277675 0.00101349 0.000286422 0.000359599 0.000135222 0.000630357 0.000395527 0.00130021 0.00155836 0.00115119 0.000676121 0.000605311 0.0131939 0.00466339 0.00466759 0.00467326 0.325409 0.0432233
asp_at 0.030082 0.00427611 0.0223333 0.00382145 0.00502001 0.00147477 0.00206146 0.0004914 0.00401045 0.000954151 0.035276 0.00854462 0.0701459 0.00956351 0.0253868 0.00385852 0.00633752 0.00422878 -0.0012752 0.0027021 -0.000712062 0.000776851 0.000245408 0.000244255 3.51046e-06 0.00059053 -0.00220005 0.00107111 0.0002758 0.00108505 0.00116228 0.000628146 0.00395386 0.00437072 0.00383721 0.00435647 0.194316 0.0169791
basal_metabolic 0.0659372 0.00733296 0.0601907 0.00475046 0.0140781 0.00204844 0.0035095 0.000659732 0.00673112 0.00129213 0.0615455 0.00482511 0.126313 0.00651404 0.0607599 0.0083447 0.00335423 0.00399115 -0.00201246 0.00253404 0.00041852 0.00100355 0.000199698 0.000285355 0.000772565 0.000622515 -0.000322093 0.00110718 0.000526266 0.0010959 0.00041556 0.000581363 0.0132509 0.00398573 0.00335229 0.00398103 0.399065 0.0152272
blood_eosinophil 0.0354347 0.00621485 0.0374841 0.00631298 0.00892361 0.00208888 0.00125208 0.000688341 0.00902233 0.00223851 0.0502813 0.00719985 0.0890517 0.0069047 0.0442138 0.00735832 -0.00435641 0.00405526 0.00551656 0.0023062 -0.000145356 0.000982299 -7.13194e-06 0.000313546 -0.000576324 0.000490426 -0.000788124 0.0010946 0.000710794 0.00111274 -0.00021701 0.000452733 0.000208812 0.00400485 0.000136999 0.0039877 0.275664 0.0186785
blood_lymphocyte 0.0495432 0.00550316 0.0328964 0.00472822 0.00923391 0.00194881 0.00225068 0.000888034 0.00710048 0.00217759 0.0508319 0.00935992 0.0819638 0.00555684 0.0421073 0.00526734 -0.00302833 0.00492092 0.000641647 0.00254253 -0.000678414 0.000988259 0.000813962 0.000250925 0.000254169 0.000640543 0.000793464 0.00125548 -0.000223659 0.0011436 0.000430259 0.000505805 0.0198824 0.00470313 -0.000996896 0.0046802 0.275928 0.0187119
blood_mch 0.0521526 0.00912383 0.0445072 0.00988961 0.00755227 0.00231155 0.00242792 0.00115789 0.00591925 0.00215628 0.0625874 0.0170546 0.112029 0.0177035 0.0461692 0.00729964 -0.00155902 0.00426413 -0.00173151 0.00254188 0.000622355 0.000883519 -0.000257857 0.000291674 0.000203839 0.000525475 -0.000387126 0.00119477 -0.00154738 0.00105915 0.000679738 0.000559767 0.00818448 0.00467704 -0.00397696 0.00468821 0.333345 0.0366765
