pheno  h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se h2t h2t.se
ala_at 0.0265486 0.00182975 0.00417335 0.00179864 0.148742 0.0161736 0.179464 0.0162055
albumin 0.00229663 0.00205406 0.00297267 0.00203639 0.156395 0.0104339 0.161664 0.0104123
alcohol_freq 0.034848 0.00195366 0.0123335 0.00192244 0.104101 0.00566068 0.151282 0.00563947
alka_phos -0.00241391 0.00161256 0.00543922 0.00158586 0.321296 0.0572936 0.324321 0.0571857
apo_a 0.0453761 0.00269028 -0.000791553 0.00265149 0.238244 0.030889 0.282829 0.0309686
asp_at 0.0421893 0.00208008 0.00662742 0.00202799 0.168259 0.0149702 0.217076 0.0149512
basal_metabolic 0.0254498 0.00214762 0.0126323 0.00207745 0.355475 0.0189336 0.393558 0.0188693
blood_eosinophil -0.0104488 0.00187273 0.00169182 0.0018346 0.238007 0.0263162 0.22925 0.0262991
blood_lymphocyte 0.0260275 0.00191488 0.00621224 0.00188315 0.226701 0.023735 0.258941 0.0237783
blood_mch 0.0304743 0.00189047 0.00599114 0.00185063 0.280903 0.0321855 0.317368 0.0321579
blood_monocyte 0.0359324 0.00182451 0.00424541 0.00180738 0.234498 0.0336197 0.274676 0.0336802
blood_mpv 0.00699911 0.00187684 -0.00162942 0.00193106 0.406765 0.0514579 0.412135 0.0513842
blood_mscv 0.0357669 0.00241514 0.00865089 0.0023458 0.236565 0.0277608 0.280982 0.0277287
blood_platelet_distrib_width 0.0147299 0.00185215 0.00248144 0.00174019 0.292243 0.03405 0.309454 0.0339968
blood_platelet 0.027468 0.00195004 0.00206936 0.00194672 0.320897 0.025869 0.350434 0.0258743
blood_rbc_count 0.0384066 0.00214898 0.00210044 0.00205666 0.266968 0.0228459 0.307475 0.0227673
blood_rbc_distrib_width -0.00565996 0.00180511 0.00656159 0.00175372 0.237497 0.022395 0.238399 0.0223997
blood_reticulocyte -0.00952343 0.00163236 0.00122217 0.00159153 0.271771 0.0311882 0.26347 0.0311377
blood_wbc_count 0.0304005 0.00294663 0.0162253 0.00285626 0.228481 0.021268 0.275106 0.0212079
bmd_heel_tscore 0.0385732 0.00510938 -0.00829321 0.00512656 0.35484 0.043894 0.38512 0.0439566
bmi 0.0166958 0.00262877 0.0182663 0.00258361 0.301583 0.0227184 0.336545 0.022712
bp_diastolic 0.00969298 0.00204495 0.00620799 0.00201132 0.177354 0.00922874 0.193255 0.0092449
bp_systolic 0.00503804 0.001866 0.0064943 0.00185306 0.183651 0.010492 0.195183 0.0105056
calcium 0.00662828 0.0017815 0.000289886 0.00177837 0.160887 0.020621 0.167805 0.0205832
cholesterol 0.0136999 0.00170331 0.000990713 0.00170684 0.144299 0.0194269 0.158989 0.0194202
corneal_hysteresis 0.0103676 0.00852683 0.00191939 0.00848308 0.287613 0.0262778 0.299899 0.0263131
c_reactive_prot 0.00329475 0.0018849 0.00352929 0.00188043 0.213564 0.0379167 0.220388 0.0379691
creatinine 0.026004 0.00203362 0.00181972 0.00200943 0.242056 0.0195809 0.26988 0.019563
creatinine_urine 0.0286301 0.00178264 0.00306437 0.00178143 0.0733657 0.00487021 0.10506 0.0048775
cystatin_c 0.0055304 0.00194739 0.00485067 0.00185387 0.359723 0.12003 0.370104 0.120019
fev1_fvc 0.0177639 0.00258676 0.011513 0.00254233 0.223926 0.0166431 0.253203 0.0166175
fvc 0.0318553 0.00181321 0.00359787 0.0018087 0.279339 0.0167303 0.314792 0.0167093
ggt -0.012622 0.00191025 0.0060464 0.00187405 0.2421 0.0281513 0.235524 0.0282441
glucose 0.0221698 0.00196582 -0.00334074 0.00196716 0.088817 0.00862232 0.107646 0.00864202
hair_color 0.0112922 0.00178052 0.00421727 0.00174131 0.208401 0.0553239 0.22391 0.0553996
hba1c -0.0207677 0.00187965 0.00576823 0.00183951 0.263048 0.0313798 0.248048 0.0313904
hdl 0.0408094 0.00211409 0.000160488 0.002163 0.306519 0.0428287 0.347489 0.0428949
height 0.0051473 0.00168103 0.00133549 0.00163835 0.557889 0.0627045 0.564372 0.0628584
igf1 0.00845173 0.00183454 -0.000194199 0.00179991 0.29532 0.0205439 0.303578 0.0205163
ldl 0.018205 0.00177224 -0.000450139 0.00176159 0.127762 0.0223015 0.145516 0.0222685
microalbumin 0.0126503 0.00513442 -0.00201978 0.00512845 0.0398777 0.00700115 0.0505083 0.00700086
overall_health 0.0378514 0.00183921 0.00841273 0.00180447 0.11987 0.00520622 0.166134 0.00518781
phosphate 0.0191208 0.00199633 -0.00228367 0.0020083 0.129834 0.0122116 0.146671 0.0122004
potassium 0.0352685 0.00215555 0.00284601 0.00215141 0.0478312 0.00412902 0.0859457 0.00413675
shbg -0.00537256 0.00194921 0.00230778 0.00189887 0.281382 0.0496973 0.278317 0.0496492
sodium 0.023706 0.00171457 0.000912123 0.00172376 0.085089 0.00615532 0.109707 0.00617623
testosterone 0.0188282 0.00190992 0.00281718 0.00187286 0.093041 0.0131743 0.114686 0.0132001
triglycerides 0.0228928 0.00174368 -0.000912712 0.00167981 0.246985 0.0343568 0.268965 0.0343116
urate 0.00960628 0.00232432 0.00673127 0.00216365 0.386062 0.190201 0.4024 0.190003
urea 0.0534951 0.00180976 0.00284374 0.0018011 0.143682 0.00976716 0.200021 0.00975351
vitamin_d 0.0475874 0.00187205 0.00413613 0.0018644 0.115112 0.0230233 0.166836 0.0230185
whr -0.000319746 0.00157066 0.00162917 0.00156139 0.188723 0.0129053 0.190033 0.0129121
