pheno g g.se gxe gxe.se e e.se
ala_at 0.185506 0.0113837 0.00693756 0.00134514 0.698 0.0117233
albumin 0.191857 0.0127218 0.00324326 0.0012424 0.759229 0.0128213
alcohol_freq 0.24727 0.0095762 -0.0126737 0.00249944 1.90404 0.00983711
alka_phos 0.45837 0.117716 0.00465596 0.00122686 0.470872 0.117839
apo_a 0.355031 0.062918 -0.00584302 0.00118811 0.533565 0.062996
asp_at 0.204989 0.0189028 0.00386905 0.00132141 0.704394 0.0187439
basal_metabolic 0.263035 0.00821979 -0.0148815 0.000647639 0.338927 0.0082611
blood_eosinophil 0.287712 0.021789 0.00951777 0.00134077 0.669091 0.0217146
blood_lymphocyte 0.283624 0.0171004 -0.00149906 0.00126072 0.705091 0.0170807
blood_mch 0.375913 0.0569753 0.0111907 0.00129257 0.592936 0.0572529
blood_monocyte 0.305403 0.0277104 0.00368327 0.00116143 0.636659 0.0279735
blood_mpv 0.558066 0.0655497 0.000117712 0.00168331 0.43925 0.0654996
blood_mscv 0.31393 0.0297518 0.00617614 0.00121589 0.667737 0.029874
blood_platelet 0.396798 0.0315357 0.00336297 0.00136888 0.548006 0.0316834
blood_platelet_distrib_width 0.374016 0.0396795 0.0046004 0.00142036 0.602207 0.0398178
blood_rbc_count 0.294937 0.0318961 -0.00426974 0.00104823 0.508605 0.0320985
blood_rbc_distrib_width 0.302874 0.0257326 0.0135483 0.00134002 0.668178 0.0257026
blood_reticulocyte 0.324966 0.0303393 0.0024925 0.00111241 0.654506 0.0304098
blood_wbc_count 0.283911 0.0233151 0.00508823 0.00112244 0.703129 0.0235494
bmd_heel_tscore 0.422326 0.0427464 -0.00868282 0.0021648 0.522528 0.0426954
bmi 0.330521 0.0135131 0.00319804 0.0012612 0.649066 0.0136281
bp_diastolic 0.194237 0.0066971 0.0149372 0.00133342 0.762861 0.00699323
bp_systolic 0.182801 0.00692635 -0.0114103 0.00116315 0.696602 0.0071699
calcium 0.186004 0.0221987 0.000421781 0.00138562 0.785743 0.0220057
cholesterol 0.228902 0.0613624 0.00507804 0.00205443 0.697478 0.0628014
corneal_hysteresis 0.334327 0.0247838 -0.00432929 0.00274533 0.641776 0.0250017
c_reactive_prot 0.389945 0.107576 0.0109101 0.00123945 0.579571 0.107234
creatinine 0.247617 0.0101153 -0.00901049 0.00103639 0.501513 0.0104301
creatinine_urine 0.0907272 0.00282099 0.0088704 0.00122796 0.815215 0.00319427
cystatin_c 0.30811 0.0619007 -0.00254441 0.00117372 0.521216 0.0618288
fev1_fvc 0.257142 0.0154668 0.00707192 0.00115354 0.683277 0.0157657
fvc 0.22402 0.0068643 -0.011499 0.000809644 0.41 0.00685764
ggt 0.295085 0.0338124 -0.000458754 0.00112938 0.592806 0.033827
glucose 0.110423 0.011464 -0.00379233 0.00140161 0.86557 0.0116033
hair_color 0.353906 0.114953 -0.00122236 0.00127976 0.733802 0.114874
hba1c 0.305066 0.0242544 -0.000726164 0.00114318 0.605217 0.0245392
hdl 0.419315 0.0923356 -0.0109845 0.00128236 0.459951 0.0921564
height 0.415665 0.0165528 -0.011086 0.000723824 0.222853 0.0166709
igf1 0.320346 0.0188882 -0.00341755 0.00133708 0.609023 0.0188636
ldl 0.240191 0.0922333 0.00706313 0.00220862 0.70641 0.0938422
microalbumin 0.0504322 0.00702587 -0.000225819 0.00254052 0.930067 0.00731463
overall_health 0.069417 0.0020852 -0.00103794 0.000637625 0.453978 0.00219718
phosphate 0.160394 0.0131863 0.00240577 0.00138169 0.786919 0.0134019
potassium 0.0558974 0.00218017 0.012183 0.0013397 0.916109 0.00250442
shbg 0.339671 0.0693441 -0.00234533 0.00136653 0.511428 0.069281
sodium 0.0991806 0.00385835 0.0129768 0.0010842 0.833865 0.00417666
testosterone 0.138831 0.0072363 -0.0184163 0.000609701 0.423337 0.00725037
triglycerides 0.336435 0.0553335 0.0125588 0.00153829 0.589257 0.0553022
urate 0.31674 0.109125 -0.00894818 0.000960027 0.479706 0.109042
urea 0.15376 0.0093547 0.00277125 0.00123226 0.752261 0.0095949
vitamin_d 0.134046 0.0267397 0.00667565 0.0012483 0.845914 0.0269956
whr 0.197207 0.00488056 -0.0111109 0.000797825 0.501246 0.00490175
