pheno g g.se gxe gxe.se e e.se nxe nxe.se
ala_at 0.185504 0.0109298 0.0068902 0.00186257 0.701917 0.0108677 -0.00390375 0.00188223
albumin 0.191794 0.0124271 0.0025114 0.0019295 0.759302 0.0123638 0.000727797 0.00197692
alcohol_freq 0.112923 0.00423538 0.000953127 0.001706 0.876984 0.00421227 -0.023797 0.00172375
alka_phos 0.45414 0.11548 0.00775487 0.0016384 0.48792 0.11471 -0.0159354 0.00205236
apo_a 0.351907 0.061622 0.000354353 0.00187781 0.554145 0.0611643 -0.0235431 0.00210471
asp_at 0.20453 0.0183471 0.00350486 0.00183139 0.708062 0.0181833 -0.00278773 0.00187429
basal_metabolic 0.261758 0.00773531 0.0043109 0.00098398 0.384931 0.00766704 -0.0639482 0.00112094
blood_eosinophil 0.293355 0.0219112 0.0024564 0.00195614 0.676869 0.0217905 0.0190471 0.00204316
blood_lymphocyte 0.281956 0.0167956 0.00158161 0.00167315 0.718839 0.0166063 -0.014663 0.00178473
blood_mch 0.372643 0.0559052 0.00404159 0.0018154 0.586229 0.0555615 0.0171766 0.00199793
blood_monocyte 0.305159 0.0270683 0.00306521 0.00150462 0.645294 0.0268141 -0.00217333 0.00168468
blood_mpv 0.551789 0.0639641 0.0014749 0.00231294 0.45522 0.0635668 -0.0108814 0.00243949
blood_mscv 0.312175 0.0291338 0.00431468 0.00166009 0.670295 0.0289783 0.00104711 0.00176971
blood_platelet 0.395877 0.0308535 0.00361339 0.00187168 0.552139 0.030698 -0.00352884 0.002033
blood_platelet_distrib_width 0.370855 0.0384739 0.00356195 0.00192601 0.609234 0.0382538 -0.00221613 0.00205512
blood_rbc_count 0.295246 0.0313721 0.00555211 0.00144612 0.533095 0.0311705 -0.0346581 0.00163334
blood_rbc_distrib_width 0.302911 0.0255959 0.00463179 0.00195727 0.653522 0.0254454 0.0237769 0.00194153
blood_reticulocyte 0.326765 0.0295332 0.00248898 0.0015813 0.65983 0.0293115 -0.00246751 0.00161201
blood_wbc_count 0.284207 0.022785 0.00140984 0.00160889 0.697453 0.0226595 0.00909242 0.00174661
bmd_heel_tscore 0.421736 0.0420459 0.00548928 0.00524425 0.534804 0.0418007 -0.0257419 0.00544238
bmi 0.330669 0.0129991 0.00714589 0.00176884 0.659619 0.0128956 -0.0147237 0.00181305
bp_diastolic 0.19415 0.00591191 0.0192148 0.00199649 0.774484 0.00587972 -0.0155486 0.00201554
bp_systolic 0.182926 0.00688297 0.00771254 0.00155943 0.739095 0.00683657 -0.0616334 0.00156989
calcium 0.188109 0.0218858 0.00426619 0.00209864 0.793022 0.0217364 -0.013215 0.00211914
cholesterol 0.230312 0.060766 0.0221919 0.00297979 0.734491 0.0603631 -0.0556883 0.00332331
corneal_hysteresis 0.341781 0.0245003 0.00547467 0.00826109 0.639867 0.0243978 -0.0152514 0.0082991
c_reactive_prot 0.390311 0.106729 0.00529592 0.00177864 0.570257 0.106022 0.0148428 0.00190094
creatinine 0.248467 0.0100083 0.00397083 0.00152945 0.529924 0.00995423 -0.0422594 0.00159609
creatinine_urine 0.0929732 0.00268933 0.0051264 0.00167439 0.806585 0.00267941 0.0100991 0.00168418
cystatin_c 0.308355 0.0612623 0.00786354 0.00157345 0.544737 0.0608411 -0.034239 0.00165358
fev1_fvc 0.258374 0.0149939 0.00412037 0.00170059 0.677615 0.0149186 0.00767324 0.00184858
fvc 0.225012 0.00668882 0.00291905 0.00114038 0.439345 0.00668693 -0.0446542 0.00117406
ggt 0.296232 0.0333906 0.00620206 0.0015614 0.607704 0.0331742 -0.0227354 0.00165899
glucose 0.112993 0.0113301 0.000259073 0.00201831 0.872206 0.0112401 -0.0132302 0.00206456
hair_color 0.31451 0.101222 -0.00205283 0.00163538 0.652153 0.100535 0.000983542 0.00186655
hba1c 0.304515 0.023653 0.00588657 0.00186627 0.62296 0.0235111 -0.023747 0.00204505
hdl 0.420229 0.0920362 0.00138862 0.00187754 0.485962 0.0913436 -0.0392776 0.00213336
height 0.410262 0.0164842 0.00129318 0.00106049 0.261188 0.0164421 -0.0440682 0.00124378
igf1 0.321127 0.0183638 0.00505777 0.00190723 0.62718 0.0182348 -0.0274155 0.00200649
ldl 0.243199 0.0923 0.0238029 0.00321714 0.73972 0.0917053 -0.0531799 0.00371083
microalbumin 0.0586269 0.00685465 0.00221856 0.00600208 0.9357 0.00679537 -0.00560293 0.00604022
overall_health 0.125478 0.00376011 0.00247967 0.00163291 0.829371 0.00375802 -0.0182626 0.00164847
phosphate 0.16098 0.0128138 -0.00149016 0.00203241 0.780766 0.0127183 0.0095145 0.00209761
potassium 0.0571535 0.00217775 0.00592435 0.00195681 0.900536 0.00215752 0.0205897 0.0019631
shbg 0.339141 0.0682682 0.00587587 0.00200227 0.529698 0.0677963 -0.0260756 0.00217664
sodium 0.0996394 0.00343859 0.00597769 0.00168984 0.820725 0.00339905 0.0197171 0.00170424
testosterone 0.140236 0.00705552 0.00259217 0.000910312 0.463406 0.00702039 -0.0618764 0.000929408
triglycerides 0.333576 0.0539476 0.00781984 0.00213588 0.587353 0.053599 0.00945056 0.00230945
urate 0.315274 0.107543 0.00285756 0.00134607 0.5084 0.106855 -0.0390438 0.00148451
urea 0.153808 0.00908491 0.0063285 0.00173649 0.760892 0.0090123 -0.0122517 0.00176962
vitamin_d 0.136312 0.026582 0.00430941 0.0018649 0.83757 0.0264294 0.00850864 0.00193607
whr 0.197721 0.00481334 0.00199689 0.00109267 0.532748 0.004787 -0.0450417 0.00109751
