pheno g g.se gxe gxe.se e e.se
ala_at 0.16494 0.0113274 0.0102867 0.00181737 0.685999 0.0116565
albumin 0.191411 0.0125364 0.00475106 0.00193706 0.75652 0.0127719
alcohol_freq 0.236974 0.0103248 0.0340111 0.00352425 1.852 0.0110336
alka_phos 0.454744 0.117566 0.0114641 0.00242178 0.471164 0.115918
apo_a 0.322732 0.0621368 0.00708451 0.00201948 0.510622 0.0622434
asp_at 0.196752 0.0190861 0.0083128 0.00191659 0.693469 0.019208
basal_metabolic 0.171135 0.00709371 0.00584194 0.000825024 0.242977 0.00709491
blood_eosinophil 0.285034 0.0215182 0.00366772 0.00187998 0.675227 0.0214099
blood_lymphocyte 0.282455 0.0172718 0.00627779 0.00201061 0.696315 0.017815
blood_mch 0.367731 0.0563553 0.00296906 0.00201709 0.606258 0.0562977
blood_monocyte 0.295105 0.0277091 0.00323099 0.0017693 0.631755 0.0279819
blood_mpv 0.555554 0.0648705 0.0050702 0.00219711 0.436831 0.0654694
blood_mscv 0.312004 0.0293959 0.00627445 0.00207217 0.669415 0.029845
blood_platelet_distrib_width 0.366093 0.0385183 0.00540682 0.00201064 0.604334 0.0386886
blood_platelet 0.387293 0.0314452 0.00685694 0.00154668 0.539742 0.031732
blood_rbc_count 0.252973 0.0308352 0.00616254 0.00142933 0.464867 0.0308591
blood_rbc_distrib_width 0.303926 0.0258123 0.0162767 0.00242561 0.664051 0.0266343
blood_reticulocyte 0.323258 0.0300564 0.00640078 0.00207388 0.646705 0.0305058
blood_wbc_count 0.285015 0.0232782 0.00961452 0.00206262 0.698037 0.0232424
bmd_heel_tscore 0.407745 0.0420307 0.0042703 0.00571249 0.508123 0.0440259
bmi 0.330506 0.0135385 0.0307937 0.00220233 0.61659 0.0144054
bp_diastolic 0.18389 0.00624876 0.0149592 0.00208275 0.76655 0.00723925
bp_systolic 0.176909 0.00688525 0.0198448 0.00179728 0.666007 0.00783499
calcium 0.185371 0.0222217 0.00631829 0.00197385 0.777822 0.0225188
cholesterol 0.223931 0.0608832 0.0104609 0.00419768 0.701544 0.0647225
corneal_hysteresis 0.337311 0.0249925 -0.00816918 0.0085509 0.639806 0.0256155
c_reactive_prot 0.387197 0.106459 0.022023 0.00385842 0.570962 0.10598
creatinine 0.191756 0.0102625 0.0188197 0.00160868 0.43257 0.0106945
creatinine_urine 0.068023 0.00313975 0.0103351 0.00165835 0.797221 0.00355473
cystatin_c 0.302447 0.0626079 0.014736 0.00216702 0.499011 0.0639079
fev1_fvc 0.257058 0.0154078 -0.0023904 0.00174698 0.6919 0.0152438
fvc 0.164588 0.00605649 -0.00299656 0.000914004 0.345418 0.00616659
ggt 0.275521 0.0340393 0.0244891 0.00216803 0.552017 0.0352167
glucose 0.111784 0.011505 -0.00486168 0.00156801 0.865666 0.0115376
hair_color 0.347165 0.113592 0.00112175 0.00208284 0.731152 0.114526
hba1c 0.302348 0.0242686 -0.00847257 0.00151112 0.619902 0.023897
hdl 0.393687 0.0940773 0.0119701 0.00222985 0.41062 0.0939108
height 0.341041 0.0161742 0.00432238 0.0011249 0.143283 0.0162291
igf1 0.320267 0.0188455 0.0192542 0.00219564 0.588491 0.0195318
ldl 0.239325 0.0923457 0.018562 0.00647985 0.704249 0.0984944
microalbumin 0.0484723 0.00694182 -0.00740828 0.00567745 0.938448 0.00891392
overall_health 0.0688442 0.00204518 0.00190169 0.000957857 0.450907 0.0021753
phosphate 0.148331 0.0129932 0.00122434 0.00183271 0.78234 0.0127874
potassium 0.0508665 0.0021859 0.00638047 0.00161984 0.918969 0.00236321
shbg 0.311253 0.0687076 0.0301789 0.00229772 0.458163 0.0689763
sodium 0.0877489 0.00351011 0.0050806 0.00175595 0.832339 0.00389902
testosterone 0.0437544 0.00710443 0.037212 0.00334588 0.282482 0.0101223
triglycerides 0.327185 0.0552877 0.00461294 0.00190583 0.595508 0.0548982
urate 0.271823 0.108905 0.0354496 0.0235089 0.401943 0.132527
urea 0.153241 0.00932274 0.00454101 0.00172861 0.749411 0.00956461
vitamin_d 0.135554 0.027139 0.00545629 0.00193653 0.845265 0.0270717
whr 0.125006 0.00420268 0.0272018 0.00225842 0.410228 0.0056797
