pheno g g.se gxe gxe.se e e.se nxe nxe.se
ala_at 0.16521 0.0116298 0.00847891 0.00168753 0.981533 0.0178799 -0.292844 0.0113471
albumin 0.190363 0.0125301 0.00367748 0.00200164 0.928055 0.0199681 -0.169129 0.0128469
alcohol_freq 0.108198 0.00439364 0.00824261 0.00162172 1.37055 0.00743181 -0.527102 0.00644045
alka_phos 0.453185 0.117224 0.0128193 0.00195956 0.826242 0.124291 -0.352678 0.0309783
apo_a 0.327333 0.0629216 0.0126633 0.00233947 0.487144 0.0700155 0.0134868 0.021967
asp_at 0.195291 0.0191804 0.00895248 0.00192226 0.784645 0.0237235 -0.0893447 0.0117496
basal_metabolic 0.170643 0.00714276 0.00428581 0.00072617 0.417838 0.0124425 -0.172882 0.00999973
blood_eosinophil 0.291852 0.0225764 0.00625642 0.00188902 0.517638 0.0327056 0.173538 0.0200437
blood_lymphocyte 0.281156 0.0174166 0.00638009 0.0019807 0.564249 0.0273953 0.133954 0.0194245
blood_mch 0.374719 0.0572261 0.00177197 0.00198471 0.796853 0.0672237 -0.196191 0.0235941
blood_monocyte 0.29605 0.0282366 0.00659327 0.00171828 0.45674 0.0376684 0.176308 0.0206362
blood_mpv 0.554646 0.0655962 0.00474144 0.0021262 0.414057 0.0755466 0.0243193 0.0333467
blood_mscv 0.311171 0.0300265 0.00640319 0.0019234 0.711703 0.0373429 -0.0414126 0.0194122
blood_platelet_distrib_width 0.370506 0.0389446 0.0026842 0.00177795 0.814194 0.049337 -0.210402 0.0287104
blood_platelet 0.389943 0.0315229 0.00635295 0.00154773 0.604285 0.0412579 -0.0664751 0.0235169
blood_rbc_count 0.252428 0.0313339 0.0103382 0.00137549 0.114096 0.0379992 0.347291 0.0172999
blood_rbc_distrib_width 0.302834 0.0261015 0.00673711 0.0020114 1.41305 0.0348066 -0.737769 0.0210246
blood_reticulocyte 0.323731 0.0304181 0.00797734 0.00185458 0.620488 0.0380496 0.0289197 0.0221187
blood_wbc_count 0.283985 0.0234341 0.0100398 0.00196581 0.702288 0.0311824 -0.00313475 0.019377
bmd_heel_tscore 0.411745 0.0422213 0.00946496 0.00556511 0.12962 0.0546604 0.369293 0.0293026
bmi 0.325654 0.0146246 0.0105455 0.00197748 2.1023 0.0269686 -1.46042 0.0212197
bp_diastolic 0.186334 0.00620163 0.00910939 0.00200573 0.949021 0.0154497 -0.178169 0.0142804
bp_systolic 0.179056 0.00697655 0.00811091 0.0015692 1.3619 0.0148522 -0.685112 0.0134597
calcium 0.186256 0.022412 0.00479091 0.00199957 1.13941 0.0275387 -0.359411 0.0124964
cholesterol 0.226841 0.061456 0.0125275 0.00250212 0.336084 0.0629296 0.361698 0.0147882
corneal_hysteresis 0.333132 0.0248004 -0.00363711 0.00882391 0.431469 0.0358442 0.207905 0.024621
c_reactive_prot 0.392102 0.107554 0.0132176 0.00252518 1.11673 0.113014 -0.540433 0.0258441
creatinine 0.194104 0.0100688 0.0122162 0.00149973 0.870163 0.0165716 -0.43253 0.0131596
creatinine_urine 0.0696196 0.00257471 0.00599162 0.0018029 1.24342 0.00558128 -0.442511 0.0047344
cystatin_c 0.302748 0.0627813 0.00574615 0.00164838 1.08806 0.0705463 -0.579122 0.0206827
fev1_fvc 0.257625 0.0151424 0.00514377 0.00188618 0.406511 0.0223271 0.277545 0.0175827
fvc 0.163788 0.00635677 0.00272403 0.00101505 -0.0778887 0.0143735 0.418257 0.0113655
ggt 0.275196 0.0339698 0.0116566 0.00181624 1.53788 0.0414333 -0.970498 0.018985
glucose 0.111824 0.0114288 0.00256554 0.00173447 0.252174 0.0137706 0.604711 0.0076516
hair_color 0.312995 0.102257 0.00235883 0.00179992 0.344963 0.106268 0.298889 0.0217983
hba1c 0.305625 0.0239244 0.00454186 0.00163696 -0.108985 0.0302042 0.712453 0.021208
hdl 0.393276 0.0941829 0.0140595 0.0021763 0.355554 0.103 0.0535103 0.0259552
height 0.342377 0.0161767 0.0038618 0.000892487 0.191502 0.0298804 -0.0479766 0.0236572
igf1 0.3218 0.0187036 0.019729 0.002137 0.910702 0.0305364 -0.322948 0.0216016
ldl 0.242695 0.0933386 0.0160565 0.00346352 0.545799 0.0963502 0.158975 0.0159573
microalbumin 0.0501886 0.00756588 0.00880965 0.00617517 0.351944 0.00985847 0.57027 0.00686621
overall_health 0.123331 0.00386347 0.00463002 0.00187664 0.484574 0.010418 0.325011 0.00892738
phosphate 0.14978 0.0132519 0.00918075 0.00191854 0.351166 0.0184573 0.421378 0.0101746
potassium 0.0511448 0.00217681 0.00437575 0.00177281 1.3423 0.00424751 -0.420813 0.00404781
shbg 0.309772 0.0685425 0.0201587 0.00239372 1.87474 0.0773205 -1.39995 0.0235598
sodium 0.0877071 0.00363443 0.00298824 0.00171594 0.918143 0.00725583 -0.0834206 0.00624759
testosterone 0.0433329 0.00705042 0.0427696 0.00437726 0.264024 0.00757824 0.0128513 0.00561778
triglycerides 0.32616 0.0553605 0.0115002 0.00209982 0.0372958 0.0651977 0.552866 0.0229017
urate 0.27096 0.108721 0.0212799 0.0145383 0.682837 0.115564 -0.265192 0.0205627
urea 0.151121 0.00960405 0.00770161 0.00171337 0.607086 0.0160685 0.141881 0.0105604
vitamin_d 0.134208 0.026855 0.00574261 0.00182561 0.923876 0.0291127 -0.0772115 0.00970995
whr 0.125758 0.00432677 0.0209638 0.00200742 0.84726 0.0103715 -0.430814 0.00930554
