pheno g g.se gxe gxe.se e e.se nxe nxe.se
ala_at 0.165664 0.0112651 0.00764107 0.0018911 0.388229 0.0158853 0.29457 0.0109909
albumin 0.18975 0.0124926 0.00270969 0.00192497 0.504489 0.0173258 0.252023 0.0127497
alcohol_freq 0.107906 0.00453047 0.0106435 0.00172954 0.267674 0.0094375 0.563145 0.00725345
alka_phos 0.457958 0.118324 0.00786761 0.00256519 0.0293868 0.133547 0.435072 0.0343468
apo_a 0.325366 0.0624992 0.00891071 0.00210437 0.580022 0.0695357 -0.0725816 0.0261298
asp_at 0.194897 0.0191272 0.0066892 0.00197234 0.601122 0.0239632 0.0942393 0.0129316
basal_metabolic 0.171195 0.0071113 0.00342799 0.000788364 0.045453 0.0148615 0.196212 0.0126713
blood_eosinophil 0.29362 0.0223316 0.00430318 0.00199272 0.792083 0.0304418 -0.099021 0.0190793
blood_lymphocyte 0.283913 0.0173597 0.00664204 0.00209213 0.841664 0.0282691 -0.143827 0.0203571
blood_mch 0.376147 0.0572756 0.00066145 0.00196031 0.376542 0.0665204 0.219676 0.0268203
blood_monocyte 0.29893 0.0278661 0.00381929 0.00190988 0.81798 0.0375635 -0.181621 0.0212969
blood_mpv 0.560238 0.0656234 0.0040143 0.00245492 0.45048 0.0811405 -0.0166252 0.0401055
blood_mscv 0.315262 0.0294726 0.00515021 0.00214043 0.639384 0.0366687 0.0275444 0.0214329
blood_platelet_distrib_width 0.373194 0.0392059 0.00362459 0.0020949 0.434989 0.049528 0.161761 0.0266896
blood_platelet 0.393936 0.0312358 0.00648431 0.00160789 0.465093 0.0435181 0.0673337 0.0278409
blood_rbc_count 0.254703 0.0312041 0.00901425 0.00131033 0.836995 0.0387157 -0.369746 0.0184775
blood_rbc_distrib_width 0.306913 0.0261583 0.00998421 0.00244664 -0.115738 0.0367355 0.769133 0.0222291
blood_reticulocyte 0.327159 0.0306377 0.0058766 0.00206377 0.680718 0.0413158 -0.0320201 0.0226802
blood_wbc_count 0.286945 0.0231129 0.00921589 0.00195794 0.704901 0.0314695 -0.00814697 0.0205322
bmd_heel_tscore 0.413519 0.0423715 0.0140303 0.00565822 0.980998 0.0486303 -0.479202 0.0292484
bmi 0.331663 0.0137611 0.0175761 0.00230858 -0.913118 0.0316788 1.51325 0.0241628
bp_diastolic 0.186458 0.00633905 0.0142152 0.00207883 0.618962 0.0158456 0.143622 0.0121504
bp_systolic 0.179548 0.00705605 0.0143004 0.0017313 0.0222437 0.0157163 0.635596 0.0121402
calcium 0.188498 0.0225283 0.00385456 0.00207083 0.485899 0.0309094 0.286231 0.0151396
cholesterol 0.228046 0.0621606 0.0141724 0.00439153 1.18391 0.0718559 -0.48102 0.0172284
corneal_hysteresis 0.341366 0.0251417 0.00221428 0.008351 0.739759 0.0383393 -0.112608 0.0247201
c_reactive_prot 0.395989 0.108817 0.016869 0.00385128 0.121923 0.123603 0.437548 0.0316975
creatinine 0.196048 0.00998769 0.0150058 0.00173314 0.0825846 0.0198532 0.343024 0.0150203
creatinine_urine 0.0704987 0.00244343 0.00689136 0.00176843 0.448147 0.00572059 0.343814 0.00547872
cystatin_c 0.305988 0.0631758 0.0092411 0.00203233 -0.00558319 0.0735573 0.497258 0.0233827
fev1_fvc 0.259279 0.0156027 -0.000217078 0.0018369 1.04278 0.0275966 -0.347963 0.0192164
fvc 0.164615 0.00618443 -0.000129123 0.000959587 0.795479 0.0133775 -0.444038 0.0117442
ggt 0.27863 0.034149 0.0160026 0.00225845 -0.305941 0.0432868 0.847285 0.0211286
glucose 0.111579 0.0115866 -4.07464e-05 0.00153633 1.54774 0.0152808 -0.674627 0.00850318
hair_color 0.314377 0.10277 0.0022607 0.00186054 0.935269 0.105289 -0.287308 0.0191213
hba1c 0.304251 0.0240045 -0.00321385 0.00149772 1.49045 0.0358652 -0.860922 0.0245332
hdl 0.392783 0.0939475 0.0117196 0.00227845 0.507267 0.105217 -0.0937747 0.0308839
height 0.342844 0.0161992 0.00420537 0.00110824 0.140105 0.03229 0.00248412 0.0267885
igf1 0.322391 0.0188095 0.0186391 0.00226625 0.387022 0.031648 0.196398 0.0249426
ldl 0.240747 0.092961 0.0217635 0.00662897 0.971441 0.0989902 -0.266869 0.0167037
microalbumin 0.0485266 0.00713307 0.00816476 0.00631111 1.51413 0.00784677 -0.579438 0.00727381
overall_health 0.122544 0.00372514 0.00471438 0.00180395 1.23118 0.00914355 -0.412872 0.00783035
phosphate 0.149661 0.0131339 0.00603822 0.00193816 1.28438 0.0172753 -0.499374 0.0123174
potassium 0.0516818 0.00211784 0.00539621 0.00184119 0.573843 0.00471215 0.339345 0.00393114
shbg 0.310493 0.0684188 0.0212498 0.00196792 -0.788275 0.0696821 1.23418 0.0256579
sodium 0.0875899 0.0036997 0.00331445 0.00176339 0.674646 0.007792 0.157023 0.00675074
testosterone 0.0436328 0.00713284 0.0396525 0.00336099 0.370489 0.0079026 -0.0897187 0.00380134
triglycerides 0.329 0.0556651 0.00782613 0.0018468 1.04067 0.067414 -0.44271 0.0238686
urate 0.271008 0.108514 0.0322985 0.0235162 0.172588 0.106271 0.229245 0.0326526
urea 0.150773 0.00924851 0.00520474 0.00163238 0.790568 0.0128 -0.0387031 0.00971474
vitamin_d 0.13354 0.026905 0.00404365 0.00187745 0.830346 0.0299999 0.0181511 0.0105239
whr 0.12412 0.00421826 0.0239237 0.00234561 0.0505286 0.0107162 0.357097 0.00965584
