pheno g g.se gxe gxe.se e e.se
ala_at 0.164368 0.011184 0.0127651 0.0011055 0.684585 0.0113438
albumin 0.187626 0.0124352 0.00267782 0.00105035 0.767036 0.0122729
alcohol_freq 0.213051 0.0096072 0.0436269 0.00286369 1.91143 0.0102674
alka_phos 0.450202 0.116767 0.00419828 0.00105047 0.479714 0.116554
apo_a 0.324168 0.0629249 0.0140095 0.00105736 0.503177 0.0626798
asp_at 0.19324 0.0192704 0.0201846 0.00114802 0.686497 0.0192052
basal_metabolic 0.168508 0.00690777 0.00987727 0.000533157 0.244992 0.00693126
blood_eosinophil 0.281517 0.0217052 -0.0041244 0.00111263 0.684318 0.0215217
blood_lymphocyte 0.272649 0.016985 0.0151136 0.0011515 0.676889 0.0169114
blood_mch 0.372047 0.0572321 0.0172272 0.00115257 0.575879 0.0571244
blood_monocyte 0.290067 0.0278756 0.0160811 0.00111358 0.620313 0.0281356
blood_mpv 0.554507 0.0653105 0.000185259 0.00114052 0.445664 0.0651741
blood_mscv 0.306422 0.0290807 0.0215793 0.00131415 0.646896 0.0291641
blood_platelet_distrib_width 0.368755 0.0388782 0.00659627 0.00108271 0.603513 0.038916
blood_platelet 0.3879 0.0307857 0.00874398 0.00101747 0.53938 0.0307746
blood_rbc_count 0.249482 0.0307566 0.0134276 0.000922842 0.464227 0.030667
blood_rbc_distrib_width 0.300298 0.0260881 0.00456513 0.00116288 0.681453 0.0260775
blood_reticulocyte 0.3191 0.0304649 -0.00202513 0.00101066 0.660291 0.0305817
blood_wbc_count 0.274858 0.0226729 0.0268718 0.00144351 0.659115 0.0227761
bmd_heel_tscore 0.406664 0.0417444 0.0163526 0.00168675 0.496066 0.0417294
bmi 0.323788 0.01375 0.0270662 0.00132626 0.629084 0.0138483
bp_diastolic 0.18364 0.00609858 0.00838768 0.00120313 0.770653 0.00635385
bp_systolic 0.177334 0.00707168 0.00725077 0.00091948 0.679996 0.00707884
calcium 0.182575 0.0222724 0.00247754 0.00119553 0.789266 0.0221639
cholesterol 0.224634 0.0612766 0.00558123 0.00102833 0.697339 0.0613723
corneal_hysteresis 0.327465 0.0253008 0.00786027 0.00232408 0.630865 0.0250658
c_reactive_prot 0.382814 0.107326 0.00435522 0.00115447 0.586273 0.107338
creatinine 0.190854 0.0101182 0.00637989 0.00071256 0.446858 0.0101617
creatinine_urine 0.0673879 0.00256432 0.00996601 0.0010468 0.80114 0.00286608
cystatin_c 0.297825 0.0623326 0.00563074 0.00102349 0.507735 0.0621054
fev1_fvc 0.249179 0.0163334 0.0171058 0.0013553 0.662352 0.016629
fvc 0.160536 0.00606453 0.00837553 0.00069665 0.339785 0.00618601
ggt 0.268235 0.0339495 0.000316556 0.00104962 0.577416 0.0341776
glucose 0.109819 0.0115499 0.00307133 0.00108885 0.862544 0.0117873
hair_color 0.337732 0.116228 -0.000379681 0.00134728 0.781351 0.116291
hba1c 0.302609 0.0245136 -0.00254878 0.00116068 0.603727 0.0245201
hdl 0.387655 0.0930213 0.011628 0.000983231 0.41729 0.0928448
height 0.340949 0.0161245 0.00122281 0.000581458 0.150109 0.0161005
igf1 0.316629 0.0186138 0.00439378 0.000976661 0.603054 0.0186824
ldl 0.242721 0.0939707 0.0078142 0.00110854 0.705302 0.0940806
microalbumin 0.0418007 0.00705217 0.00854552 0.00170719 0.930849 0.00712684
overall_health 0.0518723 0.00197805 0.00553756 0.00065567 0.479488 0.0021688
phosphate 0.146776 0.0130039 0.00870937 0.00122683 0.775054 0.0129596
potassium 0.0493024 0.00213828 0.016107 0.0013158 0.914342 0.00257793
shbg 0.311264 0.0687192 0.00169102 0.000966747 0.491418 0.0687901
sodium 0.0846773 0.00373936 0.0102853 0.0010816 0.832051 0.00400222
testosterone 0.0420074 0.0070706 0.00291645 0.000506581 0.321796 0.00710467
triglycerides 0.322467 0.0544446 0.00840381 0.000972882 0.591905 0.0543383
urate 0.268627 0.108493 0.00675318 0.000776701 0.437184 0.10855
urea 0.149678 0.00946042 0.021974 0.00104947 0.735258 0.00964375
vitamin_d 0.132362 0.0267787 0.0214059 0.0012753 0.833616 0.0265611
whr 0.120627 0.0042237 0.000817955 0.000576571 0.43711 0.00424164
