pheno g g.se gxe gxe.se nxe nxe.se e e.se
ala_at 0.167154 0.0112378 0.00526116 0.00184794 0.0190115 0.0019082 0.663696 0.0112009
albumin 0.189689 0.0123859 0.0015387 0.0019477 0.00251745 0.00196013 0.756687 0.0123733
alcohol_freq 0.109591 0.00437927 0.0135214 0.00218096 0.0305032 0.00218236 0.796015 0.00438628
alka_phos 0.451393 0.115519 0.00548432 0.00170814 -0.00428857 0.0017128 0.474576 0.11505
apo_a 0.323896 0.0618436 -0.00217202 0.00177154 0.0366263 0.00185198 0.47662 0.0615664
asp_at 0.19605 0.0187112 0.00461702 0.00172492 0.0380126 0.0017135 0.654256 0.018649
basal_metabolic 0.169156 0.00688799 0.00668299 0.000802256 0.00840269 0.000851214 0.234292 0.00688726
blood_eosinophil 0.289323 0.0220215 -0.000505952 0.00188917 -0.0105428 0.00192028 0.701889 0.0219316
blood_lymphocyte 0.273787 0.0172008 0.00767448 0.00181853 0.0201991 0.00184231 0.656717 0.0171918
blood_mch 0.369168 0.055793 0.00656418 0.00170981 0.0229969 0.00176831 0.559502 0.0555315
blood_monocyte 0.293152 0.0275737 0.00358489 0.00172656 0.0305357 0.00177481 0.597576 0.027519
blood_mpv 0.551011 0.0641416 -0.000552082 0.00161397 -0.00027914 0.00175283 0.443527 0.063845
blood_mscv 0.307733 0.0287599 0.0112415 0.00193976 0.0262053 0.00203874 0.622981 0.0286224
blood_platelet_distrib_width 0.368009 0.0383163 0.0020005 0.00162451 0.00938099 0.00173567 0.593259 0.0380979
blood_platelet 0.387375 0.0304578 -0.00032609 0.00160817 0.0240197 0.00167754 0.518233 0.0303461
blood_rbc_count 0.251295 0.0305653 0.00195307 0.00153677 0.0261526 0.00157061 0.441708 0.0304407
blood_rbc_distrib_width 0.301433 0.0252926 0.00901566 0.00180963 -0.0124615 0.00186063 0.681738 0.0251491
blood_reticulocyte 0.321581 0.0303435 0.00452684 0.00172192 -0.0179925 0.00175256 0.667247 0.0302632
blood_wbc_count 0.275776 0.0226299 0.0191376 0.0023646 0.0202553 0.00240353 0.639032 0.0225763
bmd_heel_tscore 0.415227 0.0420059 -0.00243256 0.00501098 0.0247181 0.00501062 0.475615 0.0418127
bmi 0.322472 0.0133089 0.0219609 0.00205358 0.00875615 0.0021052 0.619815 0.0132795
bp_diastolic 0.186719 0.00626459 0.00603143 0.00208517 0.00505766 0.00211543 0.758536 0.00626786
bp_systolic 0.178877 0.00706127 0.00702867 0.00159287 0.00102526 0.00163282 0.671204 0.00708175
calcium 0.185544 0.0219017 0.000234271 0.00196954 0.00357181 0.00198801 0.778092 0.0218555
cholesterol 0.226182 0.0604249 0.00226864 0.00169707 0.00790427 0.00179013 0.684003 0.0601241
corneal_hysteresis 0.341038 0.0241757 0.000646191 0.00922518 0.0120064 0.00927718 0.606835 0.0241462
c_reactive_prot 0.38313 0.106075 0.00367595 0.00194589 -0.0014606 0.00213315 0.58188 0.105571
creatinine 0.19308 0.00987569 0.00130301 0.0012749 0.0132261 0.0012943 0.430679 0.00988478
creatinine_urine 0.0886601 0.00309515 0.00235894 0.00182128 0.0183569 0.0018567 0.885197 0.00311726
cystatin_c 0.302126 0.061217 0.00644183 0.00208554 -0.00745776 0.00209528 0.679474 0.061179
fev1_fvc 0.252521 0.0152956 0.0114138 0.00224157 0.0127521 0.00230809 0.645308 0.0152012
fvc 0.162335 0.00619799 0.00258331 0.00111864 0.0136546 0.00112809 0.324952 0.00620971
ggt 0.270872 0.0337051 0.00603841 0.00178226 -0.0150994 0.00187179 0.577833 0.0336175
glucose 0.112308 0.0113054 -0.00495956 0.00188378 0.0202075 0.00190041 0.841028 0.0112684
hair_color 0.3105 0.100788 0.00442302 0.0018904 0.00745028 0.0019851 0.632695 0.100347
hba1c 0.299584 0.0237965 0.00546465 0.00177295 -0.0208419 0.0017987 0.6126 0.0237013
hdl 0.386306 0.0921334 -0.000612892 0.00160097 0.0295716 0.00174476 0.394932 0.0917343
height 0.338591 0.0160066 0.00115257 0.000904933 -0.000383801 0.000983385 0.14865 0.0159945
igf1 0.317389 0.018739 0.0021761 0.00166819 0.00333288 0.0017301 0.593823 0.0187581
ldl 0.242706 0.0921326 0.00227679 0.0017932 0.0125632 0.00192027 0.690946 0.0917133
microalbumin 0.0559007 0.00688662 3.61781e-05 0.00534289 0.0100039 0.00537177 0.917239 0.00685342
overall_health 0.113522 0.00349184 0.00887208 0.00191423 0.030059 0.00194634 0.762308 0.00351671
phosphate 0.149234 0.0128512 0.00345908 0.00213047 0.0101484 0.0021455 0.761202 0.0128102
potassium 0.0528046 0.00209591 0.0032293 0.00204827 0.0323373 0.00206606 0.884818 0.002085
shbg 0.307695 0.0672929 0.00444356 0.00158611 -0.00895511 0.00169332 0.495323 0.0670521
sodium 0.0867475 0.00342317 0.00331174 0.00176438 0.0166771 0.00178627 0.81368 0.003411
testosterone 0.0444307 0.00700937 0.00124562 0.000836324 0.00542622 0.000847179 0.310792 0.00698038
triglycerides 0.323617 0.0543588 0.00144295 0.00152475 0.017452 0.00162016 0.573802 0.0541148
urate 0.270331 0.107771 0.00535944 0.00133972 0.00333056 0.00145814 0.427511 0.10732
urea 0.152367 0.0091885 0.00314822 0.00183267 0.0467593 0.00183209 0.697719 0.00916225
vitamin_d 0.135492 0.0266269 0.00173319 0.00206875 0.0475032 0.00205491 0.795673 0.0265414
whr 0.121044 0.00418646 0.00194115 0.000963714 -0.00235482 0.000958327 0.432286 0.00417517
